Name,Team,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH,IFH%,BUH,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,NameASCII,PlayerId,MLBAMID
"Aaron Judge","NYY",0.352517985,0.67173913,0.209660842,0.317574511,0.472764645,0.063043478,0.302173913,20,0.064724919,0,0,0.40390545,0.34840699,0.24768756,0.08221994,0.44090442,0.47687564,"Aaron Judge",15640,592450
"Corey Seager","TEX",0.311043566,1.054373522,0.188608776,0.416433239,0.394957983,0.03073286,0.19858156,22,0.049327354,0,0,0.410831,0.35387488,0.23529412,0.08496732,0.46965453,0.44537815,"Corey Seager",13624,608369
"Roman Anthony","BOS",0.403614457,1.648148148,0.178160919,0.511494252,0.310344827,0.037037037,0.148148148,3,0.033707865,0,0,0.43103448,0.37931034,0.18965517,0.0862069,0.47126437,0.44252874,"Roman Anthony",31812,701350
"Shohei Ohtani","- - -",0.330855018,0.965725806,0.201474201,0.392301392,0.406224406,0.056451612,0.294354838,36,0.075156576,0,0,0.42635025,0.35679214,0.21685761,0.10392799,0.45581015,0.44026187,"Shohei Ohtani",19755,660271
"Giancarlo Stanton","NYY",0.2616179,0.873287671,0.159754224,0.391705069,0.448540706,0.150684931,0.239726027,11,0.043137254,0,0,0.42549923,0.34408602,0.23041475,0.18894009,0.37327189,0.43778802,"Giancarlo Stanton",4949,519317
"Ronald Acuña Jr.","ATL",0.336930455,1.534965034,0.189038031,0.491051454,0.319910514,0.059440559,0.209790209,34,0.077448747,0,0,0.401566,0.36465324,0.23378076,0.10738255,0.45973154,0.43288591,"Ronald Acuna Jr.",18401,660670
"J.D. Martinez","- - -",0.31598513,0.886178861,0.209540034,0.371379897,0.419080068,0.056910569,0.199186991,10,0.045871559,0,0,0.37649063,0.36286201,0.26064736,0.0988075,0.47018739,0.43100511,"J.D. Martinez",6184,502110
"Nick Kurtz","ATH",0.382775119,0.872549019,0.20083682,0.372384937,0.426778242,0.049019607,0.294117647,6,0.06741573,0,0,0.35983264,0.34309623,0.29707113,0.07949791,0.48953975,0.43096234,"Nick Kurtz",35110,701762
"Juan Soto","- - -",0.289451476,1.329670329,0.178294573,0.468992248,0.352713178,0.081318681,0.252747252,30,0.049586776,8,0.666666666,0.42165899,0.37480799,0.20353303,0.13824885,0.43471582,0.42703533,"Juan Soto",20123,665742
"Yordan Alvarez","HOU",0.311084624,0.734597156,0.194719471,0.341034103,0.464246424,0.061611374,0.170616113,21,0.067741935,2,1,0.38090011,0.35455543,0.26454446,0.11855104,0.45444566,0.42700329,"Yordan Alvarez",19556,670541
"Kyle Schwarber","PHI",0.254271356,0.814453125,0.177147918,0.36935341,0.453498671,0.138671875,0.263671875,14,0.033573141,0,0,0.53451327,0.3079646,0.15752212,0.15929204,0.41681416,0.42389381,"Kyle Schwarber",16478,656941
"Rafael Devers","- - -",0.310008857,1.106837606,0.191803278,0.424590163,0.383606557,0.089743589,0.196581196,22,0.042471042,0,0,0.37837838,0.37674038,0.24488124,0.14496314,0.44389844,0.41113841,"Rafael Devers",17350,646240
"Ben Rice","NYY",0.23690773,0.955307262,0.187935034,0.39675174,0.415313225,0.089385474,0.167597765,3,0.017543859,0,0,0.46867749,0.33410673,0.19721578,0.12993039,0.45939675,0.41067285,"Ben Rice",29576,700250
"Ryan McMahon","- - -",0.31670061,1.298591549,0.209302325,0.446705426,0.343992248,0.030985915,0.174647887,22,0.047722342,5,0.416666666,0.36877395,0.37260536,0.25862069,0.10344828,0.48850575,0.40804598,"Ryan McMahon",15112,641857
"Hunter Goodman","COL",0.291750503,0.886075949,0.17375231,0.388170055,0.438077634,0.118143459,0.185654008,19,0.09047619,0,0,0.4676525,0.34750462,0.18484288,0.15341959,0.43992606,0.40665434,"Hunter Goodman",29715,696100
"Gunnar Henderson","BAL",0.317647058,1.418052256,0.199055861,0.46970889,0.331235247,0.090261282,0.192399049,33,0.055276381,0,0,0.38867034,0.37214792,0.23918175,0.12667191,0.46734854,0.40597954,"Gunnar Henderson",26289,683002
"Oneil Cruz","PIT",0.309904153,1.345991561,0.166416791,0.478260869,0.355322338,0.084388185,0.17299578,13,0.040752351,0,0,0.40929535,0.35832084,0.23238381,0.12743628,0.46776612,0.4047976,"Oneil Cruz",21711,665833
"James Wood","WSN",0.358823529,2.028776978,0.228937728,0.516483516,0.254578754,0.014388489,0.258992805,19,0.067375886,0,0,0.3021978,0.3974359,0.3003663,0.11904762,0.47619048,0.4047619,"James Wood",29518,695578
