Name,Season,Pitch,Pitches,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,SwStr%,pVAL,pVAL/C,NameASCII,PlayerId,MLBAMID
"Andrew Vaughn",2025,"CH",114,0.22727272727272727,0.6458333333333334,0.40350877192982454,0.6666666666666666,0.9032258064516129,0.8260869565217391,0.42105263157894735,0.07017543859649122,-1.4132502000000007,-1.2396931578947374,"Andrew Vaughn","26197",683734
"Rodolfo Castro",2023,"CH",168,0.3090909090909091,0.8275862068965517,0.4880952380952381,0.4411764705882353,0.75,0.6219512195121951,0.34523809523809523,0.18452380952380953,3.207816200000001,1.909414404761905,"Rodolfo Castro","21987",666801
"Ty France",2025,"CH",150,0.26506024096385544,0.8656716417910447,0.5333333333333333,0.45454545454545453,0.9137931034482759,0.7875,0.44666666666666666,0.11333333333333333,-0.8973180000000004,-0.5982120000000002,"Ty France","17982",664034
"Alfonso Rivas III",2023,"CH",61,0.3157894736842105,0.4782608695652174,0.3770491803278688,0.25,0.8181818181818182,0.5217391304347826,0.3770491803278688,0.18032786885245902,0.43828809999999974,0.7185050819672127,"Alfonso Rivas III","21560",663845
"Freddy Fermin",2025,"CH",96,0.375,0.775,0.5416666666666666,0.6666666666666666,0.7096774193548387,0.6923076923076923,0.4166666666666667,0.16666666666666666,1.1842206,1.2335631249999999,"Freddy Fermin","21840",666023
"Will Wagner",2025,"CH",77,0.2571428571428571,0.7619047619047619,0.5324675324675324,0.4444444444444444,0.84375,0.7560975609756098,0.5454545454545454,0.12987012987012986,1.7237489000000001,2.2386349350649355,"Will Wagner","29634",695238
"Amed Rosario",2025,"CH",98,0.3333333333333333,0.84375,0.5,0.5909090909090909,0.8888888888888888,0.7551020408163265,0.32653061224489793,0.12244897959183673,0.42970720000000046,0.438476734693878,"Amed Rosario","15518",642708
"Danny Jansen",2024,"CH",107,0.3076923076923077,0.8095238095238095,0.5046728971962616,0.5,0.7352941176470589,0.6481481481481481,0.3925233644859813,0.17757009345794392,-0.00041539999999962163,-0.000388224299065067,"Danny Jansen","16535",643376
"Connor Norby",2024,"CH",65,0.42857142857142855,0.9333333333333333,0.6615384615384615,0.4666666666666667,0.7142857142857143,0.627906976744186,0.46153846153846156,0.24615384615384617,-0.10977660000000049,-0.1688870769230777,"Connor Norby","29592",681393
"Jason Heyward",2024,"CH",136,0.37349397590361444,0.7547169811320755,0.5220588235294118,0.4838709677419355,0.775,0.647887323943662,0.3897058823529412,0.18382352941176472,2.5270641,1.8581353676470589,"Jason Heyward","4940",518792
"Rafael Devers",2025,"CH",274,0.36470588235294116,0.6923076923076923,0.48905109489051096,0.6129032258064516,0.7361111111111112,0.6791044776119403,0.3795620437956204,0.15693430656934307,4.6905597,1.7118831021897807,"Rafael Devers","17350",646240
"Josh Donaldson",2023,"CH",54,0.3125,0.6818181818181818,0.46296296296296297,0.5,0.6,0.56,0.4074074074074074,0.2037037037037037,-0.5916649,-1.095675740740741,"Josh Donaldson","5038",518626
"Luis Arraez",2024,"CH",195,0.35294117647058826,0.75,0.5076923076923077,0.9047619047619048,0.9649122807017544,0.9393939393939394,0.38974358974358975,0.03076923076923077,-3.7131919999999985,-1.904201025641025,"Luis Arraez","18568",650333
"Luis Urías",2023,"CH",54,0.2903225806451613,0.4782608695652174,0.37037037037037035,0.3333333333333333,0.5454545454545454,0.45,0.42592592592592593,0.2037037037037037,0.8959489,1.6591646296296299,"Luis Urias","16622",649966
"Jace Peterson",2023,"CH",237,0.28888888888888886,0.7156862745098039,0.47257383966244726,0.5641025641025641,0.7534246575342466,0.6875,0.43037974683544306,0.14767932489451477,-1.1872674000000003,-0.5009567088607596,"Jace Peterson","12325",607054
"Josh Bell",2023,"CH",530,0.3233695652173913,0.7283950617283951,0.44716981132075473,0.4957983193277311,0.8220338983050848,0.6582278481012658,0.30566037735849055,0.15283018867924528,4.479420520000002,0.8451736830188683,"Josh Bell","13145",605137
"Cristian Pache",2024,"CH",101,0.27586206896551724,0.7674418604651163,0.48514851485148514,0.5625,0.696969696969697,0.6530612244897959,0.42574257425742573,0.16831683168316833,0.2316318999999996,0.22933851485148476,"Cristian Pache","19948",665506
"Ji Man Choi",2023,"CH",62,0.1794871794871795,0.7391304347826086,0.3870967741935484,0.42857142857142855,0.8823529411764706,0.75,0.3709677419354839,0.0967741935483871,1.4419498000000002,2.325725483870968,"Ji Man Choi","5452",596847
"Kolten Wong",2023,"CH",111,0.3382352941176471,0.813953488372093,0.5225225225225225,0.5652173913043478,0.8285714285714286,0.7241379310344828,0.38738738738738737,0.14414414414414414,3.306360999999999,2.978703603603603,"Kolten Wong","12532",543939
"Danny Jansen",2025,"CH",129,0.3611111111111111,0.7017543859649122,0.5116279069767442,0.5384615384615384,0.75,0.6666666666666666,0.4418604651162791,0.17054263565891473,1.6042261,1.2435861240310078,"Danny Jansen","16535",643376
"Matt Thaiss",2025,"CH",76,0.2727272727272727,0.625,0.42105263157894735,0.5,0.9,0.75,0.42105263157894735,0.10526315789473684,1.1923082000000005,1.5688265789473692,"Matt Thaiss","19318",642136
"C.J. Cron",2023,"CH",68,0.35294117647058826,0.8823529411764706,0.6176470588235294,0.75,0.7666666666666667,0.7619047619047619,0.5,0.14705882352941177,1.8260782999999998,2.685409264705882,"C.J. Cron","12546",543068
"Harold Ramírez",2024,"CH",93,0.4909090909090909,0.7368421052631579,0.5913978494623656,0.7777777777777778,0.7857142857142857,0.7818181818181819,0.40860215053763443,0.12903225806451613,1.4793723999999995,1.5907230107526877,"Harold Ramirez","14387",623912
"Jeimer Candelario",2023,"CH",316,0.3627450980392157,0.7321428571428571,0.4936708860759494,0.6891891891891891,0.8780487804878049,0.7884615384615384,0.35443037974683544,0.10443037974683544,-3.016961300000002,-0.9547345886075956,"Jeimer Candelario","13621",600869
"Nelson Velázquez",2023,"CH",81,0.4166666666666667,0.7878787878787878,0.5679012345679012,0.4,0.5384615384615384,0.4782608695652174,0.4074074074074074,0.2962962962962963,1.9716501000000002,2.434135925925926,"Nelson Velazquez","23359",676369
"Mike Yastrzemski",2025,"CH",186,0.2543859649122807,0.7638888888888888,0.45161290322580644,0.7241379310344828,0.9090909090909091,0.8452380952380952,0.3870967741935484,0.06989247311827956,-7.517930199999999,-4.041897956989247,"Mike Yastrzemski","14854",573262
"Nathaniel Lowe",2025,"CH",171,0.3069306930693069,0.6571428571428571,0.4502923976608187,0.45161290322580644,0.9347826086956522,0.7402597402597403,0.4093567251461988,0.11695906432748537,0.2989158999999999,0.17480461988304088,"Nathaniel Lowe","19566",663993
"Josh Bell",2024,"CH",411,0.3409090909090909,0.7074829931972789,0.4720194647201946,0.5555555555555556,0.7884615384615384,0.6804123711340206,0.35766423357664234,0.15085158150851583,4.525014999999999,1.1009768856447686,"Josh Bell","13145",605137
"Emmanuel Rivera",2024,"CH",101,0.4117647058823529,0.7272727272727273,0.5148514851485149,0.5714285714285714,0.75,0.6538461538461539,0.32673267326732675,0.1782178217821782,-1.8466692400000002,-1.8283853861386141,"Emmanuel Rivera","19890",656896
"James Outman",2025,"CH",63,0.3125,0.6451612903225806,0.47619047619047616,0.5,0.6,0.5666666666666667,0.49206349206349204,0.20634920634920634,2.9733487999999997,4.719601269841269,"James Outman","24770",681546
"Carlos Santana",2023,"CH",366,0.30973451327433627,0.7285714285714285,0.46994535519125685,0.6142857142857143,0.8921568627450981,0.7790697674418605,0.3825136612021858,0.10382513661202186,-1.1977464000000002,-0.3272531147540984,"Carlos Santana","2396",467793
"Randy Arozarena",2024,"CH",269,0.3392857142857143,0.6039603960396039,0.43866171003717475,0.5789473684210527,0.7213114754098361,0.652542372881356,0.3754646840148699,0.1524163568773234,-1.4761226000000003,-0.5487444609665428,"Randy Arozarena","19290",668227
"Jesús Sánchez",2025,"CH",222,0.34558823529411764,0.7093023255813954,0.4864864864864865,0.5319148936170213,0.8524590163934426,0.7129629629629629,0.38738738738738737,0.13963963963963963,1.0653545,0.4798894144144144,"Jesus Sanchez","19913",660821
"Harrison Bader",2023,"CH",111,0.34545454545454546,0.625,0.4864864864864865,0.5789473684210527,0.5714285714285714,0.5740740740740741,0.5045045045045045,0.2072072072072072,-1.7617471999999994,-1.587159639639639,"Harrison Bader","18030",664056
"Oswald Peraza",2025,"CH",56,0.35714285714285715,0.8214285714285714,0.5892857142857143,0.6,0.8695652173913043,0.7878787878787878,0.5,0.125,2.2878557000000006,4.085456607142858,"Oswald Peraza","22823",672724
"Austin Hays",2024,"CH",84,0.3953488372093023,0.8780487804878049,0.6309523809523809,0.11764705882352941,0.6111111111111112,0.4528301886792453,0.4880952380952381,0.34523809523809523,-0.6942263000000001,-0.8264598809523811,"Austin Hays","19363",669720
"Tommy Pham",2023,"CH",238,0.2684563758389262,0.7865168539325843,0.46218487394957986,0.325,0.7428571428571429,0.5909090909090909,0.3739495798319328,0.18907563025210083,5.062033400000001,2.1269047899159665,"Tommy Pham","2967",502054
"Curtis Mead",2025,"CH",77,0.3469387755102041,0.75,0.4935064935064935,0.6470588235294118,1,0.8421052631578947,0.36363636363636365,0.07792207792207792,2.3494188000000005,3.051193246753247,"Curtis Mead","23986",678554
"Christian Bethancourt",2024,"CH",52,0.5151515151515151,0.631578947368421,0.5576923076923077,0.5882352941176471,0.6666666666666666,0.6206896551724138,0.36538461538461536,0.21153846153846154,1.7113091,3.290979038461538,"Christian Bethancourt","10028",542194
"Carlos Correa",2025,"CH",192,0.3684210526315789,0.7627118644067796,0.4895833333333333,0.6122448979591837,0.8222222222222222,0.7127659574468085,0.3072916666666667,0.140625,-3.4977430999999997,-1.8217411979166664,"Carlos Correa","14162",621043
"Kevin Pillar",2024,"CH",120,0.28169014084507044,0.7346938775510204,0.4666666666666667,0.5,0.8611111111111112,0.7321428571428571,0.4083333333333333,0.125,1.2112385999999997,1.0093655,"Kevin Pillar","12434",607680
"Jonah Bride",2025,"CH",51,0.27586206896551724,0.5454545454545454,0.39215686274509803,0.5,0.6666666666666666,0.6,0.43137254901960786,0.1568627450980392,2.027965,3.9764019607843135,"Jonah Bride","24703",681146
"Christopher Morel",2024,"CH",191,0.23008849557522124,0.7692307692307693,0.450261780104712,0.5769230769230769,0.6833333333333333,0.6511627906976745,0.4083769633507853,0.15706806282722513,-0.09331799999999968,-0.048857591623036475,"Christopher Morel","21897",666624
"Josh Rojas",2023,"CH",174,0.3217391304347826,0.6440677966101694,0.43103448275862066,0.5405405405405406,0.868421052631579,0.7066666666666667,0.3390804597701149,0.12643678160919541,0.0014933999999989234,0.0008582758620683468,"Josh Rojas","19734",668942
"Rowdy Tellez",2025,"CH",205,0.3235294117647059,0.5942028985507246,0.4146341463414634,0.5681818181818182,0.8048780487804879,0.6823529411764706,0.33658536585365856,0.13170731707317074,4.458135400000001,2.1747001951219516,"Rowdy Tellez","15679",642133
"Brandon Lockridge",2025,"CH",57,0.5,0.8260869565217391,0.631578947368421,0.5294117647058824,0.6842105263157895,0.6111111111111112,0.40350877192982454,0.24561403508771928,1.8113104,3.177737543859649,"Brandon Lockridge","21496",663604
"Jesse Winker",2024,"CH",197,0.27586206896551724,0.6049382716049383,0.41116751269035534,0.625,0.9183673469387755,0.8024691358024691,0.41116751269035534,0.08121827411167512,-1.1637078999999995,-0.5907146700507612,"Jesse Winker","13590",608385
"Ramón Laureano",2025,"CH",187,0.29591836734693877,0.7078651685393258,0.4919786096256685,0.4827586206896552,0.8095238095238095,0.7065217391304348,0.47593582887700536,0.1443850267379679,-3.1636294000000005,-1.691780427807487,"Ramon Laureano","17128",657656
"José Tena",2024,"CH",52,0.41935483870967744,0.8571428571428571,0.5961538461538461,0.7692307692307693,0.7777777777777778,0.7741935483870968,0.40384615384615385,0.1346153846153846,-1.8185656000000001,-3.4972415384615387,"Jose Tena","23691",677588
