Name,Season,Pitch,Pitches,LD%,GB%,FB%,IFFB%,HR/FB,Strikes,Balls,Pitches,xMov,zMov,Mov,NameASCII,PlayerId,MLBAMID
"Seby Zavala",2023,"CU",53,0.2,0.4,0.4,0,0,33,20,53,1.8207173396226415,-5.044335811320754,7.671861509433963,"Seby Zavala","18887",664874
"Eduardo Escobar",2023,"CU",130,0.14285714285714285,0.7142857142857143,0.14285714285714285,0.3333333333333333,0,84,46,130,0.31568719153846186,-5.820581869230769,8.259831692307692,"Eduardo Escobar","6153",500871
"Trayce Thompson",2023,"CU",63,0,0.6,0.4,1,0,39,24,63,0.3888927460317459,-5.258521498412698,7.671300476190477,"Trayce Thompson","9952",572204
"Harrison Bader",2023,"CU",106,0.23076923076923078,0.46153846153846156,0.3076923076923077,0.375,0,67,39,106,1.304259233018868,-5.46898297264151,7.707055566037736,"Harrison Bader","18030",664056
"C.J. Cron",2023,"CU",78,0.3333333333333333,0.4666666666666667,0.2,0.3333333333333333,0.3333333333333333,53,25,78,-0.7949065525641026,-5.2689522064102565,7.330702679487178,"C.J. Cron","12546",543068
"Dominic Smith",2024,"CU",67,0.3333333333333333,0.5,0.16666666666666666,0,1,36,31,67,2.7863325373134322,-4.5564699104477615,7.795649358208955,"Dominic Smith","15653",642086
"Mark Canha",2024,"CU",113,0.35714285714285715,0.14285714285714285,0.5,0.14285714285714285,0,67,46,113,0.7516907840707964,-5.118979588495576,7.093128465486727,"Mark Canha","11445",592192
"Ramón Laureano",2025,"CU",106,0.2631578947368421,0.3684210526315789,0.3684210526315789,0.14285714285714285,0.42857142857142855,69,37,106,0.09013237735849047,-4.965329825471697,7.44631554716981,"Ramon Laureano","17128",657656
"Ramón Urías",2025,"CU",92,0.3333333333333333,0.4666666666666667,0.2,0,0,48,44,92,-0.059871233695652074,-6.046413347826086,8.403897717391306,"Ramon Urias","18795",602104
"Dominic Canzone",2023,"CU",54,0.18181818181818182,0.6363636363636364,0.18181818181818182,0,0,42,12,54,3.659610259259259,-6.118538907407407,8.429309444444446,"Dominic Canzone","26438",686527
"Amed Rosario",2024,"CU",59,0.15384615384615385,0.46153846153846156,0.38461538461538464,0.2,0,32,27,59,0.21319940677966112,-5.625204101694916,7.992283898305084,"Amed Rosario","15518",642708
"Curtis Mead",2025,"CU",54,0,0.5,0.5,0.3333333333333333,0,31,23,54,-1.367092611111111,-6.574410185185185,8.305293333333335,"Curtis Mead","23986",678554
"Ke'Bryan Hayes",2025,"CU",110,0.13636363636363635,0.5454545454545454,0.3181818181818182,0.2857142857142857,0.14285714285714285,68,42,110,1.9051755845454554,-5.171186344545453,7.291393854545455,"Ke'Bryan Hayes","18577",663647
"Jesús Sánchez",2025,"CU",155,0.28125,0.5,0.21875,0.14285714285714285,0.14285714285714285,100,55,155,3.432708593548387,-5.8033873425806455,7.9414678322580645,"Jesus Sanchez","19913",660821
"Mike Yastrzemski",2025,"CU",172,0.34615384615384615,0.2692307692307692,0.38461538461538464,0.1,0,105,67,172,4.101646522093025,-5.945488790697674,8.085487209302327,"Mike Yastrzemski","14854",573262
"Carlos Santana",2023,"CU",200,0.25,0.3888888888888889,0.3611111111111111,0.3076923076923077,0.15384615384615385,110,90,200,1.841072596999999,-4.7256088725000005,7.458369075,"Carlos Santana","2396",467793
"Eloy Jiménez",2024,"CU",73,0.1875,0.5625,0.25,0.5,0.25,41,32,73,3.367710452054794,-5.4874772630137,8.25600136986301,"Eloy Jimenez","17484",650391
"Randal Grichuk",2023,"CU",96,0.1,0.5,0.4,0,0,60,36,96,0.8876705770833332,-4.7839194166666665,6.678879437500001,"Randal Grichuk","10243",545341
"Ramón Laureano",2023,"CU",127,0.4166666666666667,0.5833333333333334,0,0,0,78,49,127,1.2039264125984255,-4.906210291338584,7.7063285905511805,"Ramon Laureano","17128",657656
"Ty France",2024,"CU",116,0.3333333333333333,0.5,0.16666666666666666,0,0.3333333333333333,78,38,116,1.770275456896552,-5.243963274137928,7.937717137931033,"Ty France","17982",664034
"Cristian Pache",2024,"CU",59,0.25,0.625,0.125,0,0,40,19,59,-1.6416331694915252,-4.506063881355932,6.490052271186441,"Cristian Pache","19948",665506
"Eddie Rosario",2024,"CU",127,0.15384615384615385,0.5,0.34615384615384615,0,0,86,41,127,3.956215950393701,-4.564029254330709,7.828950377952754,"Eddie Rosario","12155",592696
"José Tena",2024,"CU",59,0,0.6666666666666666,0.3333333333333333,0,0.5,37,22,59,4.233697508474576,-5.547266644067796,8.074014745762712,"Jose Tena","23691",677588
"Jake Burger",2023,"CU",139,0.2727272727272727,0.4090909090909091,0.3181818181818182,0,0.42857142857142855,81,58,139,1.2566630208633094,-4.806039902877695,7.443832050359712,"Jake Burger","22275",669394
"Rodolfo Castro",2023,"CU",102,0.125,0.5,0.375,0,0,50,52,102,0.664881568627451,-4.7275502941176475,7.521895980392157,"Rodolfo Castro","21987",666801
"Connor Norby",2024,"CU",60,0,0.2,0.8,0,0.25,41,19,60,0.54660942,-4.71339684,7.505034766666665,"Connor Norby","29592",681393
