Name,Season,Pitch,Pitches,Vertical Break,Vertical Drop,Horizontal Break,Events,EV,EV90,maxEV,LA,Barrels,Barrel%,HardHit,HardHit%,NameASCII,PlayerId,MLBAMID
"Seby Zavala",2023,"CU",53,-8.979273226415094,54.4666716981132,3.44730758490566,5,84.85999999999999,96.9,96.9,21.6,0,0,1,0.2,"Seby Zavala","18887",664874
"Eduardo Escobar",2023,"CU",130,-10.30492892307692,53.5348576923077,0.5342896573846153,22,84.12272727272726,98,99.6,-1.6818181818181819,1,0.045454545454545456,7,0.3181818181818182,"Eduardo Escobar","6153",500871
"Trayce Thompson",2023,"CU",63,-9.349684507936509,53.1487634920635,0.6057387301587307,5,75.88,94.5,94.5,12.6,0,0,0,0,"Trayce Thompson","9952",572204
"Harrison Bader",2023,"CU",106,-9.713656877358492,53.54440094339622,2.578394528301887,26,83.08076923076925,99.4,102.3,14.5,1,0.038461538461538464,6,0.23076923076923078,"Harrison Bader","18030",664056
"C.J. Cron",2023,"CU",78,-9.327711628205128,54.44211666666666,-1.646478205128205,15,84.33999999999999,109.3,110.4,6.466666666666667,2,0.13333333333333333,6,0.4,"C.J. Cron","12546",543068
"Dominic Smith",2024,"CU",67,-8.135553597014926,52.174735820895506,5.255339194029852,7,90.87142857142858,100.6,100.6,4.285714285714286,1,0.14285714285714285,4,0.5714285714285714,"Dominic Smith","15653",642086
"Mark Canha",2024,"CU",113,-9.108361292035399,53.08913893805311,1.28716696460177,14,90.41428571428573,99.8,100.5,25,0,0,5,0.35714285714285715,"Mark Canha","11445",592192
"Ramón Laureano",2025,"CU",106,-8.830832303773587,51.79091320754717,0.1865278018867923,19,92.87894736842108,106.9,107.5,19.526315789473685,3,0.15789473684210525,10,0.5263157894736842,"Ramon Laureano","17128",657656
"Ramón Urías",2025,"CU",92,-10.695646206521738,53.72115543478261,-0.1235147826086955,15,86.94,103.7,108.5,9.733333333333333,1,0.06666666666666667,7,0.4666666666666667,"Ramon Urias","18795",602104
"Dominic Canzone",2023,"CU",54,-10.836995185185186,54.13928148148148,7.1459401666666675,11,83.25454545454545,97.5,100.7,1.3636363636363635,0,0,3,0.2727272727272727,"Dominic Canzone","26438",686527
"Amed Rosario",2024,"CU",59,-9.983831508474575,53.40361186440678,0.2926581355932203,13,87.46923076923076,102.7,103.6,6.3076923076923075,1,0.07692307692307693,5,0.38461538461538464,"Amed Rosario","15518",642708
"Curtis Mead",2025,"CU",54,-11.625385555555555,57.16904444444445,-2.75886837037037,6,83.44999999999999,103.4,103.4,13.5,0,0,1,0.16666666666666666,"Curtis Mead","23986",678554
"Ke'Bryan Hayes",2025,"CU",110,-9.178765018181817,53.07139636363637,3.644428381818182,22,83.07619047619048,100,107.9,6.857142857142857,2,0.09090909090909091,7,0.3181818181818182,"Ke'Bryan Hayes","18577",663647
"Jesús Sánchez",2025,"CU",155,-10.273619283870966,52.75363741935483,6.761506624516128,32,92.23749999999998,106.1,112.2,5.6875,3,0.09375,14,0.4375,"Jesus Sanchez","19913",660821
"Mike Yastrzemski",2025,"CU",172,-10.537732255813957,53.92008546511631,8.14834621988372,26,89.06153846153849,101.7,106.7,15.23076923076923,0,0,8,0.3076923076923077,"Mike Yastrzemski","14854",573262
"Carlos Santana",2023,"CU",200,-8.42229723,52.259011999999984,3.5965496859999995,36,88.00285714285714,105.7,107.1,18.65714285714286,3,0.08333333333333333,12,0.3333333333333333,"Carlos Santana","2396",467793
"Eloy Jiménez",2024,"CU",73,-9.745647657534247,52.784901369863015,6.308643424657534,16,92.39999999999999,107,107.3,5.5625,2,0.125,8,0.5,"Eloy Jimenez","17484",650391
"Randal Grichuk",2023,"CU",96,-8.52890895729167,51.82601354166665,1.8311154395833331,10,92.31,104.7,105.4,19.9,0,0,4,0.4,"Randal Grichuk","10243",545341
"Ramón Laureano",2023,"CU",127,-8.736294552913389,51.81127559055118,2.3656051023622044,12,86.50833333333333,105.4,107.4,5.416666666666667,1,0.08333333333333333,2,0.16666666666666666,"Ramon Laureano","17128",657656
"Ty France",2024,"CU",116,-9.324511847413794,52.518853448275856,3.4104743146551715,19,86.46842105263158,107,107.6,8.263157894736842,2,0.10526315789473684,4,0.21052631578947367,"Ty France","17982",664034
"Cristian Pache",2024,"CU",59,-8.048389610169494,51.35293220338982,-3.6395008271186433,8,90.42500000000001,103.1,103.1,-4.875,1,0.125,4,0.5,"Cristian Pache","19948",665506
"Eddie Rosario",2024,"CU",127,-8.147537606299213,52.17510708661417,7.734833228346457,26,87.91538461538461,99.5,110.2,9.538461538461538,0,0,9,0.34615384615384615,"Eddie Rosario","12155",592696
"José Tena",2024,"CU",59,-9.849043796610172,53.54875254237288,8.261987796610168,6,81.33333333333333,102.9,102.9,-17.5,1,0.16666666666666666,1,0.16666666666666666,"Jose Tena","23691",677588
"Jake Burger",2023,"CU",139,-8.557826056115108,52.77857841726618,2.442404622302158,22,93.61363636363636,105.8,108.1,8.772727272727273,4,0.18181818181818182,13,0.5909090909090909,"Jake Burger","22275",669394
"Rodolfo Castro",2023,"CU",102,-8.431426254313726,52.38669803921567,1.271867284313725,9,86.75555555555556,100.3,100.3,3.7777777777777777,1,0.1111111111111111,3,0.3333333333333333,"Rodolfo Castro","21987",666801
"Connor Norby",2024,"CU",60,-8.406947404999999,52.385635,0.8266284716666665,5,85.74000000000001,102.8,102.8,25.2,1,0.2,3,0.6,"Connor Norby","29592",681393
"Hunter Renfroe",2023,"CU",138,-8.901319536231886,52.09225724637681,2.8240369239130443,22,82.38636363636364,98.3,112,10.681818181818182,0,0,5,0.22727272727272727,"Hunter Renfroe","15464",592669
"Jurickson Profar",2023,"CU",135,-9.091618714814818,52.644637777777795,3.2276738274074073,24,86.17500000000001,102.6,104.5,12,2,0.08333333333333333,10,0.4166666666666667,"Jurickson Profar","10815",595777
