Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Kyle Schwarber","PHI",456,2065,135,318,331,15,0.159806295,0.282324455,0.277483834,0.254271356,0.228101116,0.35835351,0.50558495,0.3688402182878023,0.3880401581467481,134.33422853804737,-7.892096274066716,77.07029950913285,-61.80276757478714,8.657982424743597,"Kyle Schwarber",16478,656941
"Juan Soto","- - -",463,2063,115,336,313,50,0.183713039,0.180804653,0.264014467,0.289451476,0.276069921,0.410480349,0.540084388,0.40382362155277585,0.43757052217512604,164.8480577535774,-2.759036597330123,155.45517600278953,-28.88160401582718,19.92103824023114,"Juan Soto",20123,665742
"Matt Olson","ATL",470,2055,106,287,318,2,0.126520681,0.242335766,0.242492917,0.310638297,0.266855524,0.363503649,0.509348441,0.37169683809373893,0.3665859374399556,137.30713337815607,-7.576295085251331,85.77471038478008,-24.942635416984558,13.131037421469935,"Matt Olson",14344,621566
"Francisco Lindor","NYM",456,2034,90,314,266,88,0.086529006,0.190265486,0.210876803,0.286885245,0.263596004,0.339233038,0.474472807,0.3500079336218033,0.3565208532967902,126.55692258506853,9.643678260967135,74.66990251396831,36.08810007572174,18.23854936866221,"Francisco Lindor",12916,596019
"Bobby Witt Jr.","KCR",460,2016,83,313,282,115,0.071428571,0.169642857,0.227868852,0.327731092,0.301092896,0.353846153,0.528961748,0.37183844640246616,0.38524427476146983,138.4883962501836,18.391600355040282,108.53162947896732,52.70098924636841,23.398421811491012,"Bobby Witt Jr.",25764,677951
"Marcus Semien","TEX",448,2005,67,285,236,33,0.092768079,0.15361596,0.166480447,0.265734265,0.24972067,0.322355289,0.416201117,0.3211367742709075,0.32387847747496945,107.34697761692233,5.73624924197793,23.43866361380838,34.079954862594604,12.692659879373,"Marcus Semien",12533,543760
"Pete Alonso","NYM",462,1992,113,259,319,8,0.095883534,0.233935742,0.249712313,0.261499148,0.241657077,0.330823293,0.49136939,0.34993152749791545,0.3684946773262372,126.65327761475993,-9.614037480205297,54.1728109398903,-40.73439538478851,8.159528050945791,"Pete Alonso",19251,624413
"Vladimir Guerrero Jr.","TOR",454,1989,79,268,276,13,0.108094519,0.141779788,0.198622273,0.313711414,0.296211251,0.377576671,0.494833524,0.3730050808600797,0.3972581545836592,142.8373685404411,-11.821874524466693,87.5412981668591,-50.49635434150696,10.681870028068756,"Vladimir Guerrero Jr.",19611,665489
"Shohei Ohtani","- - -",437,1986,146,367,317,97,0.136455186,0.23716012,0.33808675,0.330855018,0.298276886,0.397267206,0.636363636,0.42607129133075183,0.43578482641258776,176.53331107906084,15.290098073892295,196.65075821588403,-47.09876251220703,22.02480067403842,"Shohei Ohtani",19755,660271
"Julio Rodríguez","SEA",443,1973,82,273,261,86,0.060314242,0.240243284,0.186263737,0.32519685,0.271978021,0.325392802,0.458241758,0.33673013017984443,0.3470711221500319,123.28384888120246,9.598866228479892,63.94236076325038,14.370696306228638,14.722703695503558,"Julio Rodriguez",23697,677594
