Name,Team,PA,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,Pace,NameASCII,PlayerId,MLBAMID
"Kyle Tucker","- - -",1598,0.19559322,0.68582971,0.45136187,0.59965338,0.88717716,0.82758621,0.52172503,20.55363775,"Kyle Tucker",18345,663656
"Triston Casas","BOS",857,0.22957422,0.6586758,0.44498567,0.51879699,0.79636049,0.72504829,0.50200573,20.31949733,"Triston Casas",22514,671213
"Josh Naylor","- - -",1678,0.36245847,0.71568627,0.53122831,0.65169569,0.88381532,0.80111039,0.4777932,20.22827688,"Josh Naylor",18839,647304
"Jeff McNeil","NYM",1530,0.29428229,0.74013045,0.53417067,0.69021739,0.92115028,0.86237898,0.5380495,20.17196793,"Jeff McNeil",15362,643446
"Adam Duvall","- - -",683,0.33674272,0.6309795,0.48647604,0.53504673,0.82912154,0.72915012,0.50888717,20.07135307,"Adam Duvall",10950,594807
"Jake Mangum","TBR",372,0.43286219,0.77709924,0.61752662,0.71836735,0.8978389,0.83952255,0.53644554,20.00235849,"Jake Mangum",26202,663968
"Trent Grisham","- - -",1280,0.1957412,0.55876217,0.39206469,0.55857741,0.84443062,0.77889688,0.54080481,19.96817504,"Trent Grisham",18564,663757
"Christian Walker","- - -",1796,0.26424724,0.70971185,0.4937457,0.46888412,0.84323308,0.74610245,0.515189,19.95291316,"Christian Walker",13419,572233
"James McCann","- - -",564,0.34165834,0.68255396,0.5210601,0.45321637,0.83530962,0.71662125,0.52626597,19.9422453,"James McCann",12859,543510
"Anthony Santander","- - -",1530,0.34736532,0.65938865,0.49309696,0.7,0.86245543,0.80146357,0.46705366,19.89499896,"Anthony Santander",14551,623993
"Brandon Drury","LAA",883,0.30816452,0.67186597,0.49553571,0.51195219,0.84092863,0.74174174,0.51517857,19.72109121,"Brandon Drury",11615,592273
"Cal Raleigh","SEA",1830,0.31695721,0.71467991,0.51147099,0.51083333,0.81583012,0.71926121,0.48906883,19.66762487,"Cal Raleigh",21534,663728
"J.D. Martinez","- - -",974,0.30848329,0.70233266,0.50676538,0.37,0.82743682,0.68916877,0.50344652,19.63989108,"J.D. Martinez",6184,502110
"Max Muncy","LAD",1227,0.21840355,0.6101083,0.40623197,0.50253807,0.82445759,0.734375,0.47951529,19.60948537,"Max Muncy",13301,571970
"Ryan Mountcastle","BAL",1297,0.37741273,0.74121538,0.55871446,0.56800871,0.8404908,0.74815634,0.49835187,19.56800226,"Ryan Mountcastle",18373,663624
"Yan Gomes","CHC",515,0.38208033,0.68787879,0.53646099,0.5606469,0.86196769,0.75570342,0.50484447,19.533241,"Yan Gomes",9627,543228
