Name,Season,Pitch,Pitches,LD%,GB%,FB%,IFFB%,HR/FB,Strikes,Balls,Pitches,xMov,zMov,Mov,NameASCII,PlayerId,MLBAMID
"Cedric Mullins",2025,"FA",677,0.19791666666666666,0.1875,0.6145833333333334,0.3050847457627119,0.13559322033898305,427,250,677,-3.1719975387001487,9.492105214180203,11.040150265878871,"Cedric Mullins","17929",656775
"Austin Wynns",2025,"FA",120,0.3125,0.125,0.5625,0.1111111111111111,0.2222222222222222,84,36,120,-0.7946591583333332,8.746238166666668,10.506617999999998,"Austin Wynns","15271",642851
"Mark Mathias",2023,"FA",77,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,43,34,77,3.3098197402597402,9.06405168831169,10.768227922077921,"Mark Mathias","18032",664029
"Randal Grichuk",2023,"FA",538,0.3018867924528302,0.3113207547169811,0.3867924528301887,0.24390243902439024,0.12195121951219512,344,194,538,-1.7002294862081786,8.658005167286248,10.25096559479554,"Randal Grichuk","10243",545341
"Eric Haase",2023,"FA",383,0.23636363636363636,0.32727272727272727,0.43636363636363634,0.4166666666666667,0.041666666666666664,256,127,383,-1.902707028720627,9.218219582245434,10.767170339425586,"Eric Haase","14111",606992
"Jake Burger",2023,"FA",480,0.265625,0.1875,0.546875,0.3142857142857143,0.42857142857142855,335,145,480,-1.9951738149999991,9.318740166666666,10.683365479166671,"Jake Burger","22275",669394
"Ty France",2024,"FA",722,0.23140495867768596,0.4132231404958678,0.35537190082644626,0.20930232558139536,0.06976744186046512,463,259,722,-2.1586512268698055,9.298843476454298,10.78726094182825,"Ty France","17982",664034
"LaMonte Wade Jr.",2025,"FA",439,0.3076923076923077,0.13846153846153847,0.5538461538461539,0.2222222222222222,0,269,170,439,-4.684966328018225,9.105587448747151,10.855953280182229,"LaMonte Wade Jr.","18126",664774
"Freddy Fermin",2025,"FA",360,0.2631578947368421,0.5087719298245614,0.22807017543859648,0.15384615384615385,0,260,100,360,-1.91704731263889,9.162557361111112,10.797725694444443,"Freddy Fermin","21840",666023
"Victor Robles",2024,"FA",284,0.2676056338028169,0.36619718309859156,0.36619718309859156,0.19230769230769232,0.11538461538461539,189,95,284,-1.4193568767605635,9.412294119718304,11.077240387323943,"Victor Robles","18363",645302
"Jon Singleton",2023,"FA",141,0.16666666666666666,0.3333333333333333,0.5,0.25,0.08333333333333333,81,60,141,-1.526007581560284,9.686054113475176,10.99583744680851,"Jon Singleton","10441",572138
"Hunter Renfroe",2023,"FA",587,0.26262626262626265,0.36363636363636365,0.37373737373737376,0.2702702702702703,0.05405405405405406,392,195,587,-1.8499726609369676,9.33421165247019,10.697895672913118,"Hunter Renfroe","15464",592669
"Alan Roden",2025,"FA",165,0.07142857142857142,0.5714285714285714,0.35714285714285715,0.3,0,102,63,165,-3.0766202242424243,9.456931818181818,10.815466000000002,"Alan Roden","31564",702176
"Eduardo Escobar",2023,"FA",477,0.30434782608695654,0.2463768115942029,0.4492753623188406,0.12903225806451613,0.06451612903225806,295,182,477,-0.928188249475891,9.174222081761005,10.637851278825998,"Eduardo Escobar","6153",500871
"Gary Sánchez",2023,"FA",265,0.1836734693877551,0.32653061224489793,0.4897959183673469,0.2916666666666667,0.25,175,90,265,-1.9492396301886796,8.90218471698113,10.509212188679243,"Gary Sanchez","11442",596142
"Ramón Laureano",2025,"FA",570,0.17073170731707318,0.3780487804878049,0.45121951219512196,0.10810810810810811,0.1891891891891892,365,205,570,-1.0804168156140352,9.398833508771931,10.918630157894734,"Ramon Laureano","17128",657656
"Carlos Santana",2025,"FA",610,0.2222222222222222,0.3125,0.4652777777777778,0.29850746268656714,0.05970149253731343,398,212,610,-2.148395891475411,9.074813852459021,10.805040491803279,"Carlos Santana","2396",467793
"Gio Urshela",2024,"FA",548,0.26851851851851855,0.4074074074074074,0.32407407407407407,0.14285714285714285,0.14285714285714285,379,169,548,-2.9637980974434304,9.148957901459855,10.703509197080292,"Gio Urshela","10681",570482
"Isiah Kiner-Falefa",2024,"FA",504,0.29411764705882354,0.3333333333333333,0.37254901960784315,0.23684210526315788,0.05263157894736842,353,151,504,-1.2371214642857151,9.347006000396831,10.920170198412698,"Isiah Kiner-Falefa","16512",643396
"José Tena",2024,"FA",243,0.3181818181818182,0.36363636363636365,0.3181818181818182,0.21428571428571427,0.07142857142857142,149,94,243,-2.6223302839506175,8.937719053497942,10.675727572016463,"Jose Tena","23691",677588
"Seby Zavala",2023,"FA",225,0.3,0.23333333333333334,0.4666666666666667,0.2857142857142857,0.14285714285714285,160,65,225,-1.805453482755556,9.565697022222224,10.887317244444445,"Seby Zavala","18887",664874
"Trayce Thompson",2023,"FA",260,0.19230769230769232,0.23076923076923078,0.5769230769230769,0.13333333333333333,0.06666666666666667,154,106,260,-0.4650418223846155,8.960532576923079,10.3305665,"Trayce Thompson","9952",572204
"Jhonny Pereda",2025,"FA",86,0.2,0.4,0.4,0,0,49,37,86,-0.723756726744186,9.355232325581392,10.524111279069768,"Jhonny Pereda","19802",640902
"Rodolfo Castro",2023,"FA",267,0.12280701754385964,0.5263157894736842,0.3508771929824561,0.4,0.15,188,79,267,-0.7344189775280899,9.01568529213483,10.86866168539326,"Rodolfo Castro","21987",666801
"Connor Norby",2024,"FA",242,0.21052631578947367,0.18421052631578946,0.6052631578947368,0.13043478260869565,0.13043478260869565,167,75,242,-1.5309691818181819,9.752133760330578,11.159816363636363,"Connor Norby","29592",681393
"Jurickson Profar",2023,"FA",791,0.26356589147286824,0.37209302325581395,0.3643410852713178,0.2553191489361702,0.06382978723404255,494,297,791,-1.8732348292035397,8.34932384323641,9.749766637168142,"Jurickson Profar","10815",595777
"Jason Heyward",2024,"FA",343,0.2,0.42857142857142855,0.37142857142857144,0.2692307692307692,0.19230769230769232,231,112,343,-4.469372837609329,8.816510758017492,10.418685539358602,"Jason Heyward","4940",518792
"Jorge Soler",2024,"FA",579,0.2616822429906542,0.22429906542056074,0.514018691588785,0.23636363636363636,0.2,369,210,579,-1.645296927115717,9.147222400690845,10.595779550949914,"Jorge Soler","14221",624585
"Eddie Rosario",2024,"FA",353,0.22413793103448276,0.29310344827586204,0.4827586206896552,0.10714285714285714,0.10714285714285714,260,93,353,-3.9992977073654394,9.053768130311619,10.473505155807366,"Eddie Rosario","12155",592696
"Mark Canha",2024,"FA",613,0.18823529411764706,0.4117647058823529,0.4,0.2647058823529412,0.029411764705882353,412,201,613,-1.665401338825448,9.259612544861337,10.791339200652528,"Mark Canha","11445",592192
"C.J. Cron",2023,"FA",328,0.2,0.3,0.5,0.24,0.08,221,107,328,-2.133601338414635,8.570435780487808,9.947242469512195,"C.J. Cron","12546",543068
"Joey Loperfido",2024,"FA",336,0.2830188679245283,0.39622641509433965,0.32075471698113206,0.11764705882352941,0.11764705882352941,225,111,336,-3.2109874776785707,9.223356755952384,10.781979285714282,"Joey Loperfido","29630",694388
"Ramón Urías",2025,"FA",468,0.189873417721519,0.35443037974683544,0.45569620253164556,0.16666666666666666,0.1111111111111111,306,162,468,-1.3363068461538457,9.621921066239317,11.096577094017094,"Ramon Urias","18795",602104
"Nathaniel Lowe",2025,"FA",935,0.3333333333333333,0.2857142857142857,0.38095238095238093,0.1,0.175,601,334,935,-2.530738773155081,8.984992438502678,10.644338096256687,"Nathaniel Lowe","19566",663993
"Austin Slater",2025,"FA",180,0.3076923076923077,0.38461538461538464,0.3076923076923077,0,0.25,126,54,180,1.068704401111111,9.239784666666667,10.982741833333334,"Austin Slater","16153",596103
"Connor Joe",2025,"FA",108,0.2916666666666667,0.25,0.4583333333333333,0.2727272727272727,0,70,38,108,-0.583488462962963,9.49493527777778,11.145408055555553,"Connor Joe","16572",656582
"Ryan Noda",2025,"FA",98,0,0.4,0.6,0.3333333333333333,0,50,48,98,-4.973873006122449,8.610909489795917,10.210283877551023,"Ryan Noda","23312",676116
"Amed Rosario",2025,"FA",145,0.12121212121212122,0.30303030303030304,0.5757575757575758,0.21052631578947367,0.21052631578947367,108,37,145,2.7349435448275856,9.106963655172414,10.946119586206898,"Amed Rosario","15518",642708
"Jordan Luplow",2023,"FA",156,0.2,0.3333333333333333,0.4666666666666667,0.14285714285714285,0.14285714285714285,102,54,156,2.0788519551282056,9.128119807692308,10.481303717948718,"Jordan Luplow","16424",656669
"Dominic Canzone",2023,"FA",160,0.16216216216216217,0.2702702702702703,0.5675675675675675,0.09523809523809523,0.19047619047619047,113,47,160,-3.2490864312500003,8.897314687500003,10.192994624999997,"Dominic Canzone","26438",686527
"Dominic Smith",2024,"FA",325,0.25,0.23333333333333334,0.5166666666666667,0.0967741935483871,0.0967741935483871,224,101,325,-3.3363221569230777,9.046770030769233,10.726564553846153,"Dominic Smith","15653",642086
"Carlos Correa",2025,"FA",574,0.3229166666666667,0.3958333333333333,0.28125,0.4074074074074074,0.2222222222222222,380,194,574,-2.1839142123867608,9.249901303135893,10.836015540069685,"Carlos Correa","14162",621043
"Travis Jankowski",2025,"FA",82,0.23529411764705882,0.47058823529411764,0.29411764705882354,0.2,0,62,20,82,-4.035116964634146,9.51960475609756,10.808626585365854,"Travis Jankowski","13768",608671
"Curtis Mead",2025,"FA",271,0.23076923076923078,0.25,0.5192307692307693,0.14814814814814814,0,172,99,271,-0.014858778597785989,8.963506188191882,10.691856199261991,"Curtis Mead","23986",678554
"Jonah Bride",2025,"FA",141,0.3333333333333333,0.25925925925925924,0.4074074074074074,0.45454545454545453,0,95,46,141,1.0890794326241133,9.535460638297872,11.325524680851064,"Jonah Bride","24703",681146
"Ronny Simon",2025,"FA",136,0.15,0.35,0.5,0.2,0,93,43,136,-3.926177404411764,9.21732132352941,10.976799632352943,"Ronny Simon","25346",682927
"Mark Canha",2023,"FA",591,0.2184873949579832,0.3025210084033613,0.4789915966386555,0.2631578947368421,0.12280701754385964,405,186,591,-1.4487519292724202,9.377692659898479,10.705255769881559,"Mark Canha","11445",592192
"Tommy Pham",2023,"FA",488,0.3176470588235294,0.35294117647058826,0.32941176470588235,0.10714285714285714,0.25,319,169,488,-1.2117437347540985,9.433719774590163,10.70170014344262,"Tommy Pham","2967",502054
"Ke'Bryan Hayes",2025,"FA",607,0.2717391304347826,0.31521739130434784,0.41304347826086957,0.34210526315789475,0.02631578947368421,399,208,607,-2.5057796858319596,9.314966026359144,10.686183492586487,"Ke'Bryan Hayes","18577",663647
"Carlos Santana",2023,"FA",779,0.2564102564102564,0.33974358974358976,0.40384615384615385,0.4444444444444444,0.1746031746031746,504,275,779,-2.9615864011553272,8.968938587933248,10.610263722721438,"Carlos Santana","2396",467793
"Austin Hedges",2023,"FA",256,0.26666666666666666,0.4222222222222222,0.3111111111111111,0.2857142857142857,0,177,79,256,-1.5048212136718748,8.8789240234375,10.5380831640625,"Austin Hedges","12976",595978
