Name,Season,Pitch,Pitches,Vertical Break,Vertical Drop,Horizontal Break,Events,EV,EV90,maxEV,LA,Barrels,Barrel%,HardHit,HardHit%,NameASCII,PlayerId,MLBAMID
"Cedric Mullins",2025,"FA",677,16.15634178729689,14.809408892171337,-4.967229147119642,98,91.13956043956043,104.4,108.1,34.527472527472526,8,0.08163265306122448,36,0.3673469387755102,"Cedric Mullins","17929",656775
"Austin Wynns",2025,"FA",120,14.870135500000002,17.081903583333336,-1.2827273283333331,16,87.20625000000001,106.2,107,25.625,2,0.125,7,0.4375,"Austin Wynns","15271",642851
"Mark Mathias",2023,"FA",77,15.419774285714285,16.59340857142857,5.224701818181819,6,83.91666666666667,95.7,95.7,16.166666666666668,0,0,2,0.3333333333333333,"Mark Mathias","18032",664029
"Randal Grichuk",2023,"FA",538,14.714506703910619,16.075082849162012,-2.6045826413407824,108,93.12803738317761,107.3,111.2,18.934579439252335,11,0.10185185185185185,56,0.5185185185185185,"Randal Grichuk","10243",545341
"Eric Haase",2023,"FA",383,15.683329895561352,15.154648616187991,-2.8271258168146214,55,88.05272727272724,104.1,108.9,21.236363636363638,2,0.03636363636363636,21,0.38181818181818183,"Eric Haase","14111",606992
"Jake Burger",2023,"FA",480,15.859729604166665,15.426845895833333,-3.1181966397916665,64,95.97031250000002,113.1,118.2,25.046875,22,0.34375,39,0.609375,"Jake Burger","22275",669394
"Ty France",2024,"FA",722,15.821845997229913,15.163572659279788,-3.402354190581717,122,90.16942148760334,104.2,111.1,16.884297520661157,7,0.05737704918032787,52,0.4262295081967213,"Ty France","17982",664034
"LaMonte Wade Jr.",2025,"FA",439,15.49160116173121,15.18933284738041,-7.3528572339407745,66,90.45692307692306,102.8,107.6,30.892307692307693,3,0.045454545454545456,20,0.30303030303030304,"LaMonte Wade Jr.","18126",664774
"Freddy Fermin",2025,"FA",360,15.59012247222222,15.191151611111112,-2.9580622638888885,63,92.02222222222223,102.5,108.3,10.333333333333334,4,0.06349206349206349,24,0.38095238095238093,"Freddy Fermin","21840",666023
"Victor Robles",2024,"FA",284,16.01644246478873,14.859695845070423,-2.2382021102112675,74,92.22857142857141,104.8,108.9,18.457142857142856,9,0.12162162162162163,35,0.47297297297297297,"Victor Robles","18363",645302
"Jon Singleton",2023,"FA",141,16.495463617021276,14.881991276595743,-2.2610841106382966,25,88.66799999999999,100.3,108.9,16.6,3,0.12,10,0.4,"Jon Singleton","10441",572138
"Hunter Renfroe",2023,"FA",587,15.87894562180579,15.062795587734236,-2.8898125947189097,99,90.36060606060605,106.7,113.2,17.19191919191919,4,0.04040404040404041,42,0.42424242424242425,"Hunter Renfroe","15464",592669
"Alan Roden",2025,"FA",165,16.099217696969692,14.887014545454544,-4.742878636363637,28,86.28928571428573,104.7,105.9,9.142857142857142,0,0,7,0.25,"Alan Roden","31564",702176
"Eduardo Escobar",2023,"FA",477,15.602255693920341,15.897621278826,-1.4203190835849047,69,90.43768115942028,102.2,107.1,24.666666666666668,3,0.043478260869565216,29,0.42028985507246375,"Eduardo Escobar","6153",500871
"Gary Sánchez",2023,"FA",265,15.139839584905662,15.796706452830191,-3.030981018867925,50,92.62799999999999,106.4,115.1,22.54,9,0.18,26,0.52,"Gary Sanchez","11442",596142
"Ramón Laureano",2025,"FA",570,15.996491122807013,14.927241842105268,-1.6744206192982458,84,92.50487804878051,106.5,110.9,15.536585365853659,15,0.17857142857142858,49,0.5833333333333334,"Ramon Laureano","17128",657656
"Carlos Santana",2025,"FA",610,15.433383967213102,15.51210903278688,-3.3684375172131142,146,87.92876712328767,103.9,113.2,23.21232876712329,8,0.0547945205479452,49,0.3356164383561644,"Carlos Santana","2396",467793
"Gio Urshela",2024,"FA",548,15.567507627737228,15.782940200729922,-4.6045553209854,110,90.96454545454549,102,108.9,14.127272727272727,11,0.1,40,0.36363636363636365,"Gio Urshela","10681",570482
