Name,Season,Pitch,Pitches,LD%,GB%,FB%,IFFB%,HR/FB,Strikes,Balls,Pitches,xMov,zMov,Mov,NameASCII,PlayerId,MLBAMID
"Eloy Jiménez",2024,"FC",70,0.16666666666666666,0.5,0.3333333333333333,0.3333333333333333,0.16666666666666666,51,19,70,0.6579957571428572,4.857437857142859,5.295725814285715,"Eloy Jimenez","17484",650391
"Connor Norby",2024,"FC",52,0.8,0.2,0,0,0,32,20,52,0.8636602883653846,3.8696117307692313,4.433280557692308,"Connor Norby","29592",681393
"Rodolfo Castro",2023,"FC",81,0.16666666666666666,0.3333333333333333,0.5,0,0.3333333333333333,52,29,81,0.4351504576543209,4.701827037037036,5.369096790123457,"Rodolfo Castro","21987",666801
"Jonah Bride",2025,"FC",65,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.6666666666666666,0,37,28,65,0.4868862184615381,4.585847692307691,5.146253076923077,"Jonah Bride","24703",681146
"Cavan Biggio",2024,"FC",98,0.16666666666666666,0.4166666666666667,0.4166666666666667,0,0,66,32,98,0.5358305948979593,4.977573428571429,5.413825918367347,"Cavan Biggio","19252",624415
"Ramón Urías",2025,"FC",93,0.3333333333333333,0.05555555555555555,0.6111111111111112,0.2727272727272727,0.18181818181818182,66,27,93,0.6233412241935485,4.900917849462366,5.2915479569892465,"Ramon Urias","18795",602104
"Eddie Rosario",2024,"FC",108,0.25,0.5,0.25,0.25,0.25,67,41,108,0.9348500277777779,4.700016268518518,5.181261027777777,"Eddie Rosario","12155",592696
"Dominic Smith",2024,"FC",124,0.34615384615384615,0.38461538461538464,0.2692307692307692,0.14285714285714285,0.2857142857142857,79,45,124,0.2432301766935484,5.047763274193547,5.452939161290323,"Dominic Smith","15653",642086
"Eduardo Escobar",2023,"FC",63,0.2,0.6,0.2,0,0,34,29,63,-0.3641375095238095,4.908968523809524,5.271817619047619,"Eduardo Escobar","6153",500871
"Josh Naylor",2025,"FC",116,0.1794871794871795,0.46153846153846156,0.358974358974359,0.21428571428571427,0.14285714285714285,87,29,116,-0.10036381810344824,4.917195663793103,5.22282474137931,"Josh Naylor","18839",647304
"Eric Haase",2023,"FC",64,0.4,0.5,0.1,0,0,37,27,64,0.8283248892187499,4.021291140624999,4.637694765625001,"Eric Haase","14111",606992
"Gio Urshela",2024,"FC",120,0.3333333333333333,0.47619047619047616,0.19047619047619047,0,0,83,37,120,0.9110765545833336,5.2043970999999996,5.6415768333333345,"Gio Urshela","10681",570482
"Ji Man Choi",2023,"FC",51,0.1,0.3,0.6,0.3333333333333333,0.16666666666666666,34,17,51,0.8744229123529412,4.187708843137255,4.865816274509805,"Ji Man Choi","5452",596847
"Jurickson Profar",2023,"FC",205,0.2647058823529412,0.4411764705882353,0.29411764705882354,0.3,0,124,81,205,0.06775178097560973,4.368652508780489,4.862516634146339,"Jurickson Profar","10815",595777
"Ramón Laureano",2025,"FC",141,0.25,0.5,0.25,0.6,0,93,48,141,0.3290584907801419,4.445651787234042,4.892450567375886,"Ramon Laureano","17128",657656
"Justin Turner",2024,"FC",178,0.34285714285714286,0.37142857142857144,0.2857142857142857,0,0.1,116,62,178,0.6430138143539327,4.909433853932584,5.3281294382022475,"Justin Turner","5235",457759
"Cedric Mullins",2025,"FC",169,0.25925925925925924,0.25925925925925924,0.48148148148148145,0.38461538461538464,0,113,56,169,0.16281934473372783,4.964895355029586,5.387890710059172,"Cedric Mullins","17929",656775
"Ramón Laureano",2024,"FC",81,0.45454545454545453,0.45454545454545453,0.09090909090909091,0,1,58,23,81,0.700264432469136,4.157627716049383,4.785450617283951,"Ramon Laureano","17128",657656
"Austin Hedges",2023,"FC",57,0.15384615384615385,0.3076923076923077,0.5384615384615384,0.42857142857142855,0,35,22,57,0.9151497701754385,4.507366333333334,4.943829122807018,"Austin Hedges","12976",595978
"Carlos Santana",2023,"FC",270,0.15151515151515152,0.5757575757575758,0.2727272727272727,0.3333333333333333,0.1111111111111111,154,116,270,0.41076932592592574,4.726879344444444,5.140357481481483,"Carlos Santana","2396",467793
"Ke'Bryan Hayes",2025,"FC",131,0.43478260869565216,0.21739130434782608,0.34782608695652173,0.25,0,82,49,131,0.528591230534351,5.4622556946564895,5.836834389312976,"Ke'Bryan Hayes","18577",663647
"Jorge Soler",2024,"FC",137,0.3333333333333333,0.4074074074074074,0.25925925925925924,0.42857142857142855,0,90,47,137,1.5076109216569342,4.433553986861313,5.195736489051096,"Jorge Soler","14221",624585
"Jason Heyward",2024,"FC",104,0.2222222222222222,0.5,0.2777777777777778,0.6,0.2,61,43,104,0.23176107980769237,4.207339519230768,4.691776326923077,"Jason Heyward","4940",518792
"Whit Merrifield",2024,"FC",77,0.36363636363636365,0.5454545454545454,0.09090909090909091,0,0,42,35,77,1.0391853597402594,4.836086467532467,5.362559480519479,"Whit Merrifield","11281",593160
"Isiah Kiner-Falefa",2024,"FC",144,0.20512820512820512,0.5384615384615384,0.2564102564102564,0,0,103,41,144,0.4668456451388889,4.918184847222224,5.449491180555554,"Isiah Kiner-Falefa","16512",643396
"C.J. Cron",2023,"FC",94,0.18181818181818182,0.09090909090909091,0.7272727272727273,0.3125,0.3125,58,36,94,0.5926613999999999,4.415645309574469,4.915999255319147,"C.J. Cron","12546",543068
"Nick Senzel",2024,"FC",70,0.07142857142857142,0.5714285714285714,0.35714285714285715,0.4,0,49,21,70,0.011142515714285699,5.130650242857142,5.642838285714286,"Nick Senzel","19293",669222
"Emmanuel Rivera",2024,"FC",93,0.17647058823529413,0.5294117647058824,0.29411764705882354,0,0,60,33,93,0.2457948064516129,5.257111541935482,5.7618764516129035,"Emmanuel Rivera","19890",656896
"Victor Robles",2024,"FC",91,0.21052631578947367,0.5263157894736842,0.2631578947368421,0.6,0,55,36,91,0.5565584780219782,4.997499604395604,5.463942824175824,"Victor Robles","18363",645302
"Freddy Fermin",2025,"FC",97,0.21052631578947367,0.5263157894736842,0.2631578947368421,0.2,0.2,66,31,97,0.6289096082474226,4.745684051546392,5.118528484536083,"Freddy Fermin","21840",666023
"LaMonte Wade Jr.",2025,"FC",94,0.09090909090909091,0.45454545454545453,0.45454545454545453,0,0.2,57,37,94,0.37046491170212764,4.964853521276595,5.369609574468084,"LaMonte Wade Jr.","18126",664774
"Hunter Renfroe",2023,"FC",152,0.09375,0.4375,0.46875,0.26666666666666666,0.4,107,45,152,0.5936477539473684,4.433119567763159,5.201934539473686,"Hunter Renfroe","15464",592669
"Ramón Laureano",2023,"FC",130,0.16666666666666666,0.5833333333333334,0.25,0.16666666666666666,0.16666666666666666,84,46,130,0.2943651372307693,4.83094906153846,5.253715530769233,"Ramon Laureano","17128",657656
"Carlos Correa",2025,"FC",176,0.21621621621621623,0.4864864864864865,0.2972972972972973,0.2727272727272727,0,116,60,176,0.7927543536363636,4.538805388636363,4.979739261363638,"Carlos Correa","14162",621043
"Dominic Canzone",2023,"FC",57,0.23076923076923078,0.5384615384615384,0.23076923076923078,0.3333333333333333,0.3333333333333333,40,17,57,0.46007914035087727,4.313020685964912,4.814919122807018,"Dominic Canzone","26438",686527
"Mark Canha",2023,"FC",143,0.21052631578947367,0.3684210526315789,0.42105263157894735,0.375,0.125,80,63,143,0.4879734999999999,4.402156027972027,4.925927405594405,"Mark Canha","11445",592192
"Curtis Mead",2025,"FC",68,0.21428571428571427,0.42857142857142855,0.35714285714285715,0.2,0.2,50,18,68,0.3050154897058823,4.142791058823527,4.783505,"Curtis Mead","23986",678554
"Jesús Sánchez",2025,"FC",130,0.20588235294117646,0.5,0.29411764705882354,0.4,0.2,90,40,130,0.4058694138461539,5.734487766153844,6.033234615384613,"Jesus Sanchez","19913",660821
"Jake Burger",2023,"FC",148,0.2692307692307692,0.46153846153846156,0.2692307692307692,0.2857142857142857,0.14285714285714285,103,45,148,0.36440135479729735,4.924495904054056,5.457688567567569,"Jake Burger","22275",669394
"Randal Grichuk",2023,"FC",116,0.19047619047619047,0.42857142857142855,0.38095238095238093,0.125,0.125,72,44,116,0.37184939999999994,4.490940980172413,5.011628336206899,"Randal Grichuk","10243",545341
"Ty France",2024,"FC",137,0.16,0.44,0.4,0.1,0.3,94,43,137,1.1661612080291968,4.284471635036497,5.046744817518248,"Ty France","17982",664034
"Mark Canha",2024,"FC",151,0.19230769230769232,0.5769230769230769,0.23076923076923078,0.3333333333333333,0,103,48,151,0.44332004324503327,4.708107052980132,5.087004927152317,"Mark Canha","11445",592192
"Joey Loperfido",2024,"FC",119,0.3,0.35,0.35,0.14285714285714285,0,78,41,119,0.3854969705882354,4.864876483193277,5.350654495798318,"Joey Loperfido","29630",694388
"Nathaniel Lowe",2025,"FC",209,0.24242424242424243,0.21212121212121213,0.5454545454545454,0.2222222222222222,0.1111111111111111,125,84,209,0.197193780861244,5.063778711483254,5.432499665071771,"Nathaniel Lowe","19566",663993
"Mike Yastrzemski",2025,"FC",186,0.2608695652173913,0.34782608695652173,0.391304347826087,0.4444444444444444,0,119,67,186,0.22512335037634412,5.410206612903226,5.716184166666666,"Mike Yastrzemski","14854",573262
"Raimel Tapia",2023,"FC",52,0.09090909090909091,0.7272727272727273,0.18181818181818182,0,0,32,20,52,0.756938625,5.142330384615383,5.655031346153846,"Raimel Tapia","14350",606132
"Miguel Vargas",2024,"FC",88,0.2727272727272727,0.45454545454545453,0.2727272727272727,0.3333333333333333,0,59,29,88,0.8057542147727275,4.811481623863636,5.644306022727274,"Miguel Vargas","20178",678246
