Name,Season,Pitch,Pitches,LD%,GB%,FB%,IFFB%,HR/FB,Strikes,Balls,Pitches,xMov,zMov,Mov,NameASCII,PlayerId,MLBAMID
"Harrison Bader",2023,"SI",211,0.09090909090909091,0.5909090909090909,0.3181818181818182,0.2857142857142857,0.07142857142857142,145,66,211,-3.8981541232227492,4.5443156000947855,10.81407549763033,"Harrison Bader","18030",664056
"Eddie Rosario",2024,"SI",109,0.21428571428571427,0.35714285714285715,0.42857142857142855,0.16666666666666666,0.16666666666666666,79,30,109,-4.2485017431192675,4.151730433944955,10.27686633027523,"Eddie Rosario","12155",592696
"Adam Frazier",2025,"SI",199,0.2894736842105263,0.47368421052631576,0.23684210526315788,0,0.1111111111111111,128,71,199,-3.776248894472362,4.146224655276381,10.39337281407035,"Adam Frazier","15223",624428
"Matt Thaiss",2025,"SI",73,0.4666666666666667,0.4,0.13333333333333333,0.5,0,45,28,73,-1.0927798630136987,3.875580109589042,10.871950684931505,"Matt Thaiss","19318",642136
"J.D. Davis",2024,"SI",74,0.16666666666666666,0.5,0.3333333333333333,0.25,0.25,43,31,74,-2.530097027027027,5.280767689189189,11.046562432432435,"J.D. Davis","16219",605204
"Rafael Devers",2025,"SI",401,0.2,0.6571428571428571,0.14285714285714285,0,0.3,262,139,401,2.488917281795511,4.5771955542892755,10.901988229426435,"Rafael Devers","17350",646240
"Kevin Kiermaier",2024,"SI",137,0.13793103448275862,0.7931034482758621,0.06896551724137931,0.5,0,86,51,137,-0.3679162043795621,3.6204469087591242,10.245091021897812,"Kevin Kiermaier","11038",595281
"Amed Rosario",2023,"SI",277,0.26666666666666666,0.56,0.17333333333333334,0.5384615384615384,0,194,83,277,-5.210418664259928,4.414884443682309,10.309265342960286,"Amed Rosario","15518",642708
"Jeimer Candelario",2023,"SI",269,0.2777777777777778,0.42592592592592593,0.2962962962962963,0.1875,0.1875,179,90,269,-2.7604072193308546,4.653753494423789,10.461402118959109,"Jeimer Candelario","13621",600869
"Zack Short",2024,"SI",79,0.25,0.25,0.5,0,0,46,33,79,-6.023381265822784,3.8562270987341787,10.158778101265824,"Zack Short","19562",670097
"Willi Castro",2025,"SI",148,0.3235294117647059,0.5294117647058824,0.14705882352941177,0,0.6,104,44,148,-3.216019594594596,4.869499809459459,10.94016337837838,"Willi Castro","17338",650489
"Isaac Paredes",2024,"SI",506,0.24675324675324675,0.3246753246753247,0.42857142857142855,0.3939393939393939,0.12121212121212122,357,149,506,-6.369919110671934,4.365417235375494,10.65246053359684,"Isaac Paredes","20036",670623
"Justin Turner",2024,"SI",476,0.22916666666666666,0.5416666666666666,0.22916666666666666,0.2727272727272727,0.045454545454545456,322,154,476,-5.420812749999999,4.7073891797731084,10.478094705882349,"Justin Turner","5235",457759
"Christian Bethancourt",2024,"SI",96,0.08695652173913043,0.6521739130434783,0.2608695652173913,0.3333333333333333,0.16666666666666666,64,32,96,-3.5614692708333333,3.4810145416666667,10.314460937500002,"Christian Bethancourt","10028",542194
"Vinny Capra",2025,"SI",74,0.2727272727272727,0.5454545454545454,0.18181818181818182,0,0,58,16,74,-3.5699206756756756,3.671128845540541,10.548264864864866,"Vinny Capra","25040",681962
"Austin Wynns",2023,"SI",84,0.2,0.6666666666666666,0.13333333333333333,0.5,0,66,18,84,-2.87504769047619,4.934653229761905,10.038630238095239,"Austin Wynns","15271",642851
"Carlos Santana",2025,"SI",243,0.125,0.55,0.325,0,0.07692307692307693,152,91,243,-3.5410671646090535,3.4493955211111107,10.354351851851852,"Carlos Santana","2396",467793
"Aaron Hicks",2023,"SI",113,0.13636363636363635,0.5909090909090909,0.2727272727272727,0.16666666666666666,0.16666666666666666,72,41,113,-5.309104424778761,4.628371690265486,10.906452566371682,"Aaron Hicks","5297",543305
"Ramón Urías",2025,"SI",259,0.2542372881355932,0.5254237288135594,0.22033898305084745,0.38461538461538464,0.07692307692307693,188,71,259,-5.361749305019306,4.62189277953668,10.94991254826255,"Ramon Urias","18795",602104
"Ryan O'Hearn",2025,"SI",255,0.3157894736842105,0.5614035087719298,0.12280701754385964,0.14285714285714285,0,169,86,255,-2.592027411764705,4.301048772941177,10.778577647058825,"Ryan O'Hearn","16442",656811
"Vidal Bruján",2025,"SI",61,0.15384615384615385,0.6153846153846154,0.23076923076923078,0,0,40,21,61,-6.2955008196721325,2.959871754098361,10.293336065573769,"Vidal Brujan","20536",660644
"Miguel Andujar",2025,"SI",232,0.22580645161290322,0.5806451612903226,0.1935483870967742,0.25,0.08333333333333333,162,70,232,-6.373431206896552,4.360969525431033,10.758687887931034,"Miguel Andujar","15878",609280
"Jesús Sánchez",2025,"SI",163,0.2962962962962963,0.6296296296296297,0.07407407407407407,0,0.5,95,68,163,-2.3834720613496927,4.5091752147239275,10.849952576687118,"Jesus Sanchez","19913",660821
"Danny Jansen",2024,"SI",251,0.2909090909090909,0.4,0.3090909090909091,0.17647058823529413,0.11764705882352941,170,81,251,-3.230061792828685,4.659450239043823,10.540618207171315,"Danny Jansen","16535",643376
"Lane Thomas",2024,"SI",399,0.1590909090909091,0.5454545454545454,0.29545454545454547,0.23076923076923078,0.15384615384615385,268,131,399,-3.931728621553884,4.966423437192984,10.358037844611529,"Lane Thomas","16939",657041
"Jorge Soler",2024,"SI",493,0.18072289156626506,0.5662650602409639,0.25301204819277107,0.23809523809523808,0.19047619047619047,321,172,493,-5.286020462474645,4.58775472718053,10.297234766734285,"Jorge Soler","14221",624585
"Austin Hedges",2023,"SI",131,0.3125,0.3125,0.375,0.16666666666666666,0,94,37,131,-0.9560448091603052,4.987233083969466,10.67295045801527,"Austin Hedges","12976",595978
