Name,Season,Pitch,Pitches,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,SwStr%,pVAL,pVAL/C,NameASCII,PlayerId,MLBAMID
"Harrison Bader",2023,"SI",211,0.32653061224489793,0.49557522123893805,0.41706161137440756,0.78125,0.9821428571428571,0.9090909090909091,0.5355450236966824,0.037914691943127965,4.892637900000001,2.318785734597157,"Harrison Bader","18030",664056
"Eddie Rosario",2024,"SI",109,0.36363636363636365,0.7230769230769231,0.5779816513761468,0.875,0.9148936170212766,0.9047619047619048,0.5963302752293578,0.05504587155963303,1.4609165999999993,1.3402904587155957,"Eddie Rosario","12155",592696
"Adam Frazier",2025,"SI",199,0.2391304347826087,0.5607476635514018,0.4120603015075377,0.7727272727272727,0.9166666666666666,0.8780487804878049,0.5376884422110553,0.05025125628140704,-0.7444916999999993,-0.37411643216080365,"Adam Frazier","15223",624428
"Matt Thaiss",2025,"SI",73,0.07142857142857142,0.7555555555555555,0.4931506849315068,1,0.8235294117647058,0.8333333333333334,0.6164383561643836,0.0821917808219178,-2.8407435999999997,-3.8914295890410955,"Matt Thaiss","19318",642136
"J.D. Davis",2024,"SI",74,0.08823529411764706,0.7,0.4189189189189189,0.6666666666666666,0.8928571428571429,0.8709677419354839,0.5405405405405406,0.05405405405405406,-1.6440565999999996,-2.2216981081081077,"J.D. Davis","16219",605204
"Rafael Devers",2025,"SI",401,0.18292682926829268,0.6497890295358649,0.45885286783042395,0.7333333333333333,0.8831168831168831,0.8586956521739131,0.5910224438902744,0.06483790523690773,4.1508489,1.0351244139650873,"Rafael Devers","17350",646240
"Kevin Kiermaier",2024,"SI",137,0.24193548387096775,0.6933333333333334,0.48905109489051096,0.5333333333333333,0.8653846153846154,0.7910447761194029,0.5474452554744526,0.10218978102189781,-3.2086260999999996,-2.342062846715328,"Kevin Kiermaier","11038",595281
"Amed Rosario",2023,"SI",277,0.359375,0.6375838926174496,0.5090252707581228,0.7608695652173914,0.9578947368421052,0.8936170212765957,0.5379061371841155,0.05415162454873646,-1.2563478000000012,-0.45355516245487404,"Amed Rosario","15518",642708
"Jeimer Candelario",2023,"SI",269,0.2222222222222222,0.631578947368421,0.45353159851301117,0.7692307692307693,0.9479166666666666,0.9098360655737705,0.5650557620817844,0.040892193308550186,-2.9993581,-1.1150030111524163,"Jeimer Candelario","13621",600869
"Zack Short",2024,"SI",79,0.11428571428571428,0.5454545454545454,0.35443037974683544,0.5,0.875,0.8214285714285714,0.5569620253164557,0.06329113924050633,0.6751957000000001,0.8546781012658229,"Zack Short","19562",670097
"Willi Castro",2025,"SI",148,0.22,0.5714285714285714,0.4527027027027027,0.6363636363636364,0.875,0.835820895522388,0.6621621621621622,0.07432432432432433,1.125299399999999,0.7603374324324317,"Willi Castro","17338",650489
