Name,Season,Pitch,Pitches,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,SwStr%,pVAL,pVAL/C,NameASCII,PlayerId,MLBAMID
"Seby Zavala",2023,"CU",53,0.36666666666666664,0.6521739130434783,0.49056603773584906,0.5454545454545454,0.7333333333333333,0.6538461538461539,0.4339622641509434,0.16981132075471697,0.8867822000000003,1.6731739622641513,"Seby Zavala","18887",664874
"Eduardo Escobar",2023,"CU",130,0.4166666666666667,0.41379310344827586,0.4153846153846154,0.5666666666666667,0.875,0.7037037037037037,0.4461538461538462,0.12307692307692308,0.9346954999999997,0.7189965384615382,"Eduardo Escobar","6153",500871
"Trayce Thompson",2023,"CU",63,0.2571428571428571,0.7142857142857143,0.4603174603174603,0.5555555555555556,0.85,0.7586206896551724,0.4444444444444444,0.1111111111111111,0.3232009000000001,0.5130173015873019,"Trayce Thompson","9952",572204
"Harrison Bader",2023,"CU",106,0.26785714285714285,0.64,0.44339622641509435,0.2,0.9375,0.7021276595744681,0.4716981132075472,0.1320754716981132,2.7733418000000007,2.6163601886792462,"Harrison Bader","18030",664056
"C.J. Cron",2023,"CU",78,0.4583333333333333,0.8333333333333334,0.6025641025641025,0.6818181818181818,0.72,0.7021276595744681,0.38461538461538464,0.1794871794871795,-0.20074230000000023,-0.25736192307692335,"C.J. Cron","12546",543068
"Dominic Smith",2024,"CU",67,0.2571428571428571,0.5625,0.40298507462686567,0.7777777777777778,0.8333333333333334,0.8148148148148148,0.47761194029850745,0.07462686567164178,-2.858849999999999,-4.266940298507461,"Dominic Smith","15653",642086
"Mark Canha",2024,"CU",113,0.14285714285714285,0.3333333333333333,0.23893805309734514,0.5,0.8421052631578947,0.7407407407407407,0.504424778761062,0.061946902654867256,0.4173498999999997,0.36933619469026524,"Mark Canha","11445",592192
"Ramón Laureano",2025,"CU",106,0.3333333333333333,0.6724137931034483,0.5188679245283019,0.3125,0.8205128205128205,0.6727272727272727,0.5471698113207547,0.16981132075471697,-3.4508349,-3.255504622641509,"Ramon Laureano","17128",657656
"Ramón Urías",2025,"CU",92,0.25925925925925924,0.5526315789473685,0.3804347826086957,0.5714285714285714,0.9523809523809523,0.8,0.41304347826086957,0.07608695652173914,0.8958244000000006,0.9737221739130442,"Ramon Urias","18795",602104
"Dominic Canzone",2023,"CU",54,0.391304347826087,0.5483870967741935,0.48148148148148145,0.2222222222222222,0.9411764705882353,0.6923076923076923,0.5740740740740741,0.14814814814814814,3.9474022,7.310004074074074,"Dominic Canzone","26438",686527
