Name,Season,Pitch,Pitches,Vertical Break,Vertical Drop,Horizontal Break,Events,EV,EV90,maxEV,LA,Barrels,Barrel%,HardHit,HardHit%,NameASCII,PlayerId,MLBAMID
"Eloy Jiménez",2024,"FC",70,8.143515900000002,26.545420000000004,1.5812587728571432,18,95.97222222222223,111.6,112.2,16.27777777777778,3,0.16666666666666666,12,0.6666666666666666,"Eloy Jimenez","17484",650391
"Connor Norby",2024,"FC",52,6.444201923076923,28.51306923076923,1.678856596153846,5,89.14,103.8,103.8,12.8,0,0,2,0.4,"Connor Norby","29592",681393
"Rodolfo Castro",2023,"FC",81,7.875739382716049,26.31576543209876,1.1018018604938273,6,75.95,104.1,104.1,17.666666666666668,1,0.16666666666666666,1,0.16666666666666666,"Rodolfo Castro","21987",666801
"Jonah Bride",2025,"FC",65,7.677419384615384,26.713835384615383,0.9148318230769231,7,87.04285714285713,102.2,102.2,23.285714285714285,0,0,3,0.42857142857142855,"Jonah Bride","24703",681146
"Cavan Biggio",2024,"FC",98,8.350316836734695,25.802642857142857,1.8099585102040818,12,80.75,91.9,92.8,14,0,0,0,0,"Cavan Biggio","19252",624415
"Ramón Urías",2025,"FC",93,8.220049032258064,26.540415053763432,1.3631807483870966,19,91.51052631578948,105,107.1,31.57894736842105,2,0.10526315789473684,8,0.42105263157894735,"Ramon Urias","18795",602104
"Eddie Rosario",2024,"FC",108,7.872606212962962,26.763912037037024,2.3248458888888894,17,95.7375,102.8,104.3,6.0625,2,0.11764705882352941,12,0.7058823529411765,"Eddie Rosario","12155",592696
"Dominic Smith",2024,"FC",124,8.474032112903226,25.84659596774194,1.2389195781451614,26,87.25384615384617,103.3,104,13.115384615384615,3,0.11538461538461539,8,0.3076923076923077,"Dominic Smith","15653",642086
"Eduardo Escobar",2023,"FC",63,8.237046412698414,25.961588888888883,-0.2835451825396825,5,86.85999999999999,106,106,13.6,0,0,2,0.4,"Eduardo Escobar","6153",500871
"Josh Naylor",2025,"FC",116,8.249069396551722,25.94038620689655,0.311024424137931,40,87.66315789473686,105.7,107.9,12.657894736842104,2,0.05,17,0.425,"Josh Naylor","18839",647304
"Eric Haase",2023,"FC",64,6.698819546875,28.40228125,1.9419261140625,10,87.24,102.2,102.9,-0.5,0,0,2,0.2,"Eric Haase","14111",606992
"Gio Urshela",2024,"FC",120,8.74226190833333,25.11939666666666,1.9343407941666668,21,88.26190476190476,99,100.5,7.857142857142857,0,0,6,0.2857142857142857,"Gio Urshela","10681",570482
"Ji Man Choi",2023,"FC",51,6.985265666666667,26.548033333333336,2.3992242980392153,10,85.17,102.5,106.7,21.8,1,0.1,4,0.4,"Ji Man Choi","5452",596847
"Jurickson Profar",2023,"FC",205,7.299457605853661,26.63074634146341,0.6759274409756099,34,82.72941176470589,99.5,105.8,11.205882352941176,1,0.029411764705882353,7,0.20588235294117646,"Jurickson Profar","10815",595777
"Ramón Laureano",2025,"FC",141,7.43239134042553,26.682603546099283,0.9711620836879433,20,85.73499999999999,107.6,109.8,11.05,2,0.1,8,0.4,"Ramon Laureano","17128",657656
"Justin Turner",2024,"FC",178,8.2315962247191,25.747672808988764,1.6648675342696628,35,88.76285714285713,102.3,106.2,14.742857142857142,3,0.08571428571428572,12,0.34285714285714286,"Justin Turner","5235",457759
"Cedric Mullins",2025,"FC",169,8.330114378698227,26.214571005917165,0.8003188893491123,27,86.34000000000002,100.2,102.3,26.68,1,0.037037037037037035,5,0.18518518518518517,"Cedric Mullins","17929",656775
"Ramón Laureano",2024,"FC",81,6.934974395061726,27.730491358024693,1.3531116827160494,11,91.4090909090909,104.8,109,8.363636363636363,2,0.18181818181818182,4,0.36363636363636365,"Ramon Laureano","17128",657656
"Austin Hedges",2023,"FC",57,7.539440771929824,27.364503508771936,2.3293785473684214,15,81.32307692307693,97.7,101.5,25.76923076923077,1,0.06666666666666667,2,0.13333333333333333,"Austin Hedges","12976",595978
"Carlos Santana",2023,"FC",270,7.917374085185185,26.478877407407406,1.2704034114814808,35,83.95588235294119,99.8,104.1,5.764705882352941,2,0.05714285714285714,10,0.2857142857142857,"Carlos Santana","2396",467793
"Ke'Bryan Hayes",2025,"FC",131,9.186878244274808,24.309068702290077,1.4422897137404578,23,85.9590909090909,98.4,102.2,23.818181818181817,2,0.08695652173913043,6,0.2608695652173913,"Ke'Bryan Hayes","18577",663647
"Jorge Soler",2024,"FC",137,7.410951394160584,27.908053284671528,2.9560814978102186,27,90.32222222222221,109.4,115.4,12.333333333333334,2,0.07407407407407407,13,0.48148148148148145,"Jorge Soler","14221",624585
