Name,Team,Pos,G,GS,Inn,PO,A,E,FE,TE,DP,DPS,DPT,DPF,Scp,SB,CS,PB,WP,FP,TZ,NameASCII,PlayerId,MLBAMID
"David Peralta","- - -","LF",129,103,860,208,2,2,1,1,0,1,0,0,,,,,,0.99056604,,"David Peralta",2136,444482
"David Peralta","- - -","RF",66,48,427.2,82,2,1,1,0,0,1,0,0,,,,,,0.98823529,,"David Peralta",2136,444482
"Carlos Santana","- - -","1B",381,367,3243,2674,247,14,11,3,188,22,2,194,39,,,,,0.99522998,,"Carlos Santana",2396,467793
"Lance Lynn","- - -","P",55,55,301,8,11,3,1,2,0,0,0,0,,23,,,,0.86363636,,"Lance Lynn",2520,458681
"Tommy Pham","- - -","LF",211,188,1648.2,343,9,4,3,1,0,0,0,0,,,,,,0.98876404,,"Tommy Pham",2967,502054
"Tommy Pham","- - -","RF",71,53,490.2,108,5,3,2,1,0,1,0,0,,,,,,0.97413793,,"Tommy Pham",2967,502054
"Anthony Rizzo","NYY","1B",184,183,1611.1,1258,176,7,7,0,109,12,0,108,21,,,,,0.99514226,,"Anthony Rizzo",3473,519203
"Joey Votto","CIN","1B",47,44,374,296,18,1,0,1,32,0,1,33,2,,,,,0.9968254,,"Joey Votto",4314,458015
"Charlie Morton","- - -","P",90,84,464,24,50,7,1,6,3,1,0,2,,38,,,,0.91358025,,"Charlie Morton",4676,450203
"Mike Moustakas","- - -","1B",50,37,341.2,299,22,0,0,0,21,2,1,21,4,,,,,1,,"Mike Moustakas",4892,519058
"Mike Moustakas","- - -","3B",52,42,359,30,79,4,3,1,11,11,0,0,,,,,,0.96460177,,"Mike Moustakas",4892,519058
"Jason Heyward","- - -","RF",171,136,1157,291,2,6,3,3,0,0,0,0,,,,,,0.97993311,,"Jason Heyward",4940,518792
"Giancarlo Stanton","NYY","RF",46,44,336.1,68,1,0,0,0,0,1,0,0,,,,,,1,,"Giancarlo Stanton",4949,519317
"Josh Donaldson","- - -","3B",38,38,322.1,26,73,2,2,0,8,8,0,1,,,,,,0.98019802,,"Josh Donaldson",5038,518626
"Justin Turner","- - -","1B",122,102,832,666,74,6,6,0,51,3,0,54,11,,,,,0.9919571,,"Justin Turner",5235,457759
"Robbie Grossman","- - -","LF",67,51,424,68,1,3,1,2,0,0,0,0,,,,,,0.95833333,,"Robbie Grossman",5254,543257
"Robbie Grossman","- - -","RF",47,39,331,76,1,1,1,0,0,0,0,0,,,,,,0.98717949,,"Robbie Grossman",5254,543257
"Aaron Hicks","- - -","CF",46,38,332,74,1,1,0,1,0,0,0,0,,,,,,0.98684211,,"Aaron Hicks",5297,543305
"Brandon Crawford","- - -","SS",110,101,858.1,118,264,13,9,4,58,31,27,2,,,,,,0.96708861,,"Brandon Crawford",5343,543063
"Freddie Freeman","LAD","1B",439,438,3758.2,3070,329,8,6,1,277,24,1,284,56,,,,,0.99765189,,"Freddie Freeman",5361,518692
"Jose Altuve","HOU","2B",286,280,2398,329,575,15,9,6,145,60,88,6,,,,,,0.98367791,,"Jose Altuve",5417,514888
"Jose Altuve","HOU","LF",47,44,371,58,2,1,1,0,0,0,0,0,,,,,,0.98360656,,"Jose Altuve",5417,514888
"Kyle Higashioka","- - -","C",237,210,1858.1,1870,47,21,11,10,0,4,0,0,,162,35,17,69,0.98916409,,"Kyle Higashioka",5517,543309
"Wilmer Flores","SFG","1B",142,106,976.1,938,71,5,4,0,90,5,0,91,8,,,,,0.99506903,,"Wilmer Flores",5827,527038
"Jean Segura","MIA","3B",84,83,720.1,45,163,10,5,5,14,16,0,0,,,,,,0.95412844,,"Jean Segura",5933,516416
"Eduardo Escobar","- - -","3B",65,54,480.1,33,103,7,3,4,6,7,0,1,,,,,,0.95104895,,"Eduardo Escobar",6153,500871
"Martín Maldonado","- - -","C",228,218,1840.1,1827,74,11,4,7,1,3,1,1,,171,24,23,65,0.99424686,,"Martin Maldonado",6887,455117
"Martín Pérez","- - -","P",70,54,322.1,14,30,2,2,0,3,5,0,0,,8,,,,0.95652174,,"Martin Perez",6902,527048
"Salvador Perez","KCR","1B",100,91,809,689,53,2,2,0,51,5,0,51,7,,,,,0.99731183,,"Salvador Perez",7304,521692
"Salvador Perez","KCR","C",267,262,2207,1994,80,6,0,6,1,5,1,5,,108,34,6,105,0.99711538,,"Salvador Perez",7304,521692
"Travis d'Arnaud","- - -","C",209,190,1702.2,1724,55,10,2,8,2,6,3,1,,157,32,4,59,0.99441029,,"Travis d'Arnaud",7739,518595
"Miguel Rojas","LAD","2B",70,50,456.1,65,122,2,2,0,26,10,16,1,,,,,,0.98941799,,"Miguel Rojas",7802,500743
"Miguel Rojas","LAD","SS",224,185,1664.2,271,473,9,4,5,81,37,46,3,,,,,,0.98804781,,"Miguel Rojas",7802,500743
"Charlie Blackmon","COL","RF",56,51,422.2,94,3,1,1,0,0,0,0,0,,,,,,0.98979592,,"Charlie Blackmon",7859,453568
"Donovan Solano","- - -","1B",177,120,1103,927,62,4,4,0,76,9,0,83,23,,,,,0.9959718,,"Donovan Solano",8623,456781
"Donovan Solano","- - -","3B",53,41,372.2,22,70,2,0,2,6,8,0,0,,,,,,0.9787234,,"Donovan Solano",8623,456781
"Justin Verlander","- - -","P",69,69,380.1,35,18,0,0,0,1,0,0,1,,30,,,,1,,"Justin Verlander",8700,434378
"Elvis Andrus","CHW","2B",63,60,499.2,92,139,6,5,1,27,11,17,1,,,,,,0.97468354,,"Elvis Andrus",8709,462101
"Elvis Andrus","CHW","SS",52,43,404,63,86,6,4,2,17,9,8,2,,,,,,0.96129032,,"Elvis Andrus",8709,462101
"Nathan Eovaldi","TEX","P",76,76,444.2,74,30,2,1,1,2,1,0,1,,25,,,,0.98113208,,"Nathan Eovaldi",9132,543135
