Name,Season,Pitch,Pitches,LD%,GB%,FB%,IFFB%,HR/FB,Strikes,Balls,Pitches,xMov,zMov,Mov,NameASCII,PlayerId,MLBAMID
"Ramón Laureano",2024,"SL",308,0.23076923076923078,0.358974358974359,0.41025641025641024,0.0625,0.0625,203,105,308,1.6376093686461044,0.8075493156168831,4.731066659090908,"Ramon Laureano","17128",657656
"Isaac Paredes",2024,"SL",765,0.2621359223300971,0.2912621359223301,0.44660194174757284,0.2608695652173913,0.15217391304347827,452,313,765,2.8332795815947716,0.9916400246797387,5.099430802745098,"Isaac Paredes","20036",670623
"Ramón Laureano",2025,"SL",408,0.2903225806451613,0.3548387096774194,0.3548387096774194,0.13636363636363635,0.22727272727272727,239,169,408,2.1895049797794113,1.4830975151470585,4.8872264901960785,"Ramon Laureano","17128",657656
"Elias Díaz",2024,"SL",308,0.22413793103448276,0.4827586206896552,0.29310344827586204,0.11764705882352941,0.17647058823529413,204,104,308,2.741335554318182,0.601291569935065,4.538207058441556,"Elias Diaz","11680",553869
"Jason Heyward",2024,"SL",183,0.3157894736842105,0.3684210526315789,0.3157894736842105,0.16666666666666666,0.5,114,69,183,1.8714123781420766,0.6133975535519127,4.945057251366121,"Jason Heyward","4940",518792
"Garrett Cooper",2023,"SL",487,0.21333333333333335,0.4,0.38666666666666666,0.13793103448275862,0.13793103448275862,321,166,487,1.7120393002053391,0.7945485078028746,4.2679230677618065,"Garrett Cooper","15279",643265
"Miguel Vargas",2024,"SL",229,0.18518518518518517,0.2222222222222222,0.5925925925925926,0.25,0.0625,120,109,229,3.130361298253274,1.0737699532751093,5.497033912663757,"Miguel Vargas","20178",678246
"Vinny Capra",2025,"SL",86,0.08333333333333333,0.5,0.4166666666666667,0.4,0,58,28,86,1.3802616383720934,1.6925188127906976,4.832447546511628,"Vinny Capra","25040",681962
"Oswald Peraza",2025,"SL",201,0.21052631578947367,0.4473684210526316,0.34210526315789475,0.23076923076923078,0.23076923076923078,140,61,201,2.1938547472636816,1.0251160482587067,5.073221432835821,"Oswald Peraza","22823",672724
"Victor Robles",2024,"SL",322,0.26,0.36,0.38,0.3684210526315789,0,223,99,322,2.5746614742236034,1.6273451841614912,5.3805279782608695,"Victor Robles","18363",645302
"Nick Senzel",2024,"SL",246,0.34210526315789475,0.34210526315789475,0.3157894736842105,0.25,0.08333333333333333,157,89,246,2.460402379959349,0.8288809208130082,4.509903215447154,"Nick Senzel","19293",669222
"Kody Clemens",2025,"SL",196,0.25925925925925924,0.2962962962962963,0.4444444444444444,0.16666666666666666,0.3333333333333333,112,84,196,1.311830132653061,0.9747114170408161,4.835295142857144,"Kody Clemens","20572",665019
"Bryan De La Cruz",2024,"SL",707,0.2268041237113402,0.4020618556701031,0.3711340206185567,0.1111111111111111,0.027777777777777776,439,268,707,3.0117825577934925,1.0562000801697304,4.874338944554457,"Bryan De La Cruz","19600",650559
"Tommy Pham",2023,"SL",417,0.1896551724137931,0.5172413793103449,0.29310344827586204,0.058823529411764705,0.23529411764705882,233,184,417,2.4518607916067143,1.3579588360911263,5.043429338129499,"Tommy Pham","2967",502054
"Dylan Moore",2025,"SL",215,0.25,0.34375,0.40625,0.38461538461538464,0.3076923076923077,137,78,215,0.6840369604651159,1.1826275698604651,5.261015427906976,"Dylan Moore","18042",664238
"Jazz Chisholm Jr.",2024,"SL",526,0.15384615384615385,0.47692307692307695,0.36923076923076925,0.25,0.125,325,201,526,0.1305906815589355,1.21534711730038,4.808069323384028,"Jazz Chisholm Jr.","20454",665862
"Gary Sánchez",2023,"SL",322,0.17391304347826086,0.32608695652173914,0.5,0.2608695652173913,0.17391304347826086,197,125,322,1.995853870962733,1.0935074081055898,4.671097590062111,"Gary Sanchez","11442",596142
