Name,Season,Pitch,Pitches,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,SwStr%,pVAL,pVAL/C,NameASCII,PlayerId,MLBAMID
"Ramón Laureano",2024,"SL",308,0.3854748603351955,0.7054263565891473,0.5194805194805194,0.21739130434782608,0.7692307692307693,0.53125,0.41883116883116883,0.2435064935064935,6.3901805,2.0747339285714284,"Ramon Laureano","17128",657656
"Isaac Paredes",2024,"SL",765,0.2391304347826087,0.6524216524216524,0.4287581699346405,0.5757575757575758,0.8558951965065502,0.7713414634146342,0.4588235294117647,0.09803921568627451,-0.4748855099999973,-0.06207653725490161,"Isaac Paredes","20036",670623
"Ramón Laureano",2025,"SL",408,0.20192307692307693,0.695,0.44362745098039214,0.2857142857142857,0.8201438848920863,0.6961325966850829,0.49019607843137253,0.13480392156862744,-9.446454999999993,-2.315307598039214,"Ramon Laureano","17128",657656
"Elias Díaz",2024,"SL",308,0.42441860465116277,0.7573529411764706,0.5714285714285714,0.3972602739726027,0.8058252427184466,0.6363636363636364,0.44155844155844154,0.2077922077922078,-4.2260691,-1.3721003571428572,"Elias Diaz","11680",553869
"Jason Heyward",2024,"SL",183,0.32,0.6626506024096386,0.47540983606557374,0.40625,0.8181818181818182,0.6666666666666666,0.453551912568306,0.15846994535519127,-3.104257899999999,-1.696315792349726,"Jason Heyward","4940",518792
"Garrett Cooper",2023,"SL",487,0.447098976109215,0.5773195876288659,0.4989733059548255,0.44274809160305345,0.8839285714285714,0.6460905349794238,0.39835728952772076,0.17659137577002054,8.6706765,1.7804263860369614,"Garrett Cooper","15279",643265
"Miguel Vargas",2024,"SL",229,0.17054263565891473,0.61,0.3624454148471616,0.7272727272727273,0.9016393442622951,0.8554216867469879,0.4366812227074236,0.05240174672489083,0.9853493999999994,0.4302835807860259,"Miguel Vargas","20178",678246
"Vinny Capra",2025,"SL",86,0.2972972972972973,0.4897959183673469,0.4069767441860465,0.2727272727272727,0.7916666666666666,0.6285714285714286,0.5697674418604651,0.1511627906976744,4.3432520000000014,5.050293023255815,"Vinny Capra","25040",681962
"Oswald Peraza",2025,"SL",201,0.3548387096774194,0.7870370370370371,0.5870646766169154,0.36363636363636365,0.7764705882352941,0.6610169491525424,0.5373134328358209,0.19900497512437812,2.9751726000000005,1.4801853731343286,"Oswald Peraza","22823",672724
"Victor Robles",2024,"SL",322,0.3609467455621302,0.6928104575163399,0.5186335403726708,0.39344262295081966,0.8018867924528302,0.6526946107784432,0.4751552795031056,0.18012422360248448,0.5981270000000001,0.18575372670807455,"Victor Robles","18363",645302
"Nick Senzel",2024,"SL",246,0.23478260869565218,0.6259541984732825,0.44308943089430897,0.2962962962962963,0.8048780487804879,0.6788990825688074,0.532520325203252,0.14227642276422764,0.8646087,0.3514669512195122,"Nick Senzel","19293",669222
"Kody Clemens",2025,"SL",196,0.2871287128712871,0.6210526315789474,0.4489795918367347,0.5862068965517241,0.864406779661017,0.7727272727272727,0.4846938775510204,0.10204081632653061,-1.2025596999999995,-0.6135508673469385,"Kody Clemens","20572",665019
"Bryan De La Cruz",2024,"SL",707,0.2804232804232804,0.7051671732522796,0.4780763790664781,0.4339622641509434,0.771551724137931,0.665680473372781,0.46534653465346537,0.15983026874115983,8.483707100000004,1.1999585714285719,"Bryan De La Cruz","19600",650559
"Tommy Pham",2023,"SL",417,0.2018348623853211,0.5175879396984925,0.35251798561151076,0.36363636363636365,0.8349514563106796,0.6938775510204082,0.47721822541966424,0.1079136690647482,-5.3352807,-1.2794438129496404,"Tommy Pham","2967",502054
"Dylan Moore",2025,"SL",215,0.2653061224489796,0.5555555555555556,0.4232558139534884,0.3076923076923077,0.7692307692307693,0.6373626373626373,0.5441860465116279,0.15348837209302327,-2.6822709000000002,-1.2475678604651164,"Dylan Moore","18042",664238
"Jazz Chisholm Jr.",2024,"SL",526,0.29965156794425085,0.5397489539748954,0.40874524714828897,0.4186046511627907,0.7596899224806202,0.6232558139534884,0.4543726235741445,0.15399239543726237,0.03240789999999795,0.00616119771863079,"Jazz Chisholm Jr.","20454",665862
"Gary Sánchez",2023,"SL",322,0.26900584795321636,0.5562913907284768,0.40372670807453415,0.3695652173913043,0.8571428571428571,0.6846153846153846,0.468944099378882,0.12732919254658384,-0.11943329999999969,-0.03709108695652164,"Gary Sanchez","11442",596142
"Ty France",2025,"SL",408,0.38095238095238093,0.7853107344632768,0.5563725490196079,0.4090909090909091,0.8705035971223022,0.6916299559471366,0.4338235294117647,0.1715686274509804,6.734386500000001,1.6505849264705885,"Ty France","17982",664034
"Curtis Mead",2025,"SL",220,0.33070866141732286,0.6559139784946236,0.4681818181818182,0.47619047619047616,0.8852459016393442,0.7184466019417476,0.42272727272727273,0.1318181818181818,-0.40285869999999924,-0.18311759090909055,"Curtis Mead","23986",678554
"Jace Peterson",2023,"SL",303,0.2875816993464052,0.58,0.43234323432343236,0.3409090909090909,0.8390804597701149,0.6717557251908397,0.49504950495049505,0.1419141914191419,4.260200199999999,1.4060066666666664,"Jace Peterson","12325",607054
"Austin Hedges",2023,"SL",177,0.34831460674157305,0.7613636363636364,0.5536723163841808,0.2903225806451613,0.746268656716418,0.6020408163265306,0.4971751412429379,0.22033898305084745,8.1307374,4.593636949152542,"Austin Hedges","12976",595978
"Kolten Wong",2023,"SL",164,0.2236842105263158,0.6022727272727273,0.4268292682926829,0.35294117647058826,0.8867924528301887,0.7571428571428571,0.5365853658536586,0.10365853658536585,1.3334727000000002,0.8130931097560976,"Kolten Wong","12532",543939
"Jeimer Candelario",2023,"SL",458,0.3568627450980392,0.6600985221674877,0.4912663755458515,0.5274725274725275,0.8059701492537313,0.6933333333333334,0.4432314410480349,0.15065502183406113,-1.4603552000000013,-0.3188548471615723,"Jeimer Candelario","13621",600869
"Joey Loperfido",2024,"SL",166,0.3448275862068966,0.620253164556962,0.4759036144578313,0.3333333333333333,0.7142857142857143,0.569620253164557,0.4759036144578313,0.20481927710843373,3.5860931999999996,2.160297108433735,"Joey Loperfido","29630",694388
"Austin Slater",2025,"SL",132,0.22666666666666666,0.5964912280701754,0.38636363636363635,0.4117647058823529,0.8235294117647058,0.6862745098039216,0.4318181818181818,0.12121212121212122,-2.8290261999999995,-2.1432016666666662,"Austin Slater","16153",596103
"Danny Jansen",2024,"SL",327,0.20689655172413793,0.6078431372549019,0.3944954128440367,0.5833333333333334,0.8602150537634409,0.7829457364341085,0.46788990825688076,0.0856269113149847,1.5151013999999996,0.46333376146788974,"Danny Jansen","16535",643376
"Amed Rosario",2023,"SL",538,0.4222972972972973,0.7272727272727273,0.5594795539033457,0.568,0.8295454545454546,0.7209302325581395,0.44981412639405205,0.15613382899628253,10.9112795,2.0281188661710035,"Amed Rosario","15518",642708
"Enrique Hernández",2023,"SL",496,0.3076923076923077,0.6483050847457628,0.46975806451612906,0.4,0.8169934640522876,0.6738197424892703,0.47580645161290325,0.1532258064516129,5.922676599999999,1.194088024193548,"Enrique Hernandez","10472",571771
"Will Wagner",2025,"SL",95,0.375,0.6808510638297872,0.5263157894736842,0.4444444444444444,0.90625,0.74,0.49473684210526314,0.1368421052631579,2.4578984000000004,2.587261473684211,"Will Wagner","29634",695238
"Rowdy Tellez",2025,"SL",190,0.425,0.509090909090909,0.47368421052631576,0.4117647058823529,0.7142857142857143,0.6,0.5789473684210527,0.18947368421052632,3.8956509000000024,2.0503425789473697,"Rowdy Tellez","15679",642133
"Andrew Vaughn",2025,"SL",428,0.25806451612903225,0.6208530805687204,0.4369158878504673,0.35714285714285715,0.8091603053435115,0.6737967914438503,0.4929906542056075,0.1425233644859813,-2.2277192999999986,-0.5204951635514016,"Andrew Vaughn","26197",683734
"Ramón Urías",2025,"SL",310,0.23841059602649006,0.6792452830188679,0.4645161290322581,0.25,0.8240740740740741,0.6805555555555556,0.5129032258064516,0.14838709677419354,-2.4030351000000003,-0.7751726129032259,"Ramon Urias","18795",602104
"Gio Urshela",2024,"SL",423,0.3776824034334764,0.7684210526315789,0.5531914893617021,0.6363636363636364,0.8904109589041096,0.7948717948717948,0.4491725768321513,0.11347517730496454,-0.19840529999999784,-0.04690432624113424,"Gio Urshela","10681",570482
"Carson Kelly",2024,"SL",315,0.20903954802259886,0.6666666666666666,0.4095238095238095,0.40540540540540543,0.8152173913043478,0.6976744186046512,0.4380952380952381,0.12380952380952381,-0.12561930000000188,-0.03987914285714345,"Carson Kelly","13620",608348
