Name,Season,Pitch,Pitches,Vertical Break,Vertical Drop,Horizontal Break,Events,EV,EV90,maxEV,LA,Barrels,Barrel%,HardHit,HardHit%,NameASCII,PlayerId,MLBAMID
"Ramón Laureano",2024,"SL",308,1.1409754233766236,37.32927207792208,3.3665389790584417,39,89.48717948717949,105.1,109.7,17.666666666666668,2,0.05128205128205128,14,0.358974358974359,"Ramon Laureano","17128",657656
"Isaac Paredes",2024,"SL",765,1.4613743853594763,37.09800418300653,5.701224901045749,104,83.75096153846155,99,104.4,20.682692307692307,2,0.019230769230769232,26,0.25,"Isaac Paredes","20036",670623
"Ramón Laureano",2025,"SL",408,2.3097660563725486,35.38769460784313,4.485142555882353,64,91.94761904761903,106.5,109.5,16.142857142857142,7,0.109375,34,0.53125,"Ramon Laureano","17128",657656
"Elias Díaz",2024,"SL",308,0.7859002360064933,37.620967532467546,5.643460009652597,60,84.51500000000003,101.5,108.5,6.7,3,0.05,14,0.23333333333333334,"Elias Diaz","11680",553869
"Jason Heyward",2024,"SL",183,0.8052093349726773,37.52701475409836,3.846525896174864,20,84.035,101.7,105.5,12.7,3,0.15,6,0.3,"Jason Heyward","4940",518792
"Garrett Cooper",2023,"SL",487,1.1247228340041067,37.05901211498974,3.6533937979260767,76,88.36447368421054,104.7,110.4,16.69736842105263,6,0.07894736842105263,29,0.3815789473684211,"Garrett Cooper","15279",643265
"Miguel Vargas",2024,"SL",229,1.6108612886462883,37.86644716157205,6.108727990829694,27,81.34444444444445,93.9,102.5,28.40740740740741,1,0.037037037037037035,1,0.037037037037037035,"Miguel Vargas","20178",678246
"Vinny Capra",2025,"SL",86,2.6745774302325582,36.75215116279069,2.570538930232559,13,84.15454545454544,99.2,100.3,13.181818181818182,0,0,3,0.23076923076923078,"Vinny Capra","25040",681962
"Oswald Peraza",2025,"SL",201,1.5172355253731344,37.19777064676617,4.33052168159204,38,88.32105263157894,104.1,109.6,8.763157894736842,4,0.10526315789473684,14,0.3684210526315789,"Oswald Peraza","22823",672724
"Victor Robles",2024,"SL",322,2.562198297795031,36.23468322981367,5.095052326708074,53,83.39148936170214,95.8,108.2,21.46808510638298,1,0.018867924528301886,6,0.11320754716981132,"Victor Robles","18363",645302
"Nick Senzel",2024,"SL",246,1.177866919308943,37.23897398373982,5.059516692056911,39,85.86842105263159,99.9,104.3,17.18421052631579,1,0.02564102564102564,12,0.3076923076923077,"Nick Senzel","19293",669222
"Kody Clemens",2025,"SL",196,1.433757331908163,36.72361071428571,2.697222903571429,28,91.0111111111111,106.8,109,18.703703703703702,5,0.17857142857142858,13,0.4642857142857143,"Kody Clemens","20572",665019
"Bryan De La Cruz",2024,"SL",707,1.5725672568599713,36.86558429985855,6.050936037482318,102,86.13564356435644,100.2,107.9,12.712871287128714,3,0.029411764705882353,32,0.3137254901960784,"Bryan De La Cruz","19600",650559
"Tommy Pham",2023,"SL",417,2.09360277159952,36.372069544364514,4.928428818944843,58,88.16034482758623,106,108.8,4.5,6,0.10344827586206896,20,0.3448275862068966,"Tommy Pham","2967",502054
"Dylan Moore",2025,"SL",215,1.7924796493953485,37.0443153488372,1.3162414199999999,33,80.77878787878788,102.9,105.9,22.363636363636363,3,0.09090909090909091,12,0.36363636363636365,"Dylan Moore","18042",664238
"Jazz Chisholm Jr.",2024,"SL",526,1.846221123954373,36.86168764258557,0.25208960380228146,65,88.17076923076921,104.3,107.1,15.153846153846153,3,0.046153846153846156,22,0.3384615384615385,"Jazz Chisholm Jr.","20454",665862
"Gary Sánchez",2023,"SL",322,1.637155230124224,36.50740931677018,4.187018891614906,46,87.76304347826087,105.6,108.7,21.304347826086957,4,0.08695652173913043,15,0.32608695652173914,"Gary Sanchez","11442",596142
"Ty France",2025,"SL",408,1.7905541637745106,36.336973774509794,5.70265786355392,85,90.73294117647062,105.1,107.7,18.870588235294118,12,0.1411764705882353,41,0.4823529411764706,"Ty France","17982",664034
"Curtis Mead",2025,"SL",220,1.234644048181818,37.27097181818181,1.8081451495454544,34,87.328125,102.2,104.3,22,1,0.029411764705882353,8,0.23529411764705882,"Curtis Mead","23986",678554
"Jace Peterson",2023,"SL",303,1.9734519543894404,36.87459834983498,3.616198961056104,37,85.43142857142857,102.6,103.3,11.085714285714285,0,0,15,0.40540540540540543,"Jace Peterson","12325",607054
"Austin Hedges",2023,"SL",177,1.888727703389831,36.82593954802259,5.304765440677966,31,82.87857142857142,100.1,101.6,16.93103448275862,0,0,5,0.16129032258064516,"Austin Hedges","12976",595978
"Kolten Wong",2023,"SL",164,1.6646303682926826,37.10835792682927,3.514225260975611,23,84.24347826086957,96.6,102.7,13.347826086956522,0,0,4,0.17391304347826086,"Kolten Wong","12532",543939
"Jeimer Candelario",2023,"SL",458,1.3419354507423582,37.31808864628821,3.3305713617903927,65,86.61250000000001,102.1,107.6,21.15625,5,0.07692307692307693,20,0.3076923076923077,"Jeimer Candelario","13621",600869
"Joey Loperfido",2024,"SL",166,1.4341252451807232,36.320628313253,3.4251338554216875,24,85.43478260869566,98.5,106.3,24.17391304347826,1,0.041666666666666664,7,0.2916666666666667,"Joey Loperfido","29630",694388
"Austin Slater",2025,"SL",132,2.898069771969696,35.753862121212116,0.7488383257575759,16,94.25624999999998,106.3,110.9,14.5625,5,0.3125,10,0.625,"Austin Slater","16153",596103
"Danny Jansen",2024,"SL",327,1.2204863642201838,37.01610519877677,4.831525935168196,58,81.61206896551721,100.7,105.7,25.79310344827586,3,0.05172413793103448,14,0.2413793103448276,"Danny Jansen","16535",643376
"Amed Rosario",2023,"SL",538,1.7612826125650556,36.84930130111523,4.846623130669144,115,86.59304347826087,102.9,107.2,8.68695652173913,1,0.008695652173913044,43,0.3739130434782609,"Amed Rosario","15518",642708
"Enrique Hernández",2023,"SL",496,1.9734001121169353,36.36291592741935,4.279568324596774,87,84.24597701149428,99.9,107.7,23.896551724137932,5,0.05747126436781609,25,0.28735632183908044,"Enrique Hernandez","10472",571771
"Will Wagner",2025,"SL",95,-0.09593916631578957,38.74734315789473,5.4052517547368435,23,84.70869565217392,98.4,106.3,9.782608695652174,0,0,9,0.391304347826087,"Will Wagner","29634",695238
"Rowdy Tellez",2025,"SL",190,1.612188281052632,37.187561052631565,4.276561489473685,22,88.68181818181819,107.3,111.7,17.59090909090909,2,0.09090909090909091,7,0.3181818181818182,"Rowdy Tellez","15679",642133
"Andrew Vaughn",2025,"SL",428,2.080742923925233,36.21899018691589,4.332696195093459,71,90.94788732394366,104.9,111.2,16.95774647887324,9,0.1267605633802817,30,0.4225352112676056,"Andrew Vaughn","26197",683734
"Ramón Urías",2025,"SL",310,1.929921973419355,36.141071290322586,5.645292299677419,52,89.47843137254903,104,109.4,14.627450980392156,5,0.09615384615384616,18,0.34615384615384615,"Ramon Urias","18795",602104
"Gio Urshela",2024,"SL",423,2.475773026241135,35.79604208037826,6.474484969267141,85,83.0729411764706,101.3,106.9,11.75294117647059,5,0.058823529411764705,20,0.23529411764705882,"Gio Urshela","10681",570482
"Carson Kelly",2024,"SL",315,1.5755943196825395,37.35843587301588,7.616338582920637,51,87.65098039215685,103.9,107.3,15.27450980392157,4,0.0784313725490196,20,0.39215686274509803,"Carson Kelly","13620",608348
"J.D. Davis",2024,"SL",127,3.6717768905511807,35.038142519685024,0.6305952322834646,26,86.87692307692305,102.2,106.4,0.7692307692307693,2,0.07692307692307693,9,0.34615384615384615,"J.D. Davis","16219",605204
"Amed Rosario",2025,"SL",158,1.6613551658227845,36.64248354430379,1.8558243208860759,34,86.71176470588235,103.1,107,8.411764705882353,2,0.058823529411764705,9,0.2647058823529412,"Amed Rosario","15518",642708
"Kevin Kiermaier",2024,"SL",197,1.4110748431472084,37.28112030456851,4.642827508629442,31,83.57931034482759,99.6,102,7.448275862068965,2,0.06451612903225806,7,0.22580645161290322,"Kevin Kiermaier","11038",595281
"Mark Canha",2023,"SL",472,2.1341268913135596,36.50422860169492,2.6065317692796603,79,86.70506329113925,101.9,107.6,11.936708860759493,1,0.012658227848101266,26,0.3291139240506329,"Mark Canha","11445",592192
"Miguel Andujar",2025,"SL",333,1.2297400081081087,37.063331831831825,4.565799424924926,63,83.08709677419353,100.1,109.3,16.61904761904762,1,0.015873015873015872,13,0.20634920634920634,"Miguel Andujar","15878",609280
"Jordan Luplow",2023,"SL",71,3.305505028169014,35.087815492957745,1.8090663450704223,8,80.375,102.3,102.3,9.625,0,0,2,0.25,"Jordan Luplow","16424",656669
"Eddie Rosario",2024,"SL",250,1.9752576097199994,36.07567160000001,5.179837807199999,42,87.8219512195122,99.4,104.5,13.731707317073171,1,0.023809523809523808,13,0.30952380952380953,"Eddie Rosario","12155",592696
"Harold Ramírez",2024,"SL",212,1.5470814599056604,37.205085849056594,5.006534047169814,43,81.96190476190478,100.4,107.2,1.119047619047619,0,0,8,0.18604651162790697,"Harold Ramirez","14387",623912
"Dominic Canzone",2023,"SL",127,0.6647169755905512,37.975554330708654,4.351998354330709,25,89.804,105,106.1,16.16,2,0.08,6,0.24,"Dominic Canzone","26438",686527
"Jacob Amaya",2024,"SL",65,1.3397704061538462,38.22074307692308,7.546128107692306,10,85.9,100.4,103,10.1,0,0,3,0.3,"Jacob Amaya","23296",676070
"Luis Arraez",2024,"SL",389,1.4932795442159374,37.36189845758355,-0.2826185033419023,87,83.32790697674419,96.6,101.8,14.209302325581396,0,0,15,0.1724137931034483,"Luis Arraez","18568",650333
"Mark Canha",2024,"SL",508,1.76413301746063,37.11316023622046,4.86708709055118,75,83.45066666666666,98.3,102.7,8.066666666666666,1,0.013333333333333334,13,0.17333333333333334,"Mark Canha","11445",592192
"Nicky Lopez",2023,"SL",141,1.473988417021277,36.974268085106374,2.3854682723404252,29,85.3103448275862,100.2,107.1,-1.3448275862068966,0,0,7,0.2413793103448276,"Nicky Lopez","19339",670032
"Freddy Fermin",2025,"SL",330,1.3387481046666667,37.14602484848484,5.3421844163636365,54,89.87169811320754,102.3,104.9,22.056603773584907,1,0.018518518518518517,23,0.42592592592592593,"Freddy Fermin","21840",666023
"Garrett Cooper",2024,"SL",133,0.271977927443609,38.83056315789474,2.8983160578947373,22,83.00454545454546,100.2,100.7,12.5,2,0.09090909090909091,8,0.36363636363636365,"Garrett Cooper","15279",643265
"Carlos Correa",2025,"SL",458,1.732473615174673,36.34197358078604,4.604167737117904,70,89.01714285714287,105.2,111.2,8.757142857142858,4,0.05714285714285714,30,0.42857142857142855,"Carlos Correa","14162",621043
"Ty France",2024,"SL",487,1.6767122213552363,36.97664928131416,4.986376579671458,87,88.8954022988506,103.4,109.4,19.28735632183908,8,0.09195402298850575,35,0.40229885057471265,"Ty France","17982",664034
"Harrison Bader",2025,"SL",436,1.5962231917431196,37.45347522935781,4.093836558944954,61,84.87666666666668,105.6,110.7,12.733333333333333,12,0.19672131147540983,22,0.36065573770491804,"Harrison Bader","18030",664056
"Isiah Kiner-Falefa",2025,"SL",393,1.4775792268702292,36.427561832061066,5.195003041730278,109,84.80576923076926,99.5,104.8,5.778846153846154,1,0.009174311926605505,29,0.26605504587155965,"Isiah Kiner-Falefa","16512",643396
"Nathaniel Lowe",2025,"SL",397,1.697788639622166,36.696763727959706,1.56959504231738,55,86.74074074074075,102.6,111.7,19.27777777777778,5,0.09090909090909091,18,0.32727272727272727,"Nathaniel Lowe","19566",663993
"Hunter Feduccia",2025,"SL",65,0.81091878,37.303729230769235,6.183813188769231,8,86.83749999999999,105.9,105.9,27.25,1,0.125,1,0.125,"Hunter Feduccia","23372",676439
"José Tena",2024,"SL",135,0.08643994962962953,39.059380000000004,0.3455155429629633,24,86.40454545454544,103.9,106.8,2.0454545454545454,1,0.041666666666666664,10,0.4166666666666667,"Jose Tena","23691",677588
"Ramón Laureano",2023,"SL",418,1.8987414720095694,36.367260047846884,3.5192209080143533,68,89.93676470588234,104.4,110.9,21.5,4,0.058823529411764705,24,0.35294117647058826,"Ramon Laureano","17128",657656
"Josh Bell",2023,"SL",367,1.0823606798910081,37.21006730245232,3.6116517016348784,54,90.54705882352941,105,108.5,11.882352941176471,7,0.12962962962962962,24,0.4444444444444444,"Josh Bell","13145",605137
"Alex Call",2025,"SL",218,2.390261480275229,35.53037201834862,4.118805700458715,51,86.95,101,109.9,13.354166666666666,2,0.0392156862745098,15,0.29411764705882354,"Alex Call","19296",669743
