Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Tarik Skubal","DET",38,11,0,74,74,452.1,10.983050970956565,1.5320560231225642,0.6764922699502232,0.27392120075046905,0.78082929,0.447802197,0.086075949,96.98138754657661,2.347826113356657,2.6325267879268424,2.326104025350231,2.695526723718042,15.751256942749023,"Tarik Skubal",22267,669373
"Zack Wheeler","PHI",39,18,0,88,88,541.2,10.484307889203498,2.0603077310003703,0.9803077107179182,0.2689393939393939,0.77227311,0.413994169,0.111111111,95.7900398680231,2.9741539020085996,2.861592309756844,3.102740488618639,3.2269611283325856,15.324538469314575,"Zack Wheeler",10310,554430
"Logan Webb","SFG",38,32,0,96,96,605.1,8.430066362626881,1.8138767129461721,0.6541850440133735,0.318314803978935,0.73480496,0.576768257,0.111959287,92.71539529035931,3.2857930619762628,3.8785975230757925,2.9315261141936224,3.002920922935288,14.156548976898193,"Logan Webb",17995,657277
"Sonny Gray","- - -",34,25,0,89,89,514,9.89299640263647,2.2587549308674415,0.9105058636054804,0.30534918276374445,0.71347892,0.441944847,0.112554112,92.4356757091029,3.6595331825681807,3.743276004391306,3.130362954381492,3.2232599528501056,12.28146767616272,"Sonny Gray",12768,543243
"Framber Valdez","HOU",39,27,0,87,87,550.2,8.825666022601666,2.7784504145227467,0.719128342582358,0.2837559972583962,0.73634204,0.576248313,0.130563798,95.61740830365349,3.2687651935561726,3.830549298730033,3.319707007835648,3.245384875575321,12.21026086807251,"Framber Valdez",17295,664285
"Cristopher Sánchez","PHI",27,19,0,79,78,463.1,8.566187426502582,2.0007195123123944,0.718705067529695,0.3020030816640986,0.75020442,0.576515151,0.120915032,,3.0496404216800572,3.4008338738115826,3.0358992059303858,3.023652500401287,12.188232138752937,"Cristopher Sanchez",20778,650911
"Chris Sale","- - -",29,13,0,67,67,387.1,11.408778343554523,2.230636906275426,0.7667814365321777,0.3116178067318133,0.78212291,0.406349206,0.091412742,94.69671442687748,2.927710939486497,3.0215618899761454,2.6851610082264936,3.0338183128888097,11.761059522628784,"Chris Sale",10603,519242
"Kevin Gausman","TOR",35,30,0,90,90,534.2,9.443267012584563,2.609102294029603,1.0099750815598463,0.28246983676366216,0.73184358,0.38678596,0.09983361,94.35658941687069,3.534912785459462,4.133483891207577,3.464621833194279,3.7600950942513203,11.40036392211914,"Kevin Gausman",14107,592332
"Dylan Cease","- - -",28,31,0,95,95,517.1,11.012242376310235,3.6359536439950064,0.9916237210895471,0.30319563522992987,0.68906993,0.371040723,0.104014598,96.55585550152556,4.210051587783691,3.6425483732898583,3.468247893992337,3.695393712545062,11.275091886520386,"Dylan Cease",18525,656302
"Paul Skenes","PIT",21,12,0,53,53,311,10.794212218649518,2.054662379421222,0.5787781350482315,0.2729766803840878,0.83576642,0.472483221,0.077821011,98.52800455897568,1.9389067524115755,2.519984452627704,2.390926182308381,2.8155664364528814,10.425976276397705,"Paul Skenes",33677,694973
"George Kirby","SEA",35,28,0,84,84,490.1,8.3881715295604,1.2848402780508272,1.0278722224406618,0.2972002871500359,0.72201415,0.43006263,0.104089219,96.1491575392695,3.6893270841173753,3.7750019425441423,3.3608847467245475,3.5990377414999353,10.318483352661133,"George Kirby",25436,669923
"Ranger Suárez","PHI",28,20,0,72,72,418.2,8.684713745074644,2.6656052088842968,0.7953821994251531,0.30913748932536295,0.76208178,0.488255033,0.100271002,92.32669784238675,3.4394905921087697,3.6160990528297856,3.3855041256679166,3.6148446558993745,9.967220783233643,"Ranger Suarez",17277,624133
"Garrett Crochet","- - -",21,19,0,74,61,344,11.747093316354974,2.302325638840173,1.020348862667804,0.3062730627306273,0.79297821,0.4608076,0.129568106,96.88763745651093,3.034883796652955,3.0536012069407095,2.8663393108413335,2.7330515933062065,9.934559255838394,"Garrett Crochet",27463,676979
"Logan Gilbert","SEA",26,25,0,87,87,513.2,9.95197972697975,1.7696301979312585,1.2615185569410952,0.2602952602952603,0.73234733,0.426765799,0.135849056,96.02174501733103,3.486697122656638,3.2600926900750733,3.46470746870341,3.267154672891084,9.548032760620117,"Logan Gilbert",22250,669302
"Hunter Brown","HOU",33,29,0,90,87,493.1,9.979054465589964,3.0466217472642123,1.058108151744457,0.3000804505229284,0.75633383,0.494598765,0.144638403,96.14558822478271,3.5756758231364407,3.5470000241087143,3.6343833461751407,3.376386651111792,9.516562518663704,"Hunter Brown",25880,686613
"Michael Wacha","- - -",36,23,0,81,81,460,7.5521741635587665,2.5239131271996915,0.8804348118138459,0.27954545454545454,0.77189409,0.367483296,0.078534031,93.11502846724667,3.3456522848926142,4.102671755411305,3.6907134513898154,4.362755483111101,9.496930599212646,"Michael Wacha",14078,608379
"Pablo López","MIN",31,22,0,76,76,446,10.029148153624053,2.098654744420325,1.130044862380175,0.3056506849315068,0.74574793,0.433526011,0.125279642,94.95339051533063,3.7130045478205753,3.3918525009866234,3.439145208176731,3.383886796570256,9.41031527519226,"Pablo Lopez",17085,641154
"Max Fried","- - -",35,16,0,72,72,428,8.600467443028878,2.5443925687200344,0.6939252460145549,0.28387650085763294,0.74049803,0.557805907,0.105095541,94.62647611845027,3.028037437154421,3.4826288577204845,3.2452839753953215,3.3772033519837295,9.255493521690369,"Max Fried",13743,608331
"Jesús Luzardo","- - -",26,22,0,73,73,407,10.083538650599223,2.9410321064247733,0.995086051045976,0.31553860819828405,0.71772429,0.406654343,0.105882352,96.43493408490012,3.980344204183904,3.858681796158958,3.4539755886995684,3.6701192262289073,8.951134383678436,"Jesus Luzardo",19959,666200
"Zac Gallen","ARI",42,29,0,92,92,532.2,9.005632212033845,2.7202753961302983,1.0644555897901167,0.2929714683368128,0.71955072,0.435656836,0.119544592,93.59714191752325,3.970588311121864,4.219010562906746,3.7099325157047573,3.7292529282385107,8.856950342655182,"Zac Gallen",19291,668678
"Joe Ryan","MIN",31,25,0,80,79,453.2,10.315944390020308,1.8052902682535539,1.408523176329696,0.28067078552515445,0.74578791,0.345896147,0.124343257,93.17544070447339,3.82880243706523,3.3350566191473656,3.6858375333394378,3.6304279275243303,8.844393037259579,"Joe Ryan",21390,657746
"Cole Ragans","- - -",20,17,0,71,54,331,11.202417434849924,3.37160136388687,0.7341390066527862,0.29873417721518986,0.71547884,0.411400247,0.085173501,95.82578158005914,3.534743365365267,3.2156773173896585,2.97419661163068,3.401091123518173,8.748253852128983,"Cole Ragans",21846,666142
"Nathan Eovaldi","TEX",35,16,0,76,76,444.2,8.642428983317842,2.2263868575291865,0.971514265103645,0.26288659793814434,0.77495202,0.4975,0.124352331,95.24897825845196,3.1371814810638536,3.6669770653030023,3.5480855801733795,3.502032185265589,8.721046447753906,"Nathan Eovaldi",9132,543135
"Freddy Peralta","MIL",39,25,0,92,92,503,10.646123583393546,3.3101392654248842,1.2524851274580644,0.2653910149750416,0.79441118,0.387122416,0.12867647,94.54131817448365,3.4174951334927184,3.5251131283980692,3.8838005577958197,3.763234163846536,8.705163955688477,"Freddy Peralta",18679,642547
"Blake Snell","- - -",23,16,0,61,61,332.1,11.753259824308053,4.495486476578656,0.6499498520354683,0.27100271002710025,0.80188679,0.440903054,0.091603053,95.73442947247706,2.599799408141873,3.3321068360611488,3.0726018163541435,3.38654618322391,8.431714057922363,"Blake Snell",13543,605483
"Tyler Glasnow","- - -",21,16,0,58,58,329.2,11.52072809696277,2.893832176014345,1.0374115347975954,0.2581081081081081,0.71980337,0.487080103,0.14126394,96.31434471843201,3.439838246960448,3.064558051111144,3.1235366442761285,2.9018672915752424,8.393064260482788,"Tyler Glasnow",14374,607192
