Name,Team,IP,FA%,FT%,FC%,FS%,FO%,SI%,SL%,CU%,KC%,EP%,CH%,SC%,KN%,UN%,NameASCII,PlayerId,MLBAMID
"Adam Ottavino","- - -",119.1,0.07878202,,0.12759787,,,0.35959401,0.34122765,,,,0.09279845,,,,"Adam Ottavino",1247,493603
"Matt Moore","- - -",101,0.4907793,,0.0035693,,,,,,0.19155265,,0.31409875,,,,"Matt Moore",1890,519043
"Zack Greinke","KCR",142.1,0.26543488,,0.07030194,,,0.1568274,0.20009013,0.14060388,0.00045065,,0.16629112,,,,"Zack Greinke",1943,425844
"Clayton Kershaw","LAD",260.2,0.35829407,,,0.02454748,,0.00322341,0.42722539,0.17505579,,0.00024795,0.0114059,,,,"Clayton Kershaw",2036,477132
"Adam Wainwright","STL",101,0.09915966,,0.22633053,,,0.31428571,0.00280112,0.30588235,0.00168067,,0.04985994,,,,"Adam Wainwright",2233,425794
"Lance Lynn","- - -",301,0.45101806,,0.22704572,,,0.14214368,0.04341145,0.06934307,,,0.06703803,,,,"Lance Lynn",2520,458681
"Kenley Jansen","- - -",154.1,,,0.82009446,,,0.08458566,0.09489051,,,,0.00042937,,,,"Kenley Jansen",3096,445276
"Max Scherzer","- - -",270.1,0.46384562,,0.07556382,,,,0.19460591,0.12485468,,,0.14112997,,,,"Max Scherzer",3137,453286
"Charlie Morton","- - -",464,0.29501058,,0.08187135,,,0.10401891,,0.41445813,,,0.10464104,,,,"Charlie Morton",4676,450203
"Rich Hill","- - -",159,0.33898305,,0.14713307,,,0.04579877,0.09304003,0.3469167,0.00685179,,0.0212766,,,,"Rich Hill",4806,448179
"Jesse Chavez","ATL",106,0.00055679,,0.49777283,,,0.28563474,0.01336303,0.06458797,,,0.13808463,,,,"Jesse Chavez",5448,445926
"Ryan Brasier","- - -",113.2,0.34619952,,0.13064133,,,0.1543943,0.36817102,,,,0.00059382,,,,"Ryan Brasier",5615,518489
"Huascar Brazobán","- - -",163.1,0.17678764,,0.24326267,,,0.26661876,,,,,0.31333094,,,,"Huascar Brazoban",6107,623211
"Albert Suárez","BAL",142.1,0.49745115,,0.19626168,,,,,0.13848768,,,0.16779949,,,,"Albert Suarez",6175,544150
"Alex Cobb","- - -",167.2,0.00254916,,,0.39220685,,0.39949017,0.04661326,,0.15914057,,,,,,"Alex Cobb",6562,502171
"Carlos Carrasco","- - -",239.1,0.27494457,,0.0014782,,,0.15102242,0.23626509,0.08277901,,,0.25351072,,,,"Carlos Carrasco",6632,471911
"Craig Kimbrel","- - -",128.1,0.66337079,,,,,,0.0247191,,0.30696629,,0.00494382,,,,"Craig Kimbrel",6655,518886
"Chase Anderson","- - -",144.2,0.24482339,,0.29435648,,,0.04953309,0.11043443,0.04060089,,,0.26025173,,,,"Chase Anderson",6895,502624
"Martín Pérez","- - -",322.1,0.04381543,,0.2312912,,,0.3796045,0.00445909,0.08801861,,,0.25281117,,,,"Martin Perez",6902,527048
"Luis García","- - -",170,0.07281376,,0.00548847,0.15806806,,0.46212953,0.30150018,,,,,,,,"Luis Garcia",6984,472610
"Ryan Pressly","- - -",163.1,0.30256217,,0.00452148,,,0.03654861,0.31273549,0.25470987,,,0.08892238,,,,"Ryan Pressly",7005,519151
"Fernando Cruz","- - -",173.1,0.30041012,,0.19138756,0.43848257,,0.03656869,0.03246753,,,,0.00068353,,,,"Fernando Cruz",7048,518585
"Jordan Lyles","KCR",182.2,0.30460367,,0.07892004,,,0.13014884,0.24437522,0.13118726,,,0.11076497,,,,"Jordan Lyles",7593,543475
"David Robertson","- - -",150,0.00080192,,0.57738573,,,0.01162791,0.12830794,0.00080192,0.26623897,,0.01483561,,,,"David Robertson",8241,502085
"Justin Verlander","- - -",380.1,0.48313027,,,,,0.00124961,0.25382693,0.18666042,,,0.07513277,,,,"Justin Verlander",8700,434378
"Wade Miley","- - -",139.1,0.19899818,,0.42941712,,,0.06147541,0.04690346,0.0204918,,,0.24271403,,,,"Wade Miley",8779,489119
"Kirby Yates","- - -",160.1,0.57045536,,,0.41986375,,,0.00932234,,,,0.00035855,,,,"Kirby Yates",9073,489446
"Nathan Eovaldi","TEX",444.2,0.331118,,0.17220499,0.29936494,,0.0143258,0.02953773,0.15344853,,,,,,,"Nathan Eovaldi",9132,543135
"Patrick Corbin","- - -",497,0.09685349,,0.13753687,,,0.35287611,0.34476401,0.00762045,0.00024582,,0.06010324,,,,"Patrick Corbin",9323,571578
"Miles Mikolas","STL",514.1,0.27280561,,,,,0.21654561,0.26357257,0.16225532,0.00307768,,0.0817432,,,,"Miles Mikolas",9803,571945
"Caleb Thielbar","- - -",131,0.45168856,,,,,,0.2978424,0.25046904,,,,,,,"Caleb Thielbar",10078,573204
"Kyle Gibson","- - -",374,0.13137126,,0.18349227,,,0.26701743,0.1954949,0.08648471,,,0.13613943,,,,"Kyle Gibson",10123,502043
"Shelby Miller","- - -",143.2,0.60117435,,0.00090334,0.24254743,,,0.15537489,,,,,,,,"Shelby Miller",10197,571946
"Aroldis Chapman","- - -",175.1,0.40353862,,,0.10343654,,0.25280708,0.24021776,,,,,,,,"Aroldis Chapman",10233,547973
"Zack Wheeler","PHI",541.2,0.42099744,,0.10976462,0.05080401,,0.18154276,0.13050571,0.10487066,,,0.0015148,,,,"Zack Wheeler",10310,554430
"Michael Tonkin","- - -",178.2,0.23412698,,,,,0.3531746,0.41269841,,,,,,,,"Michael Tonkin",10315,543859
"Scott Alexander","- - -",104.2,,,,,,0.69612206,0.19326128,,,,0.11061666,,,,"Scott Alexander",10591,518397
"Chris Sale","- - -",387.1,0.40583895,,,,,0.0587103,0.41770934,,,,0.11774142,,,,"Chris Sale",10603,519242
"Jacob deGrom","TEX",196.2,0.46664432,,,,,,0.3851827,0.04190412,,,0.10626886,,,,"Jacob deGrom",10954,594798
"Merrill Kelly","- - -",428,0.25549533,,0.20219813,,,0.12887684,0.07121349,0.09861488,,,0.24360132,,,,"Merrill Kelly",11156,518876
"Tommy Kahnle","- - -",137.2,0.16923077,,,,,0.02222222,0.02649573,,,,0.78205128,,,,"Tommy Kahnle",11384,592454
"Jose Quintana","- - -",373.2,0.19073924,,,,,0.354671,,0.25312754,,,0.20146223,,,,"Jose Quintana",11423,500779
"Robbie Ray","- - -",207.2,0.51749436,,,,,,0.24858916,,0.12556433,,0.10835214,,,,"Robbie Ray",11486,592662
"José Ureña","- - -",198.2,0.16961562,,,0.00732154,,0.31025015,0.29957291,,,,0.21323978,,,,"Jose Urena",11589,570632
"Jameson Taillon","CHC",430.1,0.33743696,,0.21136161,,,0.09581726,0.15499852,0.14639573,,,0.05398991,,,,"Jameson Taillon",11674,592791
"Luke Jackson","- - -",131,0.31117397,,0.00660066,,,,0.56482791,0.11692598,,,0.00047148,,,,"Luke Jackson",11752,592426
"Drew Smyly","CHC",201,,,0.09245173,,,0.4157402,0.00029257,,0.49151551,,,,,,"Drew Smyly",11760,592767
"Héctor Neris","- - -",154.1,0.47356495,,0.00151057,0.36178248,,0.11669184,0.03549849,,,,0.01095166,,,,"Hector Neris",11804,593576
"James Paxton","- - -",196.1,0.55856386,,0.09770453,,,0.02825191,,,0.24896998,,0.06650971,,,,"James Paxton",11828,572020
"Taijuan Walker","PHI",368,0.13721651,,0.19774841,0.27116985,,0.23413281,0.0885952,0.07113722,,,,,,,"Taijuan Walker",11836,592836
"Chris Martin","- - -",133.1,0.3238342,,0.39015544,0.13005181,,0.12797927,0.02797927,,,,,,,,"Chris Martin",11847,455119
"Jason Adam","- - -",193.1,0.3106671,,0.00096681,,,,0.37673219,,,,0.3116339,,,,"Jason Adam",11861,592094
"Kyle Hendricks","- - -",417,0.16005493,,,,,0.36206897,,0.08254501,,,0.3953311,,,,"Kyle Hendricks",12049,543294
"Scott McGough","- - -",115,0.49096386,,,0.36746988,,0.01656627,0.12449799,,0.00050201,,,,,,"Scott McGough",12056,543518
