Name,Team,IP,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,Pace,NameASCII,PlayerId,MLBAMID
"Yuki Matsui","SDP",119,0.31290622,0.70905172,0.49625935,0.46290801,0.83890578,0.71155779,0.46284289,22.69773635,"Yuki Matsui",33826,673513
"Steven Wilson","- - -",138,0.23664122,0.66266986,0.45596708,0.56630824,0.83956574,0.77075812,0.51481481,21.67704918,"Steven Wilson",20353,621051
"Génesis Cabrera","- - -",155.2,0.29290618,0.68838305,0.48781431,0.58854167,0.81527936,0.74623315,0.49284333,21.39674199,"Genesis Cabrera",17490,650893
"Tyler Kinley","- - -",145,0.30849478,0.67946708,0.48930481,0.46376812,0.8177624,0.70335675,0.48739496,21.26078133,"Tyler Kinley",18297,641755
"Alex Vesia","LAD",170,0.27977044,0.684,0.48928818,0.56666667,0.78947368,0.72810734,0.51831375,21.24852071,"Alex Vesia",25007,681911
"Aaron Nola","PHI",468,0.34853678,0.61904762,0.48356002,0.58472012,0.86538462,0.76406335,0.49914169,21.15714286,"Aaron Nola",16149,605400
"Mike Clevinger","CHW",153,0.27493713,0.67575758,0.48547553,0.60670732,0.86210762,0.79344262,0.5252686,21.06111412,"Mike Clevinger",12808,605182
"Kyle Finnegan","- - -",186.1,0.26992897,0.68668252,0.5076297,0.57602339,0.84761905,0.78557114,0.57036283,21.01232877,"Kyle Finnegan",15009,640448
"Devin Williams","- - -",134.1,0.34678045,0.6460945,0.48022356,0.50111857,0.72686567,0.63652641,0.44582975,20.96386222,"Devin Williams",15816,642207
"Andre Pallante","STL",339.1,0.24763292,0.66749733,0.45994599,0.55588235,0.9024,0.81017613,0.50567057,20.9306979,"Andre Pallante",26108,669467
"Alek Manoah","TOR",111.2,0.24860853,0.68027888,0.45677233,0.5858209,0.87262079,0.79179811,0.48222863,20.91741357,"Alek Manoah",26410,666201
"Emilio Pagán","- - -",168,0.31756757,0.718529,0.53579677,0.56117021,0.80905512,0.7420977,0.54426482,20.88599688,"Emilio Pagan",14771,641941
"Pete Fairbanks","TBR",145,0.29569378,0.61502711,0.47217466,0.54045307,0.83501259,0.7524932,0.55265411,20.87130435,"Pete Fairbanks",17998,664126
"Kenley Jansen","- - -",154.1,0.288,0.69300226,0.51910691,0.59027778,0.81867535,0.76426799,0.57063117,20.87123449,"Kenley Jansen",3096,445276
"Ryan Helsley","- - -",152,0.35585971,0.68163593,0.52400662,0.41826923,0.82,0.68799368,0.51614238,20.83849184,"Ryan Helsley",18138,664854
"Adam Ottavino","- - -",119.1,0.23719958,0.58003597,0.42145964,0.52422907,0.84496124,0.76146789,0.53745771,20.81068899,"Adam Ottavino",1247,493603
"Joe Ross","- - -",125,0.27542373,0.68699552,0.49830015,0.55384615,0.84725849,0.77290448,0.54152501,20.8013289,"Joe Ross",12972,605452
"Bryan Woo","SEA",384.2,0.29637263,0.69610231,0.5262697,0.58414465,0.83158355,0.77237937,0.57513135,20.74381158,"Bryan Woo",30279,693433
"JP Sears","- - -",478.2,0.26741259,0.67428967,0.4902581,0.65481172,0.84275437,0.7963871,0.54769737,20.71555556,"JP Sears",23429,676664
"Sam Moll","- - -",118.1,0.25191676,0.59269663,0.43563857,0.55652174,0.84518167,0.76825029,0.53912166,20.71139582,"Sam Moll",14874,594580
"Patrick Sandoval","LAA",224.1,0.27452924,0.6485826,0.46284449,0.52527076,0.83345893,0.74269006,0.50344488,20.71011162,"Patrick Sandoval",19447,663776
"Shane Baz","TBR",234.1,0.28933412,0.66568483,0.49464381,0.54582485,0.84660767,0.76664862,0.54552758,20.66362974,"Shane Baz",22264,669358
"J.T. Ginn","OAK",110.1,0.25816993,0.61767956,0.4366429,0.42194093,0.85867621,0.72864322,0.49643445,20.64662212,"J.T. Ginn",27889,669372
"Jack Leiter","TEX",168,0.26396648,0.67716535,0.47699594,0.52910053,0.85174419,0.76524823,0.51556157,20.60326087,"Jack Leiter",30146,683004
"Josiah Gray","WSN",167.1,0.28607595,0.66264205,0.46352075,0.5840708,0.84244373,0.75812274,0.47121821,20.58762887,"Josiah Gray",24580,680686
"Tylor Megill","NYM",272.2,0.26927835,0.65006227,0.45904013,0.53292496,0.84929757,0.75619648,0.49834506,20.55327414,"Tylor Megill",21318,656731
"Jordan Montgomery","- - -",305.2,0.30641985,0.67273515,0.48080891,0.58226221,0.84085052,0.75450644,0.47606273,20.55322763,"Jordan Montgomery",16511,656756
"Yu Darvish","SDP",275.1,0.28265204,0.64252825,0.47827076,0.55202822,0.847557,0.76784015,0.54357224,20.54837713,"Yu Darvish",13074,506433
"Matt Strahm","PHI",208.2,0.30954064,0.66970021,0.51446847,0.56164384,0.82094325,0.75370041,0.56899178,20.53202774,"Matt Strahm",13799,621381
"Beau Brieske","DET",124.2,0.28972783,0.68809981,0.48005502,0.65454545,0.84937238,0.78796562,0.47776249,20.52503053,"Beau Brieske",26079,689225
"Jason Adam","- - -",193.1,0.30986801,0.66865079,0.48469223,0.48884381,0.75173096,0.66555851,0.48727038,20.48814144,"Jason Adam",11861,592094
"Pierce Johnson","- - -",172.2,0.31014904,0.5885989,0.45165794,0.49199085,0.84480747,0.72565688,0.50820244,20.47144195,"Pierce Johnson",13435,572955
"Trevor Megill","MIL",127,0.33612565,0.63912631,0.49501992,0.42679128,0.85289747,0.71529175,0.52440239,20.44422043,"Trevor Megill",17722,656730
"Chris Bassitt","TOR",532,0.2560915,0.63691983,0.46210911,0.6184466,0.85789997,0.79698691,0.54097238,20.44246554,"Chris Bassitt",12304,605135
"Kyle Bradish","BAL",225,0.27611519,0.61689038,0.44731666,0.47852761,0.87307344,0.75188442,0.50238831,20.42851754,"Kyle Bradish",24586,680694
"Reed Garrett","- - -",130.1,0.31977217,0.63697967,0.46463307,0.48091603,0.80699088,0.68506185,0.45667551,20.40780142,"Reed Garrett",16866,657585
"Jeremiah Estrada","- - -",137.1,0.33126661,0.70321517,0.52391119,0.47860963,0.76318875,0.67644662,0.51793339,20.40626781,"Jeremiah Estrada",22210,669093
"Sonny Gray","- - -",514,0.3046813,0.64289327,0.47756949,0.46527778,0.86664044,0.74147266,0.51118293,20.39386919,"Sonny Gray",12768,543243
"Frankie Montas","- - -",190.2,0.28,0.68676123,0.48440748,0.57569296,0.85370052,0.77375843,0.5025245,20.37504966,"Frankie Montas",14309,593423
"Mark Leiter Jr.","- - -",166.1,0.29300196,0.63069909,0.44920914,0.40625,0.82650602,0.67918623,0.46256591,20.36156042,"Mark Leiter Jr.",15551,643410
"Jhoan Duran","- - -",179.2,0.3064275,0.68988173,0.51048951,0.44390244,0.7952381,0.69657534,0.53216783,20.35121025,"Jhoan Duran",21029,661395
"Aroldis Chapman","- - -",175.1,0.27713459,0.65703276,0.47839401,0.4308094,0.73900293,0.65504979,0.52977203,20.34780642,"Aroldis Chapman",10233,547973
"Tommy Henry","ARI",134,0.28802281,0.66851339,0.48103044,0.63036304,0.87707182,0.80428432,0.50725995,20.29158638,"Tommy Henry",26285,674072
"Fernando Cruz","- - -",173.1,0.31273644,0.65,0.4671907,0.35685484,0.77956372,0.62618873,0.45796309,20.28676471,"Fernando Cruz",7048,518585
"Craig Kimbrel","- - -",128.1,0.25046382,0.6233653,0.44269663,0.49259259,0.8,0.71573604,0.51550562,20.25994065,"Craig Kimbrel",6655,518886
"Caleb Ferguson","- - -",173,0.28687917,0.64020164,0.47786104,0.51937984,0.88188976,0.78189594,0.54053134,20.24850437,"Caleb Ferguson",19349,657571
"Peter Lambert","COL",148.2,0.25577558,0.68519969,0.47609482,0.58709677,0.87314286,0.79831224,0.51305745,20.24041621,"Peter Lambert",17969,663567
"Paul Blackburn","- - -",212,0.27358491,0.67119411,0.4647619,0.59386973,0.8693086,0.78512881,0.48081633,20.23337008,"Paul Blackburn",14739,621112
"Matt Waldron","SDP",192.2,0.23087526,0.63851351,0.45522157,0.65671642,0.86067019,0.81415929,0.55035637,20.22417399,"Matt Waldron",25550,663362
