,Team,W,L,IP,H,R,BB,SO,BF,RA9,WHIP,K/9
Brandon Woodruff,MIL,0.0,0.0,1096.8666666666666,1014.28,548.72,660.4,841.3,4965.28,4.5,1.53,6.9
Nathan Eovaldi,TEX,0.0,0.0,1067.0933333333335,1049.78,552.48,706.6,787.24,4957.66,4.66,1.65,6.64
Luis Castillo,SEA,0.0,0.0,1065.1533333333334,1043.04,582.1,723.28,733.98,4961.78,4.92,1.66,6.2
Jameson Taillon,CHC,0.0,0.0,1060.56,1049.82,586.1,703.74,768.86,4935.24,4.97,1.65,6.52
Pablo López,MIN,0.0,0.0,1058.1266666666668,1034.0,558.12,711.5,793.64,4919.88,4.75,1.65,6.75
Sandy Alcantara,MIA,0.0,0.0,1057.8,1060.0,578.48,723.22,733.68,4956.62,4.92,1.69,6.24
Zack Wheeler,PHI,0.0,0.0,1057.34,1028.18,567.02,719.78,788.66,4919.98,4.83,1.65,6.71
Mitch Keller,PIT,0.0,0.0,1055.9066666666665,1057.88,579.7,715.02,777.2,4940.62,4.94,1.68,6.62
Mike Clevinger,CHW,0.0,0.0,1051.28,1034.28,609.1,744.74,719.46,4932.86,5.21,1.69,6.16
Gerrit Cole,NYY,0.0,0.0,1048.2066666666667,1043.36,587.34,741.04,746.5,4929.02,5.04,1.7,6.41
James Kaprielian,OAK,0.0,0.0,1048.1466666666668,1002.0,588.68,731.76,797.82,4878.2,5.05,1.65,6.85
Andrés Machado,WSN,0.0,0.0,1048.0266666666666,1094.62,606.66,713.48,738.02,4952.18,5.21,1.73,6.34
Hunter Strickland,LAA,0.0,0.0,1047.94,987.26,584.3,764.42,743.0,4895.5,5.02,1.67,6.38
Ty Blach,COL,0.0,0.0,1044.3333333333333,1124.9,618.98,713.86,688.3,4971.76,5.33,1.76,5.93
Clayton Kershaw,LAD,0.0,0.0,1043.2466666666667,1016.98,559.56,751.24,800.48,4897.96,4.83,1.69,6.91
Jason Foley,DET,0.0,0.0,1042.36,1056.04,566.7,745.06,756.3,4928.18,4.89,1.73,6.53
Garrett Cleavinger,TBR,0.0,0.0,1034.0,965.6,551.04,754.9,863.86,4822.5,4.8,1.66,7.52
Joe Musgrove,SDP,0.0,0.0,1032.5133333333333,1004.7,562.42,746.66,825.72,4848.9,4.9,1.7,7.2
Zack Greinke,KCR,0.0,0.0,1023.1133333333333,1042.12,606.08,774.82,701.18,4886.28,5.33,1.78,6.17
Albert Suárez,BAL,0.0,0.0,1009.4200000000001,1065.58,657.84,808.44,634.9,4902.28,5.87,1.86,5.66
