Inning,Inning Half,Event,Detailed Event,Contact Power,Pitch Type,Pitch Outcome,Batter,Batter Number,Bases,Baserunners,Baserunning Event,Baserunning Result,Balls,Strikes,Outs,Team 1 Score,Team 2 Score,Pitcher
1,top,strike,called strike,NA,slider,strike,William Contreras,1,"[0, 0, 0]","[0, 0, 0]",None,NA,0,1,0,0,0,Fernando Cruz
1,top,ball,ball,NA,slider,ball,William Contreras,1,"[0, 0, 0]","[0, 0, 0]",None,NA,1,1,0,0,0,Fernando Cruz
1,top,foul,foul,NA,fastball,strike,William Contreras,1,"[0, 0, 0]","[0, 0, 0]",None,NA,1,2,0,0,0,Fernando Cruz
1,top,ball,ball,NA,slider,ball,William Contreras,1,"[0, 0, 0]","[0, 0, 0]",None,NA,2,2,0,0,0,Fernando Cruz
1,top,strikeout,strikeout swinging,NA,fastball,strike,William Contreras,1,"[0, 0, 0]","[0, 0, 0]",None,NA,2,3,1,0,0,Fernando Cruz
1,top,ball,ball,NA,fastball,ball,Trayce Thompson,2,"[0, 0, 0]","[0, 0, 0]",None,NA,1,0,1,0,0,Fernando Cruz
1,top,strike,swinging strike,NA,fastball,strike,Trayce Thompson,2,"[0, 0, 0]","[0, 0, 0]",None,NA,1,1,1,0,0,Fernando Cruz
1,top,single,line drive single,medium,fastball,strike,Trayce Thompson,2,"[1, 0, 0]","['Trayce Thompson', 0, 0]",None,safe,1,1,1,0,0,Fernando Cruz
1,top,ball,ball,NA,fastball,ball,Austin Wells,3,"[1, 0, 0]","['Trayce Thompson', 0, 0]",None,safe,1,0,1,0,0,Fernando Cruz
1,top,ball,ball,NA,fastball,ball,Austin Wells,3,"[1, 0, 0]","['Trayce Thompson', 0, 0]",None,safe,2,0,1,0,0,Fernando Cruz
1,top,ball,ball,NA,slider,ball,Austin Wells,3,"[1, 0, 0]","['Trayce Thompson', 0, 0]",None,safe,3,0,1,0,0,Fernando Cruz
1,top,strike,called strike,NA,slider,strike,Austin Wells,3,"[1, 0, 0]","['Trayce Thompson', 0, 0]",None,safe,3,1,1,0,0,Fernando Cruz
1,top,strike,called strike,NA,slider,strike,Austin Wells,3,"[1, 0, 0]","['Trayce Thompson', 0, 0]",None,safe,3,2,1,0,0,Fernando Cruz
1,top,walk,walk,NA,fastball,ball,Austin Wells,3,"[1, 1, 0]","['Austin Wells', 'Trayce Thompson', 0]",None,safe,4,2,1,0,0,Fernando Cruz
1,top,ball,ball,NA,slider,ball,Daniel Johnson,4,"[1, 1, 0]","['Austin Wells', 'Trayce Thompson', 0]",None,safe,1,0,1,0,0,Fernando Cruz
1,top,strike,called strike,NA,slider,strike,Daniel Johnson,4,"[1, 1, 0]","['Austin Wells', 'Trayce Thompson', 0]",None,safe,1,1,1,0,0,Fernando Cruz
1,top,out,fly out,medium,slider,strike,Daniel Johnson,4,"[1, 1, 0]","['Austin Wells', 'Trayce Thompson', 0]",None,safe,1,1,2,0,0,Fernando Cruz
1,top,ball,ball,NA,slider,ball,Owen Miller,5,"[1, 1, 0]","['Austin Wells', 'Trayce Thompson', 0]",None,safe,1,0,2,0,0,Fernando Cruz
1,top,strike,called strike,NA,fastball,strike,Owen Miller,5,"[1, 1, 0]","['Austin Wells', 'Trayce Thompson', 0]",None,safe,1,1,2,0,0,Fernando Cruz
1,top,strike,called strike,NA,slider,strike,Owen Miller,5,"[1, 1, 0]","['Austin Wells', 'Trayce Thompson', 0]",None,safe,1,2,2,0,0,Fernando Cruz
1,top,ball,ball,NA,slider,ball,Owen Miller,5,"[1, 1, 0]","['Austin Wells', 'Trayce Thompson', 0]",None,safe,2,2,2,0,0,Fernando Cruz
1,top,single,line drive single,hard,fastball,strike,Owen Miller,5,"[1, 0, 1]","['Owen Miller', 0, 'Austin Wells']",first to third attempted,safe,2,2,2,1,0,Fernando Cruz
1,top,strike,called strike,NA,fastball,strike,Jordan Lawlar,6,"[1, 0, 1]","['Owen Miller', 0, 'Austin Wells']",None,safe,0,1,2,1,0,Fernando Cruz
1,top,strike,swinging strike,NA,slider,strike,Jordan Lawlar,6,"[1, 0, 1]","['Owen Miller', 0, 'Austin Wells']",None,safe,0,2,2,1,0,Fernando Cruz
1,top,ball,ball,NA,slider,ball,Jordan Lawlar,6,"[1, 0, 1]","['Owen Miller', 0, 'Austin Wells']",None,safe,1,2,2,1,0,Fernando Cruz
1,top,strikeout,strikeout swinging,NA,fastball,strike,Jordan Lawlar,6,"[1, 0, 1]","['Owen Miller', 0, 'Austin Wells']",None,safe,1,3,3,1,0,Fernando Cruz
1,bottom,ball,ball,NA,fastball,ball,Aaron Schunk,1,"[0, 0, 0]","[0, 0, 0]",None,NA,1,0,0,1,0,George Kirby
1,bottom,ball,ball,NA,fastball,ball,Aaron Schunk,1,"[0, 0, 0]","[0, 0, 0]",None,NA,2,0,0,1,0,George Kirby
1,bottom,ball,ball,NA,fastball,ball,Aaron Schunk,1,"[0, 0, 0]","[0, 0, 0]",None,NA,3,0,0,1,0,George Kirby
1,bottom,strike,called strike,NA,fastball,strike,Aaron Schunk,1,"[0, 0, 0]","[0, 0, 0]",None,NA,3,1,0,1,0,George Kirby
1,bottom,out,line out,hard,fastball,strike,Aaron Schunk,1,"[0, 0, 0]","[0, 0, 0]",None,NA,3,1,1,1,0,George Kirby
1,bottom,ball,ball,NA,fastball,ball,Richie Palacios,2,"[0, 0, 0]","[0, 0, 0]",None,NA,1,0,1,1,0,George Kirby
1,bottom,ball,ball,NA,fastball,ball,Richie Palacios,2,"[0, 0, 0]","[0, 0, 0]",None,NA,2,0,1,1,0,George Kirby
1,bottom,ball,ball,NA,curveball,ball,Richie Palacios,2,"[0, 0, 0]","[0, 0, 0]",None,NA,3,0,1,1,0,George Kirby
1,bottom,strike,called strike,NA,fastball,strike,Richie Palacios,2,"[0, 0, 0]","[0, 0, 0]",None,NA,3,1,1,1,0,George Kirby
1,bottom,out,ground out,hard,fastball,strike,Richie Palacios,2,"[0, 0, 0]","[0, 0, 0]",None,NA,3,1,2,1,0,George Kirby
1,bottom,ball,ball,NA,fastball,ball,Blaze Alexander,3,"[0, 0, 0]","[0, 0, 0]",None,NA,1,0,2,1,0,George Kirby
1,bottom,ball,ball,NA,slider,ball,Blaze Alexander,3,"[0, 0, 0]","[0, 0, 0]",None,NA,2,0,2,1,0,George Kirby
1,bottom,ball,ball,NA,slider,ball,Blaze Alexander,3,"[0, 0, 0]","[0, 0, 0]",None,NA,3,0,2,1,0,George Kirby
1,bottom,foul,foul,NA,fastball,strike,Blaze Alexander,3,"[0, 0, 0]","[0, 0, 0]",None,NA,3,1,2,1,0,George Kirby
1,bottom,double,fly ball double,hard,fastball,strike,Blaze Alexander,3,"[0, 1, 0]","[0, 'Blaze Alexander', 0]",None,safe,3,1,2,1,0,George Kirby
1,bottom,out,ground out,medium,fastball,strike,Elehuris Montero,4,"[0, 1, 0]","[0, 'Blaze Alexander', 0]",None,safe,0,0,3,1,0,George Kirby
2,top,ball,ball,NA,fastball,ball,Mike Tauchman,7,"[0, 0, 0]","[0, 0, 0]",None,NA,1,0,0,1,0,Fernando Cruz
2,top,ball,ball,NA,fastball,ball,Mike Tauchman,7,"[0, 0, 0]","[0, 0, 0]",None,NA,2,0,0,1,0,Fernando Cruz
2,top,ball,ball,NA,fastball,ball,Mike Tauchman,7,"[0, 0, 0]","[0, 0, 0]",None,NA,3,0,0,1,0,Fernando Cruz
2,top,walk,walk,NA,slider,ball,Mike Tauchman,7,"[1, 0, 0]","['Mike Tauchman', 0, 0]",None,safe,4,0,0,1,0,Fernando Cruz
2,top,strike,called strike,NA,fastball,strike,Andrew Benintendi,8,"[1, 0, 0]","['Mike Tauchman', 0, 0]",None,safe,0,1,0,1,0,Fernando Cruz
2,top,ball,ball,NA,fastball,ball,Andrew Benintendi,8,"[1, 0, 0]","['Mike Tauchman', 0, 0]",None,safe,1,1,0,1,0,Fernando Cruz
2,top,single,line drive single,hard,fastball,strike,Andrew Benintendi,8,"[1, 0, 1]","['Andrew Benintendi', 0, 'Mike Tauchman']",first to third attempted,safe,1,1,0,1,0,Fernando Cruz
2,top,single,line drive single,hard,slider,strike,Gleyber Torres,9,"[1, 0, 1]","['Gleyber Torres', 0, 'Andrew Benintendi']",first to third attempted,safe,0,0,0,2,0,Fernando Cruz
2,top,out,fly out,medium,fastball,strike,William Contreras,1,"[1, 0, 0]","['Gleyber Torres', 0, 0]",tag up third to home attempted,safe,0,0,1,3,0,Fernando Cruz
2,top,ball,ball,NA,fastball,ball,Trayce Thompson,2,"[1, 0, 0]","['Gleyber Torres', 0, 0]",None,safe,1,0,1,3,0,Fernando Cruz
2,top,ball,ball,NA,fastball,ball,Trayce Thompson,2,"[1, 0, 0]","['Gleyber Torres', 0, 0]",None,safe,2,0,1,3,0,Fernando Cruz
2,top,strike,called strike,NA,slider,strike,Trayce Thompson,2,"[1, 0, 0]","['Gleyber Torres', 0, 0]",None,safe,2,1,1,3,0,Fernando Cruz
2,top,strike,called strike,NA,slider,strike,Trayce Thompson,2,"[1, 0, 0]","['Gleyber Torres', 0, 0]",None,safe,2,2,1,3,0,Fernando Cruz
2,top,out,ground out,medium,fastball,strike,Trayce Thompson,2,"[1, 0, 0]","['Gleyber Torres', 0, 0]",None,safe,2,2,2,3,0,Fernando Cruz
2,top,out,fly out,hard,fastball,strike,Austin Wells,3,"[1, 0, 0]","['Gleyber Torres', 0, 0]",None,safe,0,0,3,3,0,Fernando Cruz
2,bottom,ball,ball,NA,slider,ball,Wilyer Abreu,5,"[0, 0, 0]","[0, 0, 0]",None,NA,1,0,0,3,0,George Kirby
2,bottom,ball,ball,NA,slider,ball,Wilyer Abreu,5,"[0, 0, 0]","[0, 0, 0]",None,NA,2,0,0,3,0,George Kirby
2,bottom,strike,called strike,NA,slider,strike,Wilyer Abreu,5,"[0, 0, 0]","[0, 0, 0]",None,NA,2,1,0,3,0,George Kirby
2,bottom,strike,called strike,NA,curveball,strike,Wilyer Abreu,5,"[0, 0, 0]","[0, 0, 0]",None,NA,2,2,0,3,0,George Kirby
2,bottom,foul,foul,NA,fastball,strike,Wilyer Abreu,5,"[0, 0, 0]","[0, 0, 0]",None,NA,2,2,0,3,0,George Kirby
2,bottom,foul,foul,NA,fastball,strike,Wilyer Abreu,5,"[0, 0, 0]","[0, 0, 0]",None,NA,2,2,0,3,0,George Kirby
2,bottom,ball,ball,NA,fastball,ball,Wilyer Abreu,5,"[0, 0, 0]","[0, 0, 0]",None,NA,3,2,0,3,0,George Kirby
2,bottom,walk,walk,NA,fastball,ball,Wilyer Abreu,5,"[1, 0, 0]","['Wilyer Abreu', 0, 0]",None,safe,4,2,0,3,0,George Kirby
2,bottom,ball,ball,NA,fastball,ball,Brandon Marsh,6,"[1, 0, 0]","['Wilyer Abreu', 0, 0]",None,safe,1,0,0,3,0,George Kirby
2,bottom,strike,called strike,NA,fastball,strike,Brandon Marsh,6,"[1, 0, 0]","['Wilyer Abreu', 0, 0]",None,safe,1,1,0,3,0,George Kirby
2,bottom,strike,called strike,NA,curveball,strike,Brandon Marsh,6,"[1, 0, 0]","['Wilyer Abreu', 0, 0]",None,safe,1,2,0,3,0,George Kirby
2,bottom,ball,ball,NA,fastball,ball,Brandon Marsh,6,"[1, 0, 0]","['Wilyer Abreu', 0, 0]",None,safe,2,2,0,3,0,George Kirby
2,bottom,strikeout,strikeout looking,NA,slider,strike,Brandon Marsh,6,"[1, 0, 0]","['Wilyer Abreu', 0, 0]",None,safe,2,3,1,3,0,George Kirby
2,bottom,ball,ball,NA,slider,ball,Jerar Encarnacion,7,"[1, 0, 0]","['Wilyer Abreu', 0, 0]",None,safe,1,0,1,3,0,George Kirby
2,bottom,strike,called strike,NA,curveball,strike,Jerar Encarnacion,7,"[1, 0, 0]","['Wilyer Abreu', 0, 0]",None,safe,1,1,1,3,0,George Kirby
2,bottom,foul,foul,NA,fastball,strike,Jerar Encarnacion,7,"[1, 0, 0]","['Wilyer Abreu', 0, 0]",None,safe,1,2,1,3,0,George Kirby
2,bottom,ball,ball,NA,fastball,ball,Jerar Encarnacion,7,"[1, 0, 0]","['Wilyer Abreu', 0, 0]",None,safe,2,2,1,3,0,George Kirby
2,bottom,strikeout,strikeout swinging,NA,fastball,strike,Jerar Encarnacion,7,"[1, 0, 0]","['Wilyer Abreu', 0, 0]",None,safe,2,3,2,3,0,George Kirby
2,bottom,strike,swinging strike,NA,curveball,strike,Jasson Domínguez,8,"[1, 0, 0]","['Wilyer Abreu', 0, 0]",None,safe,0,1,2,3,0,George Kirby
2,bottom,single,line drive single,medium,fastball,strike,Jasson Domínguez,8,"[1, 1, 0]","['Jasson Domínguez', 'Wilyer Abreu', 0]",None,safe,0,1,2,3,0,George Kirby
2,bottom,ball,ball,NA,slider,ball,Brandon Crawford,9,"[1, 1, 0]","['Jasson Domínguez', 'Wilyer Abreu', 0]",None,safe,1,0,2,3,0,George Kirby
2,bottom,strike,called strike,NA,slider,strike,Brandon Crawford,9,"[1, 1, 0]","['Jasson Domínguez', 'Wilyer Abreu', 0]",None,safe,1,1,2,3,0,George Kirby
2,bottom,ball,ball,NA,slider,ball,Brandon Crawford,9,"[1, 1, 0]","['Jasson Domínguez', 'Wilyer Abreu', 0]",None,safe,2,1,2,3,0,George Kirby
2,bottom,home_run,fly ball home run,medium,slider,strike,Brandon Crawford,9,"[0, 0, 0]","[0, 0, 0]",None,NA,2,1,2,3,3,George Kirby
2,bottom,ball,ball,NA,fastball,ball,Aaron Schunk,1,"[0, 0, 0]","[0, 0, 0]",None,NA,1,0,2,3,3,George Kirby
2,bottom,ball,ball,NA,fastball,ball,Aaron Schunk,1,"[0, 0, 0]","[0, 0, 0]",None,NA,2,0,2,3,3,George Kirby
2,bottom,out,line out,soft,fastball,strike,Aaron Schunk,1,"[0, 0, 0]","[0, 0, 0]",None,NA,2,0,3,3,3,George Kirby
3,top,ball,ball,NA,fastball,ball,Daniel Johnson,4,"[0, 0, 0]","[0, 0, 0]",None,NA,1,0,0,3,3,Fernando Cruz
3,top,ball,ball,NA,fastball,ball,Daniel Johnson,4,"[0, 0, 0]","[0, 0, 0]",None,NA,2,0,0,3,3,Fernando Cruz
3,top,ball,ball,NA,fastball,ball,Daniel Johnson,4,"[0, 0, 0]","[0, 0, 0]",None,NA,3,0,0,3,3,Fernando Cruz
3,top,walk,walk,NA,fastball,ball,Daniel Johnson,4,"[1, 0, 0]","['Daniel Johnson', 0, 0]",None,safe,4,0,0,3,3,Fernando Cruz
3,top,out,fly out,hard,fastball,strike,Owen Miller,5,"[1, 0, 0]","['Daniel Johnson', 0, 0]",None,safe,0,0,1,3,3,Fernando Cruz
3,top,out,line out,medium,fastball,strike,Jordan Lawlar,6,"[1, 0, 0]","['Daniel Johnson', 0, 0]",None,safe,0,0,2,3,3,Fernando Cruz
