,Inning,Inning Half,Event,Batter,Bases,Balls,Strikes,Outs,Team 1 Score,Team 2 Score,Pitcher
0,1,top,Init,NA,"[0, 0, 0]",0,0,0,0,0,NA
1,1,top,ball,1,"[0, 0, 0]",1,0,0,0,0,2
2,1,top,strike,1,"[0, 0, 0]",1,1,0,0,0,2
3,1,top,strike,1,"[0, 0, 0]",1,2,0,0,0,2
4,1,top,ball,1,"[0, 0, 0]",2,2,0,0,0,2
5,1,top,strike,1,"[0, 0, 0]",2,3,1,0,0,2
6,1,top,fly_out,2,"[0, 0, 0]",0,0,2,0,0,2
7,1,top,fly_out,3,"[0, 0, 0]",0,0,3,0,0,2
8,1,bottom,strike,10,"[0, 0, 0]",0,1,0,0,0,1
9,1,bottom,strike,10,"[0, 0, 0]",0,2,0,0,0,1
10,1,bottom,fly_out,10,"[0, 0, 0]",0,2,1,0,0,1
11,1,bottom,ball,11,"[0, 0, 0]",1,0,1,0,0,1
12,1,bottom,fly_out,11,"[0, 0, 0]",1,0,2,0,0,1
13,1,bottom,ball,12,"[0, 0, 0]",1,0,2,0,0,1
14,1,bottom,single,12,"[1, 0, 0]",1,0,2,0,0,1
15,1,bottom,ground_out,13,"[1, 0, 0]",0,0,3,0,0,1
16,2,top,ball,4,"[0, 0, 0]",1,0,0,0,0,2
17,2,top,strike,4,"[0, 0, 0]",1,1,0,0,0,2
18,2,top,strike,4,"[0, 0, 0]",1,2,0,0,0,2
19,2,top,strike,4,"[0, 0, 0]",1,3,1,0,0,2
20,2,top,ball,5,"[0, 0, 0]",1,0,1,0,0,2
21,2,top,ball,5,"[0, 0, 0]",2,0,1,0,0,2
22,2,top,ball,5,"[0, 0, 0]",3,0,1,0,0,2
23,2,top,ball,5,"[1, 0, 0]",4,0,1,0,0,2
24,2,top,strike,6,"[1, 0, 0]",0,1,1,0,0,2
25,2,top,ball,6,"[1, 0, 0]",1,1,1,0,0,2
26,2,top,strike,6,"[1, 0, 0]",1,2,1,0,0,2
27,2,top,ball,6,"[1, 0, 0]",2,2,1,0,0,2
28,2,top,strike,6,"[1, 0, 0]",2,3,2,0,0,2
29,2,top,ball,7,"[1, 0, 0]",1,0,2,0,0,2
30,2,top,ball,7,"[1, 0, 0]",2,0,2,0,0,2
31,2,top,strike,7,"[1, 0, 0]",2,1,2,0,0,2
32,2,top,ball,7,"[1, 0, 0]",3,1,2,0,0,2
33,2,top,ball,7,"[1, 1, 0]",4,1,2,0,0,2
34,2,top,ground_out,8,"[1, 1, 0]",0,0,3,0,0,2
35,2,bottom,ball,14,"[0, 0, 0]",1,0,0,0,0,1
36,2,bottom,strike,14,"[0, 0, 0]",1,1,0,0,0,1
37,2,bottom,strike,14,"[0, 0, 0]",1,2,0,0,0,1
38,2,bottom,strike,14,"[0, 0, 0]",1,3,1,0,0,1
39,2,bottom,ball,15,"[0, 0, 0]",1,0,1,0,0,1
40,2,bottom,ball,15,"[0, 0, 0]",2,0,1,0,0,1
41,2,bottom,strike,15,"[0, 0, 0]",2,1,1,0,0,1
