,PA,AB,H,1B,2B,3B,HR,BB,SO,R,RBI,AVG,OBP,SLG,OPS
Shohei Ohtani,32.1,27.0,7.9,4.2,0.9,0.1,2.7,5.1,5.7,0.0,6.8,0.293,0.405,0.634,1.039
Kyle Schwarber,53.7,43.1,12.2,6.4,1.8,0.1,3.9,10.6,9.3,0.0,10.2,0.283,0.424,0.602,1.026
Aaron Judge,44.5,35.4,9.8,5.2,1.5,0.2,2.9,9.1,7.0,0.0,7.1,0.277,0.424,0.574,0.998
Bryce Harper,54.8,44.8,12.5,7.4,2.0,0.2,2.8,10.1,7.0,0.0,8.1,0.28,0.412,0.522,0.934
Cal Raleigh,53.8,43.6,11.5,6.6,1.6,0.2,3.1,10.1,8.0,0.0,8.7,0.264,0.403,0.524,0.927
Giancarlo Stanton,43.6,35.5,9.1,5.2,1.3,0.1,2.5,8.0,7.0,0.0,7.2,0.257,0.394,0.514,0.908
Christian Yelich,39.9,32.7,9.0,5.7,1.5,0.1,1.7,7.2,5.6,0.0,5.9,0.276,0.407,0.485,0.892
Riley Greene,33.1,28.6,7.7,4.4,1.3,0.1,1.8,4.5,5.0,0.0,4.6,0.27,0.37,0.519,0.889
Fernando Tatis Jr.,28.8,23.5,6.0,3.5,1.2,0.1,1.4,5.3,4.0,0.0,4.3,0.258,0.395,0.487,0.882
Jake Bauers,36.0,29.8,7.9,4.8,1.4,0.2,1.6,6.2,5.6,0.0,5.3,0.266,0.393,0.484,0.877
Ben Rice,42.6,34.9,9.1,5.3,1.6,0.1,2.0,7.7,6.2,0.0,6.4,0.259,0.392,0.485,0.877
Mitch Garver,45.6,37.2,9.4,5.4,1.7,0.1,2.2,8.4,7.8,0.0,6.8,0.253,0.391,0.479,0.87
Kerry Carpenter,33.9,29.2,7.7,4.4,1.3,0.1,1.8,4.7,4.8,0.0,4.8,0.262,0.364,0.504,0.868
Kyle Tucker,27.8,23.2,6.1,3.6,1.1,0.1,1.2,4.5,3.9,0.0,4.2,0.262,0.382,0.48,0.862
Julio Rodríguez,54.9,45.4,11.9,7.3,2.2,0.2,2.3,9.5,8.2,0.0,7.0,0.262,0.39,0.468,0.858
