,Team,PA,AB,H,1B,2B,3B,HR,BB,SO,SB,CS,R,RBI,AVG,OBP,SLG,OPS
Zach Cole,HOU,239,205,69,29,14,0,26,34,36,0,0,0,57,0.337,0.431,0.785,1.216
Juan Soto,HOU,323,259,82,43,15,0,24,64,50,0,0,0,45,0.317,0.452,0.653,1.105
Nick Gordon,LAA,164,127,46,31,7,2,6,37,19,0,0,0,23,0.362,0.506,0.591,1.097
Kyle Tucker,MIL,336,277,85,46,9,1,29,59,43,0,0,0,80,0.307,0.429,0.661,1.09
Dustin Harris,TEX,187,159,54,32,8,1,13,28,20,0,0,0,47,0.34,0.439,0.648,1.087
Kyle Schwarber,PHI,358,275,83,48,9,0,26,83,54,0,0,0,54,0.302,0.464,0.618,1.082
Christian Yelich,MIL,342,278,88,52,10,1,25,64,42,0,0,0,73,0.317,0.444,0.629,1.073
Aaron Judge,NYY,390,310,88,45,10,0,33,80,68,0,0,0,62,0.284,0.431,0.635,1.066
Blaine Crim,OAK,302,244,75,40,14,0,21,58,58,0,0,0,53,0.307,0.44,0.623,1.063
Carson Williams,TBR,217,176,58,39,5,0,14,41,38,0,0,0,41,0.33,0.456,0.597,1.053
Wilmer Flores,SFG,162,130,40,20,10,1,9,32,15,0,0,0,28,0.308,0.444,0.608,1.052
Jared Young,PIT,311,276,88,49,14,1,24,35,44,0,0,0,69,0.319,0.395,0.638,1.033
Jon Singleton,SFG,149,124,42,27,7,1,7,25,20,0,0,0,31,0.339,0.45,0.581,1.031
James Wood,WSN,260,208,66,43,8,1,14,52,37,0,0,0,46,0.317,0.454,0.567,1.021
Carlos Correa,BOS,330,271,86,48,21,2,15,59,41,0,0,0,56,0.317,0.439,0.576,1.015
Carter Jensen,KCR,325,267,77,43,8,3,23,58,47,0,0,0,47,0.288,0.415,0.599,1.014
Giancarlo Stanton,NYY,382,303,77,35,11,1,30,79,60,0,0,0,61,0.254,0.408,0.594,1.002
Joey Gallo,LAA,236,188,56,34,9,1,12,48,32,0,0,0,39,0.298,0.441,0.548,0.989
Corey Dickerson,WSN,169,142,46,29,8,2,7,27,21,0,0,0,28,0.324,0.432,0.556,0.988
Ryan Fitzgerald,MIN,416,351,100,53,17,0,30,65,62,0,0,0,93,0.285,0.397,0.59,0.987
Matt Wallner,MIN,472,380,106,57,18,1,30,92,63,0,0,0,68,0.279,0.419,0.568,0.987
Jackson Chourio,MIL,340,274,83,52,13,0,18,66,46,0,0,0,62,0.303,0.438,0.547,0.985
Marcell Ozuna,ATL,503,408,124,76,22,0,26,95,75,0,0,0,81,0.304,0.435,0.549,0.984
Evan Longoria,ARI,381,298,87,55,10,3,19,83,59,0,0,0,70,0.292,0.446,0.537,0.983
Jasson Domínguez,NYY,360,293,92,55,22,1,14,67,50,0,0,0,57,0.314,0.442,0.539,0.981
Cedric Mullins,LAA,165,143,44,24,10,1,9,22,20,0,0,0,30,0.308,0.4,0.58,0.98
Avisaíl García,MIA,357,303,93,56,15,2,20,54,52,0,0,0,67,0.307,0.412,0.568,0.98
Bryce Harper,PHI,343,262,69,34,16,0,19,81,38,0,0,0,47,0.263,0.437,0.542,0.979
Luis Matos,SFG,162,131,41,25,9,1,6,31,15,0,0,0,30,0.313,0.444,0.534,0.978
Josh Bell,CHW,325,271,82,53,9,0,20,54,38,0,0,0,49,0.303,0.418,0.557,0.975
David Dahl,PIT,323,263,74,41,13,0,20,60,40,0,0,0,47,0.281,0.415,0.559,0.974
Cal Raleigh,SEA,585,474,133,79,15,1,38,111,77,0,0,0,107,0.281,0.417,0.557,0.974
Brooks Baldwin,CHW,326,273,83,43,25,1,14,53,42,0,0,0,63,0.304,0.417,0.557,0.974
Nick Castellanos,PHI,323,270,77,44,11,0,22,53,37,0,0,0,63,0.285,0.402,0.57,0.972
Nasim Nuñez,WSN,160,137,39,20,8,0,11,23,20,0,0,0,38,0.285,0.388,0.584,0.972
Yu Chang,BOS,337,291,90,55,14,2,19,46,49,0,0,0,60,0.309,0.404,0.567,0.971
Mike Ford,CHW,306,250,76,46,15,1,14,56,48,0,0,0,54,0.304,0.431,0.54,0.971
Carlos Narváez,COL,197,165,46,24,9,0,13,32,26,0,0,0,35,0.279,0.396,0.57,0.966
Davis Schneider,TOR,373,296,81,40,21,2,18,77,49,0,0,0,65,0.274,0.424,0.541,0.965
Charlie Blackmon,COL,168,147,45,27,7,1,10,21,29,0,0,0,40,0.306,0.393,0.571,0.964
Max Muncy,LAD,649,536,147,79,23,4,41,113,106,0,0,0,106,0.274,0.401,0.562,0.963
Tyler Fitzgerald,SFG,145,120,36,20,9,1,6,25,30,0,0,0,30,0.3,0.421,0.542,0.963
Stone Garrett,WSN,288,236,76,54,10,0,12,52,33,0,0,0,30,0.322,0.444,0.517,0.961
Brett Phillips,LAA,165,146,38,19,2,1,16,19,29,0,0,0,35,0.26,0.345,0.616,0.961
Ty France,COL,164,135,42,24,12,1,5,29,24,0,0,0,30,0.311,0.433,0.526,0.959
Jack Suwinski,PIT,299,238,66,37,13,0,16,61,45,0,0,0,66,0.277,0.425,0.534,0.959
Wenceel Pérez,DET,187,142,42,26,10,0,6,45,25,0,0,0,19,0.296,0.465,0.493,0.958
Jose Altuve,HOU,170,151,49,30,11,0,8,19,24,0,0,0,34,0.325,0.4,0.556,0.956
Nick Kurtz,OAK,321,269,76,45,10,0,21,52,54,0,0,0,34,0.283,0.399,0.554,0.953
Bo Naylor,CLE,242,202,54,28,9,0,17,40,41,0,0,0,41,0.267,0.388,0.564,0.952
Jake Lamb,LAA,289,241,66,35,12,1,18,48,49,0,0,0,40,0.274,0.394,0.556,0.95
Shohei Ohtani,NYY,375,317,83,42,11,2,28,58,59,0,0,0,86,0.262,0.376,0.574,0.95
Edmundo Sosa,PHI,309,244,67,39,11,2,15,65,52,0,0,0,53,0.275,0.427,0.52,0.947
Franchy Cordero,NYY,353,295,76,39,10,0,27,58,57,0,0,0,68,0.258,0.38,0.566,0.946
Michael Busch,STL,315,265,80,53,10,0,17,50,54,0,0,0,53,0.302,0.413,0.532,0.945
Heston Kjerstad,BAL,323,281,83,44,22,0,17,42,44,0,0,0,55,0.295,0.387,0.555,0.942
Mike Trout,LAA,268,234,67,39,9,1,18,34,46,0,0,0,49,0.286,0.377,0.564,0.941
J.C. Escarra,NYY,346,280,85,54,18,1,12,66,48,0,0,0,46,0.304,0.436,0.504,0.94
