,Team,W,L,IP,H,R,BB,SO,BF,RA9,WHIP,K/9
Brandon Woodruff,MIL,0,0,1099.0,1012,526,639,849,4948,4.31,1.5,6.95
Zack Wheeler,PHI,0,0,1083.0,1062,577,705,755,5016,4.8,1.63,6.27
Luis Castillo,SEA,0,0,1070.3333333333333,1067,584,725,704,5003,4.91,1.67,5.92
James Kaprielian,OAK,0,0,1069.0,1049,597,733,821,4989,5.03,1.67,6.91
Mitch Keller,PIT,0,0,1059.0,1077,593,721,715,4975,5.04,1.7,6.08
Hunter Strickland,LAA,0,0,1055.6666666666667,977,560,726,760,4870,4.77,1.61,6.48
Nathan Eovaldi,TEX,0,0,1053.3333333333333,1078,584,713,783,4951,4.99,1.7,6.69
Sandy Alcantara,MIA,0,0,1048.6666666666667,1035,577,699,738,4880,4.95,1.65,6.33
Ty Blach,COL,0,0,1048.3333333333333,1144,681,732,671,5021,5.85,1.79,5.76
Clayton Kershaw,LAD,0,0,1043.0,1027,590,737,786,4893,5.09,1.69,6.78
Pablo López,MIN,0,0,1039.6666666666667,1082,599,727,761,4928,5.19,1.74,6.59
Gerrit Cole,NYY,0,0,1034.3333333333333,1051,594,729,708,4883,5.17,1.72,6.16
Andrés Machado,WSN,0,0,1033.0,1092,606,754,712,4945,5.28,1.79,6.2
Jason Foley,DET,0,0,1031.6666666666667,1107,573,724,750,4926,5.0,1.77,6.54
Chris Bassitt,TOR,0,0,1030.3333333333333,1010,589,796,778,4897,5.14,1.75,6.8
Jameson Taillon,CHC,0,0,1029.6666666666667,1074,648,724,716,4887,5.66,1.75,6.26
Mike Clevinger,CHW,0,0,1020.6666666666666,1044,633,818,694,4924,5.58,1.82,6.12
Zack Greinke,KCR,0,0,1018.0,1048,633,787,682,4889,5.6,1.8,6.03
Corey Kluber,BOS,0,0,1013.3333333333334,1003,598,814,728,4857,5.31,1.79,6.47
Garrett Cleavinger,TBR,0,0,1011.3333333333334,942,528,789,926,4765,4.7,1.71,8.24
Joe Musgrove,SDP,0,0,1009.3333333333334,1024,562,735,819,4787,5.01,1.74,7.3
Triston McKenzie,CLE,0,0,1008.3333333333334,950,607,828,713,4803,5.42,1.76,6.36
Albert Suárez,BAL,0,0,1007.6666666666666,1010,622,804,639,4837,5.56,1.8,5.71
Logan Webb,SFG,0,0,1000.6666666666666,988,525,808,705,4798,4.72,1.79,6.34
Brooks Raley,NYM,0,0,998.0,939,554,829,794,4762,5.0,1.77,7.16
Buck Farmer,CIN,0,0,983.3333333333334,1010,630,818,792,4778,5.77,1.86,7.25
Adam Wainwright,STL,0,0,975.0,997,667,919,669,4841,6.16,1.97,6.18
Lance McCullers Jr.,HOU,0,0,953.0,851,574,936,788,4646,5.42,1.88,7.44
Jesse Chavez,ATL,0,0,923.3333333333334,963,645,919,675,4652,6.29,2.04,6.58
Zach Davies,ARI,0,0,883.6666666666666,889,629,1003,654,4543,6.41,2.14,6.66
Ryan Brasier,ATL,0,0,246.33333333333334,235,127,169,156,1143,4.64,1.64,5.7
Jordan Weems,ARI,0,0,236.0,235,159,166,166,1109,6.06,1.7,6.33
Joe Ross,SDP,0,0,230.33333333333334,205,107,165,169,1061,4.18,1.61,6.6
Trent Thornton,TBR,0,0,229.33333333333334,237,137,128,164,1053,5.38,1.59,6.44
Andrew Kittredge,CHW,0,0,228.33333333333334,213,126,148,182,1046,4.97,1.58,7.17
Bryan Abreu,HOU,0,0,227.33333333333334,217,137,160,192,1059,5.42,1.66,7.6
Miles Mikolas,STL,0,0,227.0,232,135,136,151,1049,5.35,1.62,5.99
Lance Lynn,BOS,0,0,222.0,222,119,162,135,1050,4.82,1.73,5.47
Bailey Ober,MIN,0,0,220.33333333333334,168,115,132,169,961,4.7,1.36,6.9
Caleb Thielbar,NYM,0,0,217.0,212,131,153,152,1016,5.43,1.68,6.3
Michael Lorenzen,CIN,0,0,214.66666666666666,218,148,161,153,1023,6.2,1.77,6.41
Derek Law,NYY,0,0,214.0,206,112,145,155,993,4.71,1.64,6.52
Colin Rea,TOR,0,0,210.0,215,132,161,150,1006,5.66,1.79,6.43
David Bednar,DET,0,0,209.0,177,103,138,167,942,4.44,1.51,7.19
Phil Maton,CLE,0,0,207.33333333333334,178,106,185,187,985,4.6,1.75,8.12
Anthony Banda,WSN,0,0,206.66666666666666,213,146,163,162,996,6.36,1.82,7.05
Ryan Walker,SFG,0,0,204.66666666666666,197,113,174,173,985,4.97,1.81,7.61
