Team,W,L,PCT,R,RA,RD
PHI,97,65,0.599,953,805,148
MIL,96,66,0.593,890,738,152
NYY,94,68,0.58,925,836,89
SDP,92,70,0.568,919,796,123
TEX,90,72,0.556,873,820,53
LAA,89,73,0.549,894,805,89
TBR,89,73,0.549,801,789,12
MIN,88,74,0.543,908,827,81
TOR,87,75,0.537,910,857,53
SFG,85,77,0.525,823,831,-8
DET,85,77,0.525,764,795,-31
OAK,84,78,0.519,842,823,19
SEA,84,78,0.519,851,811,40
MIA,84,78,0.519,879,846,33
HOU,84,78,0.519,860,831,29
PIT,82,80,0.506,852,843,9
LAD,82,80,0.506,845,840,5
WSN,80,82,0.494,851,880,-29
NYM,79,83,0.488,841,849,-8
ATL,76,86,0.469,949,930,19
BOS,76,86,0.469,840,829,11
CHW,76,86,0.469,916,866,50
CLE,73,89,0.451,798,847,-49
CHC,71,91,0.438,772,940,-168
STL,70,92,0.432,871,978,-107
COL,70,92,0.432,743,954,-211
BAL,69,93,0.426,806,895,-89
KCR,69,93,0.426,813,901,-88
ARI,65,97,0.401,893,1011,-118
CIN,64,98,0.395,800,909,-109
