Inning,Inning Half,Event,Detailed Event,Contact Power,Pitch Type,Pitch Outcome,Batter,Batter Number,Bases,Baserunners,Baserunning Event,Baserunning Result,Balls,Strikes,Outs,Team 1 Score,Team 2 Score,Pitcher
1,top,double,ground ball double,medium,changeup,strike,Mark Vientos,1,"[0, 1, 0]","[0, 'Mark Vientos', 0]",None,safe,0,0,0,0,0,Mike Clevinger
1,top,out,ground out,hard,fastball,strike,Luken Baker,2,"[0, 1, 0]","[0, 'Mark Vientos', 0]",None,safe,0,0,1,0,0,Mike Clevinger
1,top,strike,called strike,NA,changeup,strike,Curtis Mead,3,"[0, 1, 0]","[0, 'Mark Vientos', 0]",None,safe,0,1,1,0,0,Mike Clevinger
1,top,ball,ball,NA,fastball,ball,Curtis Mead,3,"[0, 1, 0]","[0, 'Mark Vientos', 0]",None,safe,1,1,1,0,0,Mike Clevinger
1,top,ball,ball,NA,fastball,ball,Curtis Mead,3,"[0, 1, 0]","[0, 'Mark Vientos', 0]",None,safe,2,1,1,0,0,Mike Clevinger
1,top,strike,called strike,NA,fastball,strike,Curtis Mead,3,"[0, 1, 0]","[0, 'Mark Vientos', 0]",None,safe,2,2,1,0,0,Mike Clevinger
1,top,foul,foul,NA,fastball,strike,Curtis Mead,3,"[0, 1, 0]","[0, 'Mark Vientos', 0]",None,safe,2,2,1,0,0,Mike Clevinger
1,top,double,fly ball double,soft,fastball,strike,Curtis Mead,3,"[0, 1, 0]","[0, 'Curtis Mead', 0]",None,safe,2,2,1,1,0,Mike Clevinger
1,top,ball,ball,NA,slider,ball,Hunter Feduccia,4,"[0, 1, 0]","[0, 'Curtis Mead', 0]",None,safe,1,0,1,1,0,Mike Clevinger
1,top,out,fly out,soft,fastball,strike,Hunter Feduccia,4,"[0, 1, 0]","[0, 'Curtis Mead', 0]",None,safe,1,0,2,1,0,Mike Clevinger
1,top,ball,ball,NA,slider,ball,Andrew Benintendi,5,"[0, 1, 0]","[0, 'Curtis Mead', 0]",None,safe,1,0,2,1,0,Mike Clevinger
1,top,ball,ball,NA,fastball,ball,Andrew Benintendi,5,"[0, 1, 0]","[0, 'Curtis Mead', 0]",None,safe,2,0,2,1,0,Mike Clevinger
1,top,strike,called strike,NA,slider,strike,Andrew Benintendi,5,"[0, 1, 0]","[0, 'Curtis Mead', 0]",None,safe,2,1,2,1,0,Mike Clevinger
1,top,ball,ball,NA,fastball,ball,Andrew Benintendi,5,"[0, 1, 0]","[0, 'Curtis Mead', 0]",None,safe,3,1,2,1,0,Mike Clevinger
1,top,walk,walk,NA,slider,ball,Andrew Benintendi,5,"[1, 1, 0]","['Andrew Benintendi', 'Curtis Mead', 0]",None,safe,4,1,2,1,0,Mike Clevinger
1,top,strike,swinging strike,NA,fastball,strike,Matt Thaiss,6,"[1, 1, 0]","['Andrew Benintendi', 'Curtis Mead', 0]",None,safe,0,1,2,1,0,Mike Clevinger
1,top,ball,ball,NA,changeup,ball,Matt Thaiss,6,"[1, 1, 0]","['Andrew Benintendi', 'Curtis Mead', 0]",None,safe,1,1,2,1,0,Mike Clevinger
1,top,single,line drive single,hard,changeup,strike,Matt Thaiss,6,"[1, 0, 0]","['Matt Thaiss', 0, 0]",first to third attempted,thrown out,1,1,3,1,0,Mike Clevinger
1,bottom,foul,foul,NA,slider,strike,Tyrone Taylor,1,"[0, 0, 0]","[0, 0, 0]",None,NA,0,1,0,1,0,Clarke Schmidt
1,bottom,strike,swinging strike,NA,curveball,strike,Tyrone Taylor,1,"[0, 0, 0]","[0, 0, 0]",None,NA,0,2,0,1,0,Clarke Schmidt
1,bottom,strikeout,strikeout looking,NA,slider,strike,Tyrone Taylor,1,"[0, 0, 0]","[0, 0, 0]",None,NA,0,3,1,1,0,Clarke Schmidt
1,bottom,ball,ball,NA,curveball,ball,Griffin Conine,2,"[0, 0, 0]","[0, 0, 0]",None,NA,1,0,1,1,0,Clarke Schmidt
1,bottom,out,ground out,medium,curveball,strike,Griffin Conine,2,"[0, 0, 0]","[0, 0, 0]",None,NA,1,0,2,1,0,Clarke Schmidt
1,bottom,ball,ball,NA,slider,ball,Marcelo Mayer,3,"[0, 0, 0]","[0, 0, 0]",None,NA,1,0,2,1,0,Clarke Schmidt
1,bottom,foul,foul,NA,slider,strike,Marcelo Mayer,3,"[0, 0, 0]","[0, 0, 0]",None,NA,1,1,2,1,0,Clarke Schmidt
1,bottom,double,ground ball double,soft,slider,strike,Marcelo Mayer,3,"[0, 1, 0]","[0, 'Marcelo Mayer', 0]",None,safe,1,1,2,1,0,Clarke Schmidt
1,bottom,strike,called strike,NA,slider,strike,Michael Conforto,4,"[0, 1, 0]","[0, 'Marcelo Mayer', 0]",None,safe,0,1,2,1,0,Clarke Schmidt
1,bottom,ball,ball,NA,slider,ball,Michael Conforto,4,"[0, 1, 0]","[0, 'Marcelo Mayer', 0]",None,safe,1,1,2,1,0,Clarke Schmidt
1,bottom,foul,foul,NA,curveball,strike,Michael Conforto,4,"[0, 1, 0]","[0, 'Marcelo Mayer', 0]",None,safe,1,2,2,1,0,Clarke Schmidt
1,bottom,ball,ball,NA,curveball,ball,Michael Conforto,4,"[0, 1, 0]","[0, 'Marcelo Mayer', 0]",None,safe,2,2,2,1,0,Clarke Schmidt
1,bottom,strikeout,strikeout looking,NA,slider,strike,Michael Conforto,4,"[0, 1, 0]","[0, 'Marcelo Mayer', 0]",None,safe,2,3,3,1,0,Clarke Schmidt
2,top,strike,called strike,NA,fastball,strike,Colby Thomas,7,"[0, 0, 0]","[0, 0, 0]",None,NA,0,1,0,1,0,Mike Clevinger
2,top,ball,ball,NA,slider,ball,Colby Thomas,7,"[0, 0, 0]","[0, 0, 0]",None,NA,1,1,0,1,0,Mike Clevinger
2,top,foul,foul,NA,fastball,strike,Colby Thomas,7,"[0, 0, 0]","[0, 0, 0]",None,NA,1,2,0,1,0,Mike Clevinger
2,top,home_run,fly ball home run,soft,slider,strike,Colby Thomas,7,"[0, 0, 0]","[0, 0, 0]",None,NA,1,2,0,2,0,Mike Clevinger
2,top,foul,foul,NA,fastball,strike,Gio Urshela,8,"[0, 0, 0]","[0, 0, 0]",None,NA,0,1,0,2,0,Mike Clevinger
2,top,out,fly out,hard,changeup,strike,Gio Urshela,8,"[0, 0, 0]","[0, 0, 0]",None,NA,0,1,1,2,0,Mike Clevinger
2,top,out,ground out,medium,slider,strike,Bryan Reynolds,9,"[0, 0, 0]","[0, 0, 0]",None,NA,0,0,2,2,0,Mike Clevinger
2,top,out,fly out,medium,slider,strike,Mark Vientos,1,"[0, 0, 0]","[0, 0, 0]",None,NA,0,0,3,2,0,Mike Clevinger
2,bottom,strike,called strike,NA,curveball,strike,Alex Verdugo,5,"[0, 0, 0]","[0, 0, 0]",None,NA,0,1,0,2,0,Clarke Schmidt
2,bottom,strike,called strike,NA,slider,strike,Alex Verdugo,5,"[0, 0, 0]","[0, 0, 0]",None,NA,0,2,0,2,0,Clarke Schmidt
2,bottom,foul,foul,NA,curveball,strike,Alex Verdugo,5,"[0, 0, 0]","[0, 0, 0]",None,NA,0,2,0,2,0,Clarke Schmidt
2,bottom,ball,ball,NA,curveball,ball,Alex Verdugo,5,"[0, 0, 0]","[0, 0, 0]",None,NA,1,2,0,2,0,Clarke Schmidt
2,bottom,ball,ball,NA,slider,ball,Alex Verdugo,5,"[0, 0, 0]","[0, 0, 0]",None,NA,2,2,0,2,0,Clarke Schmidt
2,bottom,strikeout,strikeout looking,NA,slider,strike,Alex Verdugo,5,"[0, 0, 0]","[0, 0, 0]",None,NA,2,3,1,2,0,Clarke Schmidt
2,bottom,ball,ball,NA,slider,ball,Leo Jiménez,6,"[0, 0, 0]","[0, 0, 0]",None,NA,1,0,1,2,0,Clarke Schmidt
2,bottom,strike,called strike,NA,curveball,strike,Leo Jiménez,6,"[0, 0, 0]","[0, 0, 0]",None,NA,1,1,1,2,0,Clarke Schmidt
2,bottom,ball,ball,NA,slider,ball,Leo Jiménez,6,"[0, 0, 0]","[0, 0, 0]",None,NA,2,1,1,2,0,Clarke Schmidt
2,bottom,ball,ball,NA,slider,ball,Leo Jiménez,6,"[0, 0, 0]","[0, 0, 0]",None,NA,3,1,1,2,0,Clarke Schmidt
2,bottom,walk,walk,NA,curveball,ball,Leo Jiménez,6,"[1, 0, 0]","['Leo Jiménez', 0, 0]",None,safe,4,1,1,2,0,Clarke Schmidt
2,bottom,single,ground ball single,medium,slider,strike,Jonathan Davis,7,"[1, 1, 0]","['Jonathan Davis', 'Leo Jiménez', 0]",None,safe,0,0,1,2,0,Clarke Schmidt
2,bottom,out,fly out,medium,curveball,strike,Brandon Nimmo,8,"[1, 1, 0]","['Jonathan Davis', 'Leo Jiménez', 0]",None,safe,0,0,2,2,0,Clarke Schmidt
2,bottom,foul,foul,NA,slider,strike,Graham Pauley,9,"[1, 1, 0]","['Jonathan Davis', 'Leo Jiménez', 0]",None,safe,0,1,2,2,0,Clarke Schmidt
2,bottom,out,ground out,hard,slider,strike,Graham Pauley,9,"[1, 1, 0]","['Jonathan Davis', 'Leo Jiménez', 0]",None,safe,0,1,3,2,0,Clarke Schmidt
3,top,ball,ball,NA,fastball,ball,Luken Baker,2,"[0, 0, 0]","[0, 0, 0]",None,NA,1,0,0,2,0,Mike Clevinger
3,top,out,ground out,medium,fastball,strike,Luken Baker,2,"[0, 0, 0]","[0, 0, 0]",None,NA,1,0,1,2,0,Mike Clevinger
3,top,ball,ball,NA,fastball,ball,Curtis Mead,3,"[0, 0, 0]","[0, 0, 0]",None,NA,1,0,1,2,0,Mike Clevinger
3,top,out,ground out,medium,fastball,strike,Curtis Mead,3,"[0, 0, 0]","[0, 0, 0]",None,NA,1,0,2,2,0,Mike Clevinger
3,top,out,fly out,medium,slider,strike,Hunter Feduccia,4,"[0, 0, 0]","[0, 0, 0]",None,NA,0,0,3,2,0,Mike Clevinger
3,bottom,strike,called strike,NA,slider,strike,Tyrone Taylor,1,"[0, 0, 0]","[0, 0, 0]",None,NA,0,1,0,2,0,Clarke Schmidt
3,bottom,out,ground out,hard,curveball,strike,Tyrone Taylor,1,"[0, 0, 0]","[0, 0, 0]",None,NA,0,1,1,2,0,Clarke Schmidt
3,bottom,ball,ball,NA,slider,ball,Griffin Conine,2,"[0, 0, 0]","[0, 0, 0]",None,NA,1,0,1,2,0,Clarke Schmidt
3,bottom,ball,ball,NA,fastball,ball,Griffin Conine,2,"[0, 0, 0]","[0, 0, 0]",None,NA,2,0,1,2,0,Clarke Schmidt
3,bottom,strike,called strike,NA,slider,strike,Griffin Conine,2,"[0, 0, 0]","[0, 0, 0]",None,NA,2,1,1,2,0,Clarke Schmidt
3,bottom,ball,ball,NA,slider,ball,Griffin Conine,2,"[0, 0, 0]","[0, 0, 0]",None,NA,3,1,1,2,0,Clarke Schmidt
3,bottom,walk,walk,NA,slider,ball,Griffin Conine,2,"[1, 0, 0]","['Griffin Conine', 0, 0]",None,safe,4,1,1,2,0,Clarke Schmidt
3,bottom,ball,ball,NA,curveball,ball,Marcelo Mayer,3,"[1, 0, 0]","['Griffin Conine', 0, 0]",None,safe,1,0,1,2,0,Clarke Schmidt
3,bottom,ball,ball,NA,slider,ball,Marcelo Mayer,3,"[1, 0, 0]","['Griffin Conine', 0, 0]",None,safe,2,0,1,2,0,Clarke Schmidt
3,bottom,ball,ball,NA,curveball,ball,Marcelo Mayer,3,"[1, 0, 0]","['Griffin Conine', 0, 0]",None,safe,3,0,1,2,0,Clarke Schmidt
