,PA,AB,H,1B,2B,3B,HR,BB,SO,R,RBI
Miguel Sanó,63,56,12,6,3,0,3,7,10,0,293
Jake Lamb,63,58,18,12,3,0,3,5,2,0,9
Logan O'Hoppe,63,55,14,6,4,1,3,8,10,0,107
Mike Trout,63,59,21,12,8,0,1,4,9,0,70
Taylor Ward,63,54,17,9,3,1,4,9,6,0,87
Joey Gallo,63,55,13,9,1,0,3,8,8,0,11
Carter Jensen,76,72,21,13,2,0,6,4,7,0,11
MJ Melendez,76,65,12,8,2,0,2,11,11,0,272
Bobby Witt Jr.,76,70,16,10,1,0,5,6,9,0,164
Luke Williams,76,69,12,11,1,0,0,7,9,0,81
Jac Caglianone,76,66,15,9,4,1,1,10,11,0,3
Niko Kavadas,63,55,13,11,2,0,0,8,7,0,4
Jesús Sánchez,63,60,17,6,5,1,5,3,10,0,306
Jo Adell,62,57,12,5,2,0,5,5,10,0,239
Zach Neto,62,58,16,11,4,0,1,4,5,0,200
Mike Yastrzemski,62,50,15,8,3,1,3,12,7,0,204
Yoán Moncada,62,55,15,9,4,0,2,7,6,0,38
Matthew Lugo,62,59,20,15,2,0,3,3,8,0,197
Romy Gonzalez,76,69,17,11,2,2,2,7,5,0,322
Salvador Perez,76,73,20,18,0,0,2,3,5,0,7
Vinnie Pasquantino,76,69,26,16,6,0,4,7,9,0,10
Nick Pratto,76,72,24,17,6,0,1,4,15,0,4
Brandon Drury,62,58,19,13,4,0,2,4,8,0,8
Kyren Paris,62,58,14,10,2,0,2,4,13,0,181
Joey Wendle,62,57,21,17,4,0,0,5,8,0,3
Chad Wallach,62,59,13,7,4,0,2,3,10,0,10
Joey Bart,62,55,13,8,0,0,5,7,7,0,8
Maikel Garcia,76,71,19,12,1,2,4,5,8,0,47
Jackie Bradley Jr.,76,70,17,10,4,2,1,6,8,0,14
Tyler Tolbert,76,70,16,9,6,0,1,6,7,0,62
John Rave,76,69,20,12,5,0,3,7,8,0,339
Will Wagner,62,55,12,9,2,0,1,7,6,0,145
Anthony Rendon,62,56,21,16,3,1,1,6,7,0,254
Brett Phillips,62,60,24,13,6,1,4,2,12,0,216
Luis Rengifo,62,54,18,13,2,0,3,8,5,0,248
Christian Moore,62,55,11,9,0,1,1,7,11,0,5
Dairon Blanco,76,68,22,13,7,0,2,8,13,0,500
Michael Massey,76,73,15,10,4,0,1,3,12,0,5
Kyle Isbel,76,68,12,9,2,0,1,8,9,0,5
Cedric Mullins,62,55,16,7,5,1,3,7,5,0,10
Nick Gordon,62,59,19,13,4,0,2,3,4,0,10
Nolan Schanuel,62,56,13,12,1,0,0,6,12,0,2
Drew Waters,75,68,14,6,6,0,2,7,14,0,51
Franmil Reyes,75,70,19,10,3,1,5,5,12,0,205
Nick Fortes,75,69,12,7,3,1,1,6,11,0,2
Whit Merrifield,62,55,17,8,6,2,1,7,8,0,269
Reese McGuire,62,59,22,18,1,0,3,3,4,0,10
Raimel Tapia,62,57,19,13,6,0,0,5,12,0,61
Bryce Teodosio,62,58,15,10,2,0,3,4,6,0,9
Gustavo Campero,62,59,15,9,2,0,4,3,8,0,10
Bryce Johnson,62,54,12,6,3,0,3,8,13,0,268
Tyler Heineman,62,61,18,12,2,0,4,1,8,0,11
Esteury Ruiz,62,56,11,6,4,0,1,6,5,0,90
Hunter Dozier,75,73,16,10,4,0,2,2,11,0,207
Nick Loftin,75,70,18,11,6,1,0,5,9,0,4
José Barrero,75,66,17,15,2,0,0,9,6,0,3
Jace Peterson,75,66,12,7,4,0,1,9,9,0,173
Bligh Madris,75,74,14,7,4,1,2,1,11,0,212
Andrew Velazquez,62,58,18,7,7,1,3,4,3,0,495
Jack López,62,59,17,11,3,1,2,3,5,0,85
Hunter Feduccia,75,69,15,12,3,0,0,6,8,0,6
Brett Wisely,75,70,22,15,5,0,2,5,6,0,5
Omar Narváez,75,65,13,10,3,0,0,10,4,0,151
Kolten Wong,75,68,15,12,2,0,1,7,8,0,105
Maximo Acosta,98,87,22,17,2,0,3,11,12,0,9
Darin Ruf,98,89,23,17,6,0,0,9,16,0,64
Avisaíl García,98,86,21,12,3,3,3,12,10,0,14
Heriberto Hernández,98,93,25,11,5,1,8,5,21,0,21
Dane Myers,98,91,20,17,2,0,1,7,11,0,458
Max Kepler,98,89,23,14,4,0,5,9,15,0,204
Agustín Ramírez,98,88,23,13,2,1,7,10,8,0,34
Jakob Marsee,97,87,19,13,3,0,3,10,9,0,365
Luis Torrens,97,88,24,12,9,2,1,9,6,0,8
Javier Sanoja,97,91,19,13,1,1,4,6,9,0,260
Griffin Conine,97,89,22,19,2,0,1,8,9,0,146
Kyle Farmer,97,89,22,14,6,1,1,8,12,0,5
Troy Johnston,97,86,33,20,9,1,3,11,17,0,340
Jonathan India,97,93,18,15,1,1,1,4,19,0,4
Otto Lopez,97,85,21,12,5,0,4,12,5,0,14
Jean Segura,97,93,18,13,4,0,1,4,13,0,423
Austin Hedges,97,89,22,19,1,0,2,8,12,0,6
Dylan Carlson,97,92,22,15,4,0,3,5,22,0,204
Liam Hicks,97,86,19,13,2,1,3,11,12,0,491
Xavier Edwards,97,90,24,17,5,1,1,7,2,0,10
Jonathan Davis,97,84,20,13,3,0,4,13,8,0,285
Rafael Ortega,97,90,19,14,3,1,1,7,15,0,34
Aaron Judge,103,95,34,16,7,1,10,8,11,0,269
