,BF,IP,H,ER,BB,SO
Zack Greinke,98.0,19.313999999999997,27.0,32.0,13.0,11.0
Hunter Strickland,76.0,16.983000000000004,15.0,15.0,10.0,9.0
Jordan Lyles,122.0,24.975,40.0,29.0,7.0,13.0
Taylor Clarke,114.0,22.644,35.0,18.0,11.0,13.0
Justin Lawrence,127.0,30.63599999999999,22.0,56.0,13.0,15.0
Will Smith,74.0,18.315000000000005,17.0,11.0,2.0,8.0
Jeffrey Springs,123.0,27.30599999999999,29.0,28.0,12.0,15.0
Jose Cuas,122.0,28.304999999999996,18.0,17.0,19.0,16.0
David Robertson,58.0,12.987000000000005,13.0,6.0,6.0,12.0
Kris Bubic,127.0,27.971999999999994,34.0,70.0,9.0,10.0
Justin Verlander,68.0,14.652000000000006,13.0,13.0,11.0,14.0
James McArthur,120.0,26.972999999999992,29.0,55.0,10.0,22.0
Daniel Lynch IV,118.0,25.641000000000005,32.0,52.0,9.0,14.0
Wade Miley,75.0,17.649000000000004,14.0,12.0,8.0,10.0
Chase Shugart,106.0,24.308999999999994,28.0,27.0,5.0,18.0
Kirby Yates,86.0,17.316000000000006,25.0,27.0,9.0,7.0
Angel Zerpa,138.0,32.966999999999985,29.0,39.0,10.0,15.0
Brad Hand,83.0,16.650000000000006,27.0,13.0,6.0,8.0
Roansy Contreras,128.0,29.636999999999993,29.0,72.0,10.0,16.0
Tyler Anderson,84.0,21.311999999999998,15.0,12.0,5.0,8.0
Yoendrys Gómez,129.0,28.63799999999999,32.0,15.0,11.0,13.0
Carson Fulmer,65.0,13.653000000000004,18.0,10.0,6.0,4.0
Carlos Vargas,117.0,27.638999999999992,28.0,28.0,6.0,16.0
Jaime Barria,70.0,16.983000000000008,13.0,2.0,6.0,5.0
Steven Cruz,136.0,30.303,32.0,32.0,13.0,20.0
Michael Soroka,76.0,19.314000000000004,14.0,7.0,4.0,14.0
Sandy Alcantara,95.0,20.64599999999999,22.0,88.0,11.0,10.0
Enyel De Los Santos,66.0,15.651000000000007,15.0,18.0,4.0,15.0
José Urquidy,76.0,16.317000000000007,18.0,37.0,9.0,4.0
Danny Young,66.0,14.652000000000006,17.0,12.0,5.0,12.0
Kenta Maeda,89.0,19.314000000000004,24.0,15.0,7.0,15.0
Phil Bickford,86.0,17.316000000000006,20.0,10.0,14.0,8.0
Dylan Cease,69.0,15.318000000000007,13.0,4.0,10.0,10.0
Patrick Sandoval,58.0,11.655000000000005,18.0,15.0,5.0,7.0
Jorge Alcala,78.0,20.646000000000004,10.0,3.0,6.0,13.0
Aaron Civale,73.0,17.982000000000003,14.0,13.0,5.0,11.0
Kenny Rosenberg,64.0,14.319000000000004,11.0,18.0,10.0,3.0
Kolby Allard,122.0,27.639,29.0,16.0,10.0,12.0
John Schreiber,73.0,14.652000000000006,17.0,9.0,12.0,7.0
Pedro Avila,107.0,23.976,24.0,9.0,11.0,14.0
Darren McCaughan,59.0,13.986000000000006,11.0,5.0,6.0,10.0
Lake Bachar,102.0,22.644,28.0,13.0,6.0,18.0
Cole Irvin,109.0,24.641999999999996,30.0,32.0,5.0,15.0
José Soriano,80.0,18.648000000000003,15.0,14.0,9.0,12.0
Seranthony Domínguez,134.0,33.632999999999996,22.0,64.0,11.0,22.0
Ryan Zeferjahn,77.0,18.648000000000003,12.0,5.0,9.0,8.0
Anthony Bender,108.0,24.642,20.0,26.0,14.0,18.0
Reid Detmers,87.0,20.313000000000002,20.0,13.0,6.0,12.0
Jack Kochanowicz,71.0,18.981000000000005,12.0,4.0,2.0,7.0
Edward Cabrera,119.0,26.30699999999999,31.0,33.0,9.0,21.0
Braxton Garrett,122.0,27.638999999999996,29.0,70.0,10.0,12.0
Louis Varland,83.0,21.312000000000005,18.0,9.0,1.0,16.0
